Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,2715.48,2391.66,2643.09,2938.94,2784.8,2570.72,2623.59,2384.44,2287.96,2141.8,2166.45,2268.98,1940.4,1835.52,1633.69,2052.47,1760.11,1550.73,964.97,1477.41,1404.19,1254.19,1327.98,1470.71,1273.19,1088.06,1115.58,1315.95,1126.11,1107.68,1041.47,1018.86,887.82,911.01,886.71,949.59,902.84,867.92,810.69,911.39,796.66,827.92,801.36,827.41,674.37,624.38,657.44,768.81,686.91,712.72
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.2,--,12.56,--,--,--,--,--,45.94,23.13,12.75,11.05,22.99,0.44,2.39,3.03,4.67,1.98,2.75,1.87,5.3,2.78,2.52,3.7,2.74,1.17,2.15
Total Income From Operations,2715.48,2391.66,2643.09,2938.94,2784.8,2570.72,2623.59,2384.44,2287.96,2141.8,2166.45,2268.98,1940.4,1835.52,1633.69,2052.47,1760.11,1550.73,964.97,1477.41,1404.19,1254.19,1327.98,1491.91,1273.19,1100.62,1115.58,1315.95,1126.11,1107.68,1041.47,1064.79,910.95,923.76,897.76,972.58,903.28,870.31,813.72,916.06,798.64,830.68,803.23,832.71,677.15,626.89,661.15,771.55,688.08,714.88
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,374.98,322.86,370.34,407.86,405.6,397.57,407.9,335.16,338.71,322.89,317.42,309.43,310.47,280.85,249.03,304.32,291.18,252.61,117.05,220.37,228.56,207.07,211.7,214.32,224.57,188.43,193.9,204.06,185.4,184.06,172.41,186.74,166.46,165.47,176.87,182.5,169.67,169.98,143.64,150.31,150.41,140.89,114.59,139.61,121.44,94.46,106.73,105.05,105.4,93.67
Purchase of Traded Goods,98.83,103.32,85.12,107.95,85.29,67.88,46.5,43.45,36.73,35.29,34.72,69.96,24.56,23.85,16.26,20.99,17.06,18.58,9.78,16.55,15.87,10.19,16.94,21.05,0.48,--,--,0.03,0.12,0.3,0.4,0.31,0.13,0.14,0.35,0.47,0.4,0.37,0.28,0.12,0.34,0.29,0.29,0.16,0.25,0.35,0.22,0.17,0.2,0.06
Increase/Decrease in Stocks,-33.31,10.22,-8.39,-24.2,-118.75,-43.18,-22.07,3.71,2.93,16.38,-8.26,43.87,-53.1,15.14,-24.95,17.5,-41.87,-24.6,68.44,-29.8,10.22,-0.75,-46.2,29.49,2.31,-19.58,-16.95,15.6,14.13,7.1,5.18,4.47,-11.44,11.02,-7.31,-19.04,8.44,7.61,11.28,-12.56,-24.26,19.93,15.95,-12.23,-20.69,30.33,-35.98,11.58,-31.81,-0.24
Power & Fuel,--,--,--,--,--,595.2,--,625.53,--,550.05,485.58,492.94,--,--,--,--,324.23,272.53,153.14,268.95,253.63,--,262.14,303.41,261.45,240.91,246.55,283.22,220.34,205.79,180.34,179.99,154.8,151.74,138.73,185.02,183.31,193.87,178.58,207.48,194.14,197.65,194.2,195.04,166.84,142.74,169.28,176.95,171.25,174.86
Employees Cost,204.05,203.65,199.16,196.33,182.01,164.98,166.48,137.82,142.02,140.37,143.0,121.55,129.04,129.79,123.8,109.66,109.82,97.61,95.04,98.72,99.17,96.18,96.83,83.59,89.08,90.19,90.64,90.33,79.33,78.3,77.49,72.78,68.43,68.41,65.84,55.31,59.5,56.84,59.79,58.15,47.39,48.69,48.31,40.13,42.66,39.25,45.76,34.95,40.95,41.3
Depreciation,124.69,126.26,124.45,130.67,117.83,119.64,117.76,91.52,90.27,89.73,89.94,75.73,71.87,68.73,65.7,64.88,62.15,59.66,57.98,57.66,55.58,51.76,49.39,49.66,48.63,48.66,47.43,46.97,45.07,49.22,45.0,45.17,44.7,43.73,42.5,41.87,39.61,38.23,36.57,37.6,40.87,29.64,28.48,34.68,33.11,33.09,33.09,33.2,31.79,31.88
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
