Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Employees Stock Options,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances
2011-03-31,125.0,125.0,723.97,723.97,848.97,0.0,15.5,90.41,0.66,106.57,4.96,50.09,109.85,1065.39,201.06,1.87,0.0,0.0,0.0,202.93,20.15,528.98,513.24,3.82,1.25,16.26,1.85,536.41,1065.39,116.13,1.89,238310.31,3.35,0.0,75.0,172.71,513.24,0.0,54.8,172.71,133.19
2012-03-31,125.0,125.0,818.92,818.92,943.92,0.0,18.63,84.71,0.66,104.0,4.24,39.36,90.87,1138.79,195.6,1.28,0.0,0.0,0.0,196.88,20.25,629.87,491.27,6.01,0.65,9.16,1.83,508.92,1138.79,150.79,1.89,180373.36,3.21,0.0,75.0,279.11,491.27,0.0,47.27,279.11,133.64
2013-03-31,125.0,125.0,921.14,921.14,1046.14,0.0,24.12,97.02,0.66,121.8,5.24,44.99,101.7,1269.64,191.22,0.8,0.0,0.0,0.0,192.02,20.35,810.19,425.03,6.49,5.98,11.09,10.86,459.45,1269.64,109.46,5.31,8.94,0.0,0.0,75.0,452.92,425.03,0.0,51.47,452.92,144.9
2014-03-31,125.0,125.0,1039.95,1039.95,1164.95,0.0,24.72,93.25,0.66,118.63,6.45,45.61,107.34,1390.92,189.4,4.66,0.0,0.0,0.0,194.06,20.35,733.13,627.78,9.78,3.1,10.83,6.3,657.79,1390.92,66.39,5.16,10.56,0.0,0.0,75.0,369.18,627.78,0.0,55.28,369.18,149.54
2015-03-31,126.32,126.32,1209.49,1209.49,1335.81,0.0,29.82,80.91,0.66,111.39,11.33,82.38,156.02,1603.22,185.18,3.86,0.0,0.0,0.0,189.04,20.35,937.99,531.67,7.96,3.32,121.52,0.76,665.23,1603.22,47.6,5.08,11.38,0.0,2.7,75.0,591.25,531.67,0.0,62.31,591.25,137.35
2016-03-31,126.79,126.79,1451.8,1451.8,1578.59,0.0,31.1,30.55,0.39,62.04,13.42,79.32,103.11,1743.74,181.08,2.96,0.0,0.0,0.0,184.04,31.08,1396.23,236.64,15.91,4.28,90.07,0.61,347.51,1743.74,39.56,9.33,11.7,0.0,2.86,75.0,1094.44,236.64,0.0,10.37,1094.44,86.67
2017-03-31,126.79,126.79,1687.17,1687.17,1813.96,0.0,31.56,29.62,0.39,61.57,13.35,99.03,128.45,2003.98,276.11,1.49,3.12,0.0,0.0,280.72,32.12,1343.44,608.56,12.26,3.13,36.08,0.51,660.54,2003.98,15.41,8.53,12.2,0.0,2.63,75.0,949.42,608.56,0.0,16.07,949.42,81.18
2018-03-31,126.79,126.79,2004.37,2004.37,2131.16,0.0,35.74,31.4,0.39,67.53,11.96,139.31,175.37,2374.06,270.21,2.06,5.45,0.0,0.0,277.72,33.2,1270.59,1051.27,25.22,2.37,16.71,7.9,1103.47,2374.06,0.0,7.97,13.19,0.0,3.5,75.0,880.16,1051.27,0.0,24.1,880.16,79.51
2019-03-31,126.79,126.79,2281.07,2281.07,2407.86,0.0,19.03,9.63,84.33,112.99,59.54,59.03,118.56,2639.41,252.79,3.33,0.88,0.0,11.25,268.25,44.67,312.91,2117.18,44.88,8.83,28.71,126.9,2326.49,2639.41,13.11,7.72,16.48,0.0,4.32,75.0,0.0,2117.18,0.0,0.0,0.0,0.0
2020-03-31,126.79,126.79,2457.34,2457.34,2594.63,0.0,24.64,11.39,75.76,111.78,53.74,170.78,224.52,2930.93,348.17,11.66,0.28,0.76,10.73,371.6,58.36,429.96,2269.12,34.04,0.56,43.9,153.36,2500.97,2930.93,262.81,6.85,16.48,0.0,4.85,75.0,0.0,2269.12,10.5,0.0,0.0,0.0
