Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,519.05,530.84,452.16,442.76,426.18,476.01,577.57,604.64,512.83,639.52,592.83,560.95,524.42,529.17,674.9,444.36,422.13,455.7,489.12,460.05,327.14,384.55,536.01,455.09,623.73,770.87,1299.19,1121.34,936.7,587.59,618.16,1207.87,1050.5,932.71,1038.67,1080.68,1045.56,1040.91,1065.15,923.25,809.33,1011.55,939.45,1060.61,1007.4,983.79,738.28,656.7,619.11,688.6
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.37,2.8,2.41,19.44,7.52,8.28,5.5,6.2,6.07,5.76,7.56,7.03,7.7,9.15,8.99,5.92,8.98,6.01,6.31,4.27,2.56,4.24,4.75
Total Income From Operations,519.05,530.84,452.16,442.76,426.18,476.01,577.57,604.64,512.83,639.52,592.83,560.95,524.42,529.17,674.9,444.36,422.13,455.7,489.12,460.05,327.14,384.55,536.01,455.09,623.73,770.87,1299.19,1124.71,939.5,590.0,637.6,1215.39,1058.78,938.21,1044.87,1086.75,1051.32,1048.47,1072.18,930.95,818.48,1020.54,945.37,1069.59,1013.41,990.1,742.55,659.26,623.35,693.35
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,320.21,307.37,258.8,289.75,287.68,284.75,340.68,438.74,393.11,351.23,391.89,341.21,296.46,337.01,248.67,174.9,174.6,170.95,150.11,196.39,151.56,203.36,188.72,180.53,229.84,258.65,211.17,241.39,237.35,174.0,151.56,393.58,341.4,363.19,327.59,348.67,459.7,355.45,344.16,357.27,346.16,319.23,371.98,393.2,459.83,437.28,361.19,343.66,270.41,313.96
Purchase of Traded Goods,43.05,23.82,16.68,7.75,6.85,10.49,42.34,5.71,30.37,154.95,19.4,22.27,78.85,66.63,290.08,122.54,58.15,223.04,125.34,123.54,90.76,126.44,279.97,172.09,344.02,337.26,1000.55,774.68,644.72,293.02,381.74,411.84,326.04,246.95,365.36,454.03,205.61,544.61,764.71,227.37,484.02,426.24,458.17,207.35,361.26,341.29,233.94,132.09,86.21,246.08
Increase/Decrease in Stocks,-10.32,-13.71,6.12,-8.27,4.55,15.44,13.44,-2.47,-25.65,13.75,-16.65,23.17,3.72,5.02,-2.87,-8.03,38.14,-54.21,2.74,49.91,-1.49,-2.72,-8.33,37.75,-0.59,78.88,-33.97,6.1,-76.56,16.44,-19.64,50.96,16.04,33.16,18.83,41.24,148.29,-92.21,-271.78,142.76,-173.44,91.26,-133.15,148.22,-90.7,-31.21,-73.68,7.91,88.12,-59.8
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,30.28,38.61,31.12,23.81,26.87,29.3,36.18,17.5,19.61,17.72,19.23,20.04,21.95,22.04,20.16,6.58,35.44,22.04,23.99,17.97,15.89,17.04,17.54,19.42,14.67,10.21,16.12,14.35,22.85,26.86,22.28,48.66,47.58,43.08,46.62,43.94,40.54,43.77,41.13,38.44,31.94,33.06,39.24,46.39,41.58,36.38,39.07,26.6,38.48,40.37
Depreciation,21.42,22.25,20.37,28.26,18.55,17.37,16.54,17.35,17.99,16.07,15.52,15.88,29.86,16.96,17.47,17.52,18.19,18.48,18.79,17.42,17.2,19.82,17.84,11.4,12.79,11.6,12.25,10.28,13.62,15.15,14.82,37.22,31.71,31.61,29.69,29.27,29.21,29.58,29.3,30.13,29.66,27.41,30.11,26.34,26.03,25.43,24.84,24.73,25.05,25.01
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,43.58,41.17,44.28,44.59,48.76,46.85,36.33,43.89,36.1,25.42,41.82,57.64,31.66,45.28,33.19,58.84,44.02,23.72,32.37,49.61,41.84,1.59,36.42,39.01,9.63,45.46,62.41,52.02,48.62,34.88,61.74,187.49,193.03,163.46,179.41,105.65,110.3,104.06,100.68,84.0,79.99,89.81,104.44,108.98,103.05,100.43,88.34,79.02,70.53,72.45
