Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,1030.35,1010.78,1062.99,1012.02,1174.83,1097.86,1010.67,884.07,785.42,925.9,1048.31,856.9,1103.01,1063.33,1080.47,1153.9,887.75,859.42,831.5,884.21,635.24
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1030.35,1010.78,1062.99,1012.02,1174.83,1097.86,1010.67,884.07,785.42,925.9,1048.31,856.9,1103.01,1063.33,1080.47,1153.9,887.75,859.42,831.5,884.21,635.24
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,469.39,348.91,399.87,367.69,482.88,378.43,456.63,391.8,438.38,433.2,504.37,340.81,602.95,464.58,556.74,422.59,442.5,460.77,540.3,305.6,187.46
Purchase of Traded Goods,3.1,2.15,2.67,6.58,6.83,6.38,6.13,3.79,3.16,3.9,3.79,4.75,8.81,4.72,8.14,4.0,4.13,2.85,4.62,4.6,2.17
Increase/Decrease in Stocks,-67.28,25.53,67.74,104.26,26.97,103.7,-22.74,-20.49,-76.69,-15.85,17.13,28.5,-66.47,34.12,-40.87,109.91,-55.07,-56.76,-171.41,9.75,65.92
Power & Fuel,28.63,32.26,30.08,29.42,28.91,28.62,--,--,29.51,--,--,--,25.13,--,--,22.23,19.26,--,-16.77,16.77,18.17
Employees Cost,119.7,105.36,106.29,107.68,107.87,99.29,99.88,102.91,100.02,100.52,101.16,98.0,94.25,81.43,82.32,80.57,78.3,82.17,78.56,72.34,67.2
Depreciation,43.07,43.77,41.62,40.82,42.56,40.33,40.24,38.98,37.54,37.61,36.67,34.91,31.08,27.83,26.11,25.28,24.92,24.97,24.66,24.23,24.08
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
