Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12
Net Sales/Income from operations,952.72,952.32,868.46,886.16,902.88,864.62,835.95,835.4,752.31,762.55,650.75,683.24,606.05,412.86,517.88,402.17,252.47,115.85,222.51,252.25,260.66,379.25,443.27,491.47,461.47,410.48,440.11,400.07,332.99,257.61,288.67,201.47,152.14,211.39,215.36,195.65,228.83,229.53,224.57,189.37,140.92,112.87,114.41,83.51,90.24,99.75,90.89,86.89,110.47,88.51
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.16,4.32,6.37,10.63,3.68,7.49,5.99,17.01,24.01,21.69,10.32,20.92,5.33,6.68,8.69,5.43,8.25,6.96,6.49
Total Income From Operations,952.72,952.32,868.46,886.16,902.88,864.62,835.95,835.4,752.31,762.55,650.75,683.24,606.05,412.86,517.88,402.17,252.47,115.85,222.51,252.25,260.66,379.25,443.27,491.47,461.47,410.48,440.11,400.07,332.99,257.61,288.67,212.63,156.45,217.75,225.99,199.33,236.32,235.51,241.57,213.38,162.62,123.19,135.32,88.84,96.92,108.45,96.32,95.14,117.44,95.0
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,494.28,478.73,468.27,441.48,478.02,441.32,426.56,452.43,396.98,390.82,363.45,320.28,305.5,261.86,272.98,206.84,115.14,42.99,111.04,115.81,129.39,199.87,212.05,260.34,235.96,234.85,229.43,199.28,176.48,126.55,131.93,91.91,92.39,105.7,96.57,95.18,108.77,106.76,104.4,101.99,76.39,72.28,64.32,42.56,49.05,61.17,48.79,55.53,63.45,58.78
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-90.55,-58.88,-88.67,-36.88,-24.7,-10.62,1.53,-33.35,-33.29,-22.86,-70.43,10.15,-25.25,-99.77,-9.25,-3.16,7.77,12.15,-21.44,-5.15,-11.67,-11.12,18.97,-0.71,-0.33,-34.63,3.43,10.88,-14.45,-17.81,-2.73,-3.91,-51.48,-18.12,0.52,-13.99,-12.13,-5.31,15.2,4.07,4.98,-9.44,7.49,3.48,-0.75,0.4,2.7,-8.88,1.09,-12.91
Power & Fuel,55.4,--,52.95,54.53,--,--,50.82,52.63,46.14,--,--,40.46,40.5,33.65,--,28.23,20.33,--,20.79,21.02,23.05,32.33,32.0,39.44,36.72,34.31,32.86,32.89,29.69,26.24,25.05,20.76,20.83,21.02,19.0,17.1,18.59,16.0,13.93,14.78,13.66,13.39,12.44,8.72,10.3,11.64,9.71,11.31,11.31,12.12
Employees Cost,54.7,54.71,51.9,48.97,41.3,40.29,43.81,39.01,32.41,37.28,35.61,32.23,28.95,31.51,23.79,23.66,21.74,21.18,20.85,23.82,25.48,24.09,24.84,24.59,26.63,20.75,18.98,21.7,25.48,21.23,17.98,20.01,22.45,20.36,20.48,17.02,18.21,18.16,14.28,11.27,10.22,8.91,7.49,7.09,7.49,7.11,7.16,8.09,6.39,6.43
Depreciation,55.6,53.48,55.8,65.29,62.79,59.23,57.07,55.71,48.94,49.63,47.08,45.61,45.09,38.84,36.65,32.63,24.68,22.33,30.1,29.09,28.41,32.57,33.2,32.89,28.0,26.74,24.61,20.5,19.83,19.46,17.78,17.54,17.13,16.6,14.95,13.3,12.72,12.06,9.24,7.66,7.52,6.8,7.63,5.46,6.01,5.81,6.04,5.52,6.45,4.62
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,223.44,265.99,200.78,177.18,200.76,195.68,125.69,136.52,143.79,187.24,178.42,129.11,116.14,90.29,122.69,68.43,41.91,41.03,54.52,49.24,47.13,61.91,66.09,61.98,64.62,68.71,63.75,58.21,50.96,50.62,60.09,44.25,45.47,47.02,46.47,47.53,54.56,50.94,49.67,43.3,30.55,20.18,22.96,15.69,18.2,16.19,15.26,15.65,16.48,15.07
"P/L Before Other Inc. , Int., Excpt. Items & Tax",159.85,158.29,127.42,135.58,144.71,138.72,130.47,132.45,117.33,120.43,96.62,105.41,95.12,56.48,71.02,45.54,20.9,-23.82,6.66,18.42,18.88,39.59,56.12,72.93,69.88,59.74,67.04,56.62,45.28,31.32,38.58,22.07,9.66,25.19,27.99,23.19,35.6,36.91,34.85,30.31,19.29,11.07,12.99,5.83,6.62,6.12,6.67,7.92,12.27,10.89
Other Income,3.75,0.1,7.21,13.63,1.61,3.35,4.74,1.7,0.81,0.59,0.66,--,1.68,0.8,2.21,0.97,0.82,0.62,3.96,1.31,0.4,0.35,0.84,0.96,0.61,0.58,0.84,0.64,1.15,1.12,0.59,0.24,1.01,0.69,0.54,1.32,1.14,0.42,0.58,0.48,0.77,3.91,0.57,0.94,0.58,0.3,0.74,0.16,0.2,0.17
"P/L Before Int., Excpt. Items & Tax",163.6,158.4,134.63,149.21,146.32,142.07,135.21,134.16,118.14,121.03,97.28,105.41,96.8,57.28,73.23,46.51,21.72,-23.21,10.61,19.74,19.28,39.94,56.96,73.89,70.48,60.32,67.88,57.27,46.44,32.44,39.17,22.31,10.67,25.87,28.54,24.51,36.74,37.33,35.43,30.79,20.06,14.98,13.56,6.77,7.21,6.42,7.41,8.08,12.48,11.06
Interest,35.44,32.13,30.12,29.33,36.16,36.58,34.21,31.84,29.6,27.83,25.69,26.21,26.27,20.25,18.3,21.29,19.04,18.14,19.3,17.98,18.06,19.81,20.41,20.72,20.59,17.5,17.7,14.59,18.99,18.54,18.34,20.15,17.03,17.63,15.37,12.09,12.68,12.24,7.78,8.94,7.15,6.42,6.56,5.61,4.9,4.1,4.5,4.76,5.94,5.22
P/L Before Exceptional Items & Tax,128.16,126.26,104.51,119.88,110.16,105.49,101.0,102.31,88.54,93.2,71.59,79.2,70.52,37.02,54.93,25.23,2.68,-41.35,-8.69,1.76,1.22,20.13,36.55,53.17,49.9,42.82,50.18,42.68,27.44,13.9,20.83,2.15,-6.36,8.24,13.16,12.42,24.06,25.09,27.65,21.84,12.91,8.55,7.01,1.15,2.31,2.31,2.9,3.32,6.54,5.84
Exceptional Items,--,102.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.46,-2.65,--,--,--,--,--,--,--,--
P/L Before Tax,128.16,229.14,104.51,119.88,110.16,105.49,101.0,102.31,88.54,93.2,71.59,79.2,70.52,37.02,54.93,25.23,2.68,-41.35,-8.69,1.76,1.22,20.13,36.55,53.17,49.9,42.82,50.18,42.68,27.44,13.9,20.83,2.15,-6.36,8.24,13.16,12.42,24.06,25.09,27.65,21.84,20.37,5.9,7.01,1.15,2.31,2.31,2.9,3.32,6.54,5.84
Tax,28.61,46.34,31.43,32.58,27.9,25.94,24.04,35.5,30.97,29.26,24.33,-7.45,25.4,12.41,19.25,8.55,0.6,-14.88,-2.42,0.06,0.51,6.66,11.62,19.28,17.12,15.1,15.86,14.96,3.91,4.82,6.75,-0.7,-2.23,2.01,2.05,3.23,7.17,7.39,-6.95,4.12,3.86,--,2.31,0.39,0.84,0.79,2.52,1.09,2.09,1.88
P/L After Tax from Ordinary Activities,99.55,182.8,73.08,87.3,82.26,79.55,76.97,66.82,57.57,63.94,47.26,86.65,45.12,24.61,35.68,16.68,2.07,-26.47,-6.27,1.7,0.71,13.47,24.93,33.88,32.78,27.72,34.32,27.72,23.53,9.08,14.09,2.85,-4.13,6.23,11.11,9.19,16.89,17.7,34.6,17.72,16.51,5.9,4.7,0.76,1.47,1.52,0.38,2.23,4.45,3.96
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,99.55,182.8,73.08,87.3,82.26,79.55,76.97,66.82,57.57,63.94,47.26,86.65,45.12,24.61,35.68,16.68,2.07,-26.47,-6.27,1.7,0.71,13.47,24.93,33.88,32.78,27.72,34.32,27.72,23.53,9.08,14.09,2.85,-4.13,6.23,11.11,9.19,16.89,17.7,34.6,17.72,16.51,5.9,4.7,0.76,1.47,1.52,0.38,2.23,4.45,3.96
Equity Share Capital,36.17,36.16,36.16,36.16,36.16,32.9,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.94,31.93,31.93,31.93,32.18,32.61,32.61,32.61,32.61,32.61,32.6,32.59,32.59,32.59,32.59,32.59,28.67,28.67,28.67,28.67,28.67,28.67,28.67,27.47,27.47,27.47,27.47,27.47,26.1,26.1,25.44,25.11,25.11,21.1,18.15,18.15,18.15
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,5.51,10.11,4.04,4.83,4.75,4.98,4.81,4.18,3.6,4.0,2.96,5.43,14.11,7.71,11.17,5.22,0.65,-8.18,-1.92,0.52,0.22,4.13,7.65,10.4,10.06,8.5,10.53,8.51,7.41,3.17,4.91,0.99,-1.44,2.17,3.98,3.32,6.15,6.44,12.6,6.45,6.07,2.26,1.82,0.3,0.59,0.61,0.19,1.23,2.46,2.18
Diluted EPS,5.51,10.09,4.04,4.82,4.75,4.88,4.75,4.15,3.59,4.0,2.96,5.43,14.11,7.7,11.16,5.22,0.65,-8.18,-1.92,0.52,0.22,4.12,7.63,10.34,10.01,8.46,10.48,8.51,7.41,3.17,4.91,0.99,-1.44,2.17,3.98,3.32,5.95,6.26,12.29,6.34,6.02,2.26,1.82,0.3,0.59,0.61,0.19,1.23,2.46,2.18
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.42,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.06,0.86,0.86,0.86
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51.8,51.91,51.98,51.98,51.99,54.72,54.72,56.14,56.88,56.88,50.05,47.57,47.57,47.35
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.32,1.32,1.32,1.32,1.32,1.18,1.18,1.12,0.89,0.89,0.81,0.71,0.63,0.64
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.45,82.45,77.23,74.78,66.37,66.51
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48.2,48.09,48.02,48.02,48.01,45.28,45.28,43.86,35.55,35.55,38.57,39.21,34.8,35.02
