Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,127.93,124.49,126.87,140.64,146.42,142.0,119.91,126.05,133.86,109.73,141.8
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,127.93,124.49,126.87,140.64,146.42,142.0,119.91,126.05,133.86,109.73,141.8
EXPENDITURE,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,11.37,12.22,16.38,7.01,20.61,22.86,19.75,18.47,12.27,13.35,9.9
Depreciation,1.37,0.42,0.43,0.43,0.47,0.45,0.42,0.38,0.31,0.28,0.18
Excise Duty,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,79.24,63.32,72.95,75.38,71.95,61.8,55.34,59.13,63.58,51.8,72.04
"P/L Before Other Inc. , Int., Excpt. Items & Tax",35.95,48.53,37.11,57.82,53.39,56.89,44.4,48.07,57.7,44.3,59.68
Other Income,132.71,153.53,237.77,139.92,132.12,127.89,78.75,77.7,77.59,74.68,71.78
"P/L Before Int., Excpt. Items & Tax",168.66,202.06,274.88,197.74,185.51,184.78,123.15,125.77,135.29,118.98,131.46
Interest,75.55,146.86,67.79,57.1,64.11,56.09,90.23,41.73,102.28,157.59,177.18
P/L Before Exceptional Items & Tax,93.11,55.2,207.09,140.64,121.4,128.69,32.92,84.04,33.01,-38.61,-45.72
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,93.11,55.2,207.09,140.64,121.4,128.69,32.92,84.04,33.01,-38.61,-45.72
Tax,8.25,-37.8,90.9,43.3,16.7,34.96,10.18,18.0,-1.0,-13.83,0.08
P/L After Tax from Ordinary Activities,84.86,93.0,116.19,97.34,104.7,93.73,22.74,66.04,34.01,-24.78,-45.8
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,84.86,93.0,116.19,97.34,104.7,93.73,22.74,66.04,34.01,-24.78,-45.8
Equity Share Capital,414.7,414.29,414.29,412.88,410.3,408.71,406.63,406.63,359.57,59.93,59.93
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,
Basic EPS,0.41,0.44,0.57,0.47,0.5,0.48,0.13,0.32,0.19,-0.14,-1.53
Diluted EPS,0.4,0.45,0.55,0.47,0.52,0.46,0.12,--,0.18,-0.14,--
EPS After Extra Ordinary,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,
Notes,,,,,,,,,,,
