Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Borrowings,Short Term Provisions,Capital Goods
2016-03-31,0.8,0.8,51.93,51.93,0.0,52.73,0.0,0.0,10.53,0.0,13.04,2.46,3.36,5.83,71.6,8.41,0.13,0.0,8.54,0.28,0.0,12.11,0.0,20.93,14.98,14.88,18.27,2.4,0.13,50.66,71.6,0.0,2.3,77.67,0.0,0.0,0.28,0.0,2.52,0.0,0.35
2017-03-31,0.8,0.8,98.32,98.32,2.14,101.26,0.0,0.0,2.21,0.29,3.3,0.68,12.61,14.73,119.29,6.19,0.41,0.0,6.6,0.28,0.38,21.18,0.0,28.44,65.27,9.85,14.67,0.94,0.12,90.85,119.29,0.0,1.28,104.78,0.0,0.0,0.28,0.0,0.79,1.44,0.34
2018-03-31,0.81,0.81,154.07,154.07,2.16,157.04,0.0,0.0,2.32,0.63,2.95,1.82,3.15,7.82,167.82,4.15,0.74,0.0,4.89,0.43,0.92,29.88,0.0,36.12,82.99,30.97,16.69,0.93,0.12,131.7,167.82,0.0,0.63,104.49,0.0,0.0,0.43,0.0,0.0,2.85,0.0
2019-03-31,0.81,0.81,202.02,202.02,2.37,205.2,0.03,0.0,2.11,0.69,2.8,1.84,1.83,4.75,212.78,3.25,0.41,0.0,3.66,0.43,1.08,32.84,0.01,38.02,97.91,22.62,51.6,1.15,1.48,174.76,212.78,0.0,1.42,114.16,0.0,0.0,0.43,0.0,0.0,1.08,0.0
2020-03-31,0.81,0.81,254.18,254.18,2.16,257.15,0.02,0.0,25.21,0.93,26.14,1.81,8.1,9.91,293.21,32.33,0.19,0.0,32.52,0.43,30.46,2.46,24.76,90.63,72.19,20.95,87.89,0.01,21.56,202.58,293.21,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0
2021-03-31,0.81,0.81,323.12,323.12,1.57,325.51,0.12,0.0,22.43,0.94,23.37,1.13,12.05,13.18,362.18,28.1,0.02,0.0,28.12,91.82,28.63,2.55,0.31,151.44,47.92,38.7,97.01,0.01,27.1,210.75,362.18,0.0,0.01,131.64,0.0,0.0,91.82,0.0,0.0,0.0,0.0
2022-03-31,20.04,20.04,835.57,835.57,0.0,855.61,0.0,0.0,18.96,1.29,20.25,2.22,18.59,20.82,896.68,26.72,0.01,0.0,26.74,126.23,25.25,12.66,0.31,191.17,68.0,41.08,492.56,49.91,53.96,705.51,896.68,0.0,53.79,196.11,16.54,0.0,126.23,0.0,0.0,0.0,0.0
2023-03-31,20.49,20.49,963.21,963.21,0.0,983.7,0.0,0.0,14.98,1.81,16.79,2.31,11.64,13.95,1014.44,21.14,0.01,0.0,21.15,246.02,19.08,50.78,28.43,365.45,145.12,50.66,363.21,56.66,33.34,648.99,1014.44,0.3,56.16,248.47,16.54,245.24,0.43,138.39,0.0,0.0,0.0
2024-03-31,20.59,20.59,1081.33,1081.33,0.0,1101.92,0.0,0.0,17.94,3.02,20.96,5.1,14.8,19.89,1142.77,24.66,0.0,0.0,24.66,286.82,5.54,133.25,7.22,457.49,266.13,102.16,146.48,27.25,143.25,685.28,1142.77,0.3,106.64,263.41,16.54,284.62,0.43,257.79,0.0,0.0,0.0
2025-03-31,20.65,20.65,1172.11,1172.11,0.0,1192.75,0.0,1.25,12.48,1.37,15.1,28.07,26.31,54.38,1262.23,28.7,0.0,8.75,37.45,535.99,0.0,25.45,80.61,679.5,309.77,97.63,11.27,51.3,112.76,582.74,1262.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
