Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Capital Goods
2011-06-30,13.48,13.48,364.27,364.27,0.0,377.74,0.41,0.48,26.33,27.22,0.0,2.73,39.67,6.71,49.11,454.08,88.48,18.64,0.11,0.0,107.23,153.1,17.81,42.73,0.01,320.89,61.83,38.58,17.81,6.47,8.5,133.19,454.08,474.55,146.15,299.71,34.73,10.81,153.1,61.83,0.0,0.0,15.94
2012-06-30,13.51,13.51,364.48,364.48,0.0,377.99,0.44,0.51,34.55,35.49,0.0,2.29,40.69,20.55,63.53,477.01,73.16,13.73,0.0,0.0,86.89,152.96,18.74,51.97,0.0,310.56,40.1,64.68,33.76,10.25,17.66,166.45,477.01,225.75,203.07,405.62,2.36,10.81,152.96,40.64,0.0,0.0,2.63
2013-03-31,12.32,12.32,370.07,370.07,0.0,382.39,1.24,0.48,28.59,30.32,0.0,2.77,43.96,21.92,68.66,481.37,69.44,12.71,2.6,0.0,84.76,152.24,21.43,58.05,0.0,316.48,37.0,56.54,38.09,11.37,21.88,164.89,481.37,234.28,168.23,375.21,23.54,9.84,149.55,15.27,0.0,0.0,3.4
2014-03-31,11.08,11.08,332.29,332.29,0.0,343.37,1.35,0.0,17.54,18.9,0.0,2.79,65.19,18.51,86.48,448.76,67.2,10.61,0.34,0.0,78.15,136.55,18.82,60.63,0.26,294.42,81.4,33.69,17.31,6.77,15.18,154.34,448.76,186.19,220.01,528.96,14.91,9.84,134.0,86.18,0.0,0.0,6.77
2015-03-31,11.27,11.27,426.56,426.56,0.0,437.83,0.86,0.0,12.06,12.92,0.0,6.04,46.76,10.62,63.42,514.17,61.42,7.86,1.31,0.0,70.58,152.27,19.26,48.4,3.1,293.62,51.21,74.64,49.79,11.06,33.85,220.55,514.17,203.56,281.54,619.98,11.74,9.84,149.87,54.54,0.0,0.0,7.43
2016-03-31,11.5,11.5,186.39,186.39,0.0,197.89,0.18,0.97,4.93,6.08,0.0,3.82,32.22,5.51,41.55,245.52,42.53,3.43,0.14,0.0,46.1,2.16,14.53,44.08,2.57,109.43,31.14,52.25,35.43,3.78,13.48,136.09,245.52,32.65,224.64,352.45,2.45,9.84,2.16,31.38,0.0,0.0,2.58
2017-03-31,11.69,11.69,219.95,219.95,0.0,231.64,0.38,1.34,6.06,7.78,0.0,1.75,29.18,1.25,32.18,271.6,41.5,3.27,0.01,0.0,44.78,14.04,11.73,46.4,2.82,119.77,101.3,14.35,3.97,3.21,29.0,151.83,271.6,77.11,5.04,115.6,11.89,9.84,14.04,99.03,0.0,0.0,2.9
2018-03-31,11.85,11.85,216.45,216.45,0.0,228.3,0.73,7.6,3.47,13.6,0.0,2.99,33.77,1.24,38.0,279.9,42.69,2.79,2.08,0.0,47.56,14.03,34.24,0.89,11.59,108.31,117.7,26.02,12.28,0.05,15.54,171.59,279.9,4.92,4.9,0.0,160.26,9.84,14.03,111.7,0.0,1.8,0.0
2019-03-31,11.99,11.99,232.53,232.53,15.42,259.94,1.31,3.28,7.55,12.14,0.0,1.78,37.75,1.23,40.76,312.84,42.97,2.25,1.41,0.0,46.63,50.27,28.02,0.84,15.9,141.66,105.63,35.83,12.16,0.12,17.44,171.18,312.84,78.22,4.13,0.0,195.26,9.84,50.27,0.0,19.75,0.0,0.0
2020-03-31,12.14,12.14,234.75,234.75,22.23,269.12,1.13,9.87,9.9,20.9,0.0,1.12,43.01,2.11,46.24,336.26,33.18,2.0,1.67,4.85,41.7,52.47,28.16,0.88,21.46,144.67,121.9,25.61,20.82,0.13,23.13,191.59,336.26,341.81,2.71,0.0,184.5,9.84,38.44,0.0,23.25,0.0,0.0
2021-03-31,12.62,12.62,255.29,255.29,17.63,285.54,0.8,9.2,6.48,16.48,0.0,1.34,67.15,9.19,77.68,379.7,29.1,2.0,1.54,4.5,37.14,55.22,28.99,1.06,5.2,127.61,158.65,44.76,24.44,0.17,24.07,252.09,379.7,267.77,5.15,0.0,158.77,9.84,41.19,0.0,158.65,0.0,0.0
2022-03-31,15.01,15.01,575.34,575.34,11.44,601.79,1.84,14.16,8.38,24.38,0.79,0.47,76.74,10.37,88.37,714.54,29.31,1.84,4.28,4.14,39.57,476.42,32.84,0.0,12.58,561.41,47.77,56.52,16.18,0.0,32.66,153.13,714.54,199.84,3.57,0.0,283.17,9.84,10.77,0.0,47.77,0.0,0.0
2023-03-31,15.26,15.26,727.47,727.47,0.0,742.73,1.93,2.46,11.02,15.41,0.78,24.36,41.19,10.2,76.53,834.67,32.88,0.11,4.33,0.0,37.32,674.36,36.61,0.0,9.71,758.0,0.0,37.57,7.46,0.0,31.64,76.67,834.67,379.99,1.55,0.0,287.81,9.84,0.53,0.0,0.0,0.0,0.0
