Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,134.67,0.5,135.17,82.98,5.58,47.74,-1.13,24.86,23.73,0.04,23.69,0.0,23.69,4.4,19.29,0.69,19.98,12.81,0.0,7.45,7.4,1.41,55.11,1.15,100.0,44.89
2013-03-31,131.69,3.48,135.17,77.38,5.61,47.36,4.82,3.11,7.93,0.08,7.85,0.0,7.85,-1.18,9.03,0.08,9.11,12.32,370.07,3.66,3.63,1.31,53.3,1.15,100.0,46.7
2013-06-30,120.31,3.56,123.87,76.72,6.15,45.82,-4.82,16.61,11.79,0.04,11.75,0.0,11.75,3.25,8.5,3.2,11.7,12.32,0.0,4.75,4.73,1.31,53.3,1.15,100.0,46.7
2013-09-30,131.86,0.66,132.52,78.1,6.32,45.47,2.63,1.44,4.07,0.06,4.01,0.0,4.01,1.79,2.22,1.13,3.35,12.32,0.0,1.36,1.36,1.31,53.3,1.15,100.0,46.7
2013-12-31,143.41,0.51,143.92,84.05,6.58,41.44,11.85,1.58,13.43,0.12,13.31,0.0,13.31,3.97,9.34,0.54,9.88,12.32,0.0,4.01,3.99,1.31,53.31,1.15,100.0,46.69
2014-03-31,149.01,1.11,150.12,86.38,6.61,44.15,12.98,6.27,19.25,0.05,19.2,-15.55,3.65,3.91,-0.26,2.3,2.04,11.08,332.29,0.84,0.84,1.07,48.08,1.15,100.0,51.92
2014-06-30,153.95,1.71,155.66,90.24,6.38,48.68,10.36,6.66,17.02,0.08,16.94,0.0,16.94,5.27,11.67,6.09,17.76,11.11,0.0,8.02,7.77,1.07,48.23,1.15,100.0,51.77
2014-09-30,165.81,0.94,166.75,92.88,6.36,52.47,15.04,12.0,27.04,0.1,26.94,0.01,26.95,4.23,22.72,0.0,22.72,11.15,0.0,10.21,9.83,1.08,48.39,1.15,100.0,51.51
2014-12-31,171.65,1.01,172.66,100.63,6.61,60.35,5.07,4.24,9.31,0.07,9.24,5.51,14.75,2.76,11.99,1.07,13.06,11.22,0.0,5.62,5.58,1.09,48.7,1.15,100.0,51.3
2015-03-31,169.17,0.98,170.15,93.19,7.67,49.41,19.88,0.21,20.09,0.02,20.07,-0.57,19.5,-1.36,20.86,0.0,20.86,11.27,426.58,9.31,8.87,1.1,48.97,1.15,100.0,51.03
2015-06-30,106.48,0.2,106.68,51.25,5.5,37.7,12.23,5.53,17.76,0.07,17.69,-1.83,15.86,5.26,10.6,0.2,10.8,11.41,0.0,4.77,4.46,1.13,49.56,1.15,100.0,50.44
2015-09-30,92.82,0.03,92.85,53.89,3.16,35.77,0.03,3.78,3.81,0.04,3.77,-0.59,3.18,1.27,1.91,0.0,1.91,11.43,0.0,0.83,0.77,1.14,49.66,1.15,100.0,50.34
2015-12-31,98.3,0.0,98.3,56.74,3.09,36.0,2.47,2.13,4.6,0.02,4.58,0.05,4.63,1.67,2.96,0.0,2.96,11.45,0.0,1.29,1.2,0.0,0.0,0.0,0.0,0.0
2016-03-31,80.84,0.0,80.84,53.08,3.14,31.9,-7.28,5.03,-2.25,0.11,-2.36,-0.63,-2.99,-0.69,-2.3,0.0,-2.3,11.5,186.39,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,45.22,9.2,54.42,23.08,2.87,12.17,16.3,2.98,19.28,0.03,19.25,0.0,19.25,4.11,15.14,0.0,15.14,11.57,0.0,6.58,0.25,0.0,0.0,0.0,0.0,0.0
2016-09-30,49.09,0.71,49.8,25.63,3.23,15.63,5.31,2.15,7.46,0.02,7.44,0.0,7.44,2.66,4.78,0.0,4.78,11.62,0.0,2.06,1.97,0.0,0.0,0.0,0.0,0.0
2016-12-31,32.76,0.16,32.92,26.17,2.97,8.81,-5.03,3.75,-1.28,0.06,-1.34,0.0,-1.34,-0.85,-0.49,0.0,-0.49,11.65,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2017-03-31,34.64,0.0,34.64,23.05,2.97,6.92,1.7,2.38,4.08,0.06,4.02,-3.4,0.62,-5.21,5.83,0.0,5.83,11.69,219.95,2.5,2.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,38.94,0.0,38.94,25.83,2.91,7.98,2.22,9.09,11.31,0.03,11.28,0.0,11.28,2.51,8.77,0.0,8.77,11.69,0.0,3.75,3.53,0.0,0.0,0.0,0.0,0.0
2017-09-30,39.95,0.0,39.95,29.09,2.85,8.03,-0.02,3.27,3.25,0.04,3.21,0.0,3.21,1.06,2.15,0.0,2.15,11.75,0.0,0.91,0.86,0.0,0.0,0.0,0.0,0.0
2017-12-31,42.9,0.0,42.9,30.16,2.78,8.47,1.49,7.74,9.23,0.05,9.18,0.0,9.18,2.76,6.42,0.0,6.42,11.8,0.0,2.72,2.61,0.0,0.0,0.0,0.0,0.0
2018-03-31,40.53,0.0,40.53,28.59,2.65,8.68,0.61,3.13,3.74,0.07,3.67,0.0,3.67,5.27,-1.6,0.0,-1.6,11.85,0.0,-0.68,-0.68,0.0,0.0,0.0,0.0,0.0
2018-06-30,47.38,0.0,47.38,32.61,2.9,9.61,2.26,9.08,11.34,0.08,11.26,0.0,11.26,2.5,8.76,0.0,8.76,11.86,0.0,3.69,3.46,0.0,0.0,0.0,0.0,0.0
2018-09-30,48.08,0.0,48.08,35.16,3.51,7.04,2.37,7.93,10.3,0.06,10.24,0.0,10.24,3.1,7.14,0.0,7.14,11.89,0.0,3.0,2.82,0.0,0.0,0.0,0.0,0.0
2018-12-31,48.85,0.0,48.85,34.15,2.79,8.35,3.56,12.93,16.49,0.04,16.45,0.0,16.45,3.75,12.7,0.0,12.7,11.94,0.0,5.32,5.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,45.14,0.0,45.14,32.61,2.88,12.99,-3.34,4.65,1.31,0.09,1.22,0.0,1.22,-0.71,1.93,0.0,1.93,11.99,0.0,0.8,0.76,0.0,0.0,0.0,0.0,0.0
2019-06-30,44.16,0.0,44.16,29.68,2.96,10.93,0.59,3.99,4.58,0.1,4.48,0.0,4.48,1.39,3.09,0.0,3.09,11.99,0.0,1.29,1.22,0.0,0.0,0.0,0.0,0.0
2019-09-30,42.31,0.0,42.31,31.84,2.94,10.92,-3.39,16.69,13.3,0.14,13.16,-1.99,11.17,1.71,9.46,0.0,9.46,12.01,0.0,3.94,3.73,0.0,0.0,0.0,0.0,0.0
2019-12-31,36.6,0.0,36.6,30.81,2.81,8.07,-5.09,12.69,7.6,0.07,7.53,-4.53,3.0,0.15,2.85,0.0,2.85,12.06,0.0,1.19,1.12,0.0,0.0,0.0,0.0,0.0
2020-03-31,40.37,0.0,40.37,31.31,2.42,6.5,0.14,15.49,15.63,0.14,15.49,-0.31,15.18,3.13,12.05,0.0,12.05,12.14,0.0,4.97,4.72,0.0,0.0,0.0,0.0,0.0
2020-06-30,40.6,0.0,40.6,30.23,2.57,6.43,1.37,7.06,8.43,0.12,8.31,0.0,8.31,10.21,-1.9,0.0,-1.9,12.21,0.0,-0.78,-0.78,0.0,0.0,0.0,0.0,0.0
2020-09-30,42.11,0.0,42.11,35.94,2.64,5.88,-2.35,4.09,1.74,0.12,1.62,-7.0,-5.38,-1.07,-4.31,0.0,-4.31,12.27,0.0,-1.76,-1.76,0.0,0.0,0.0,0.0,0.0
2020-12-31,45.6,0.0,45.6,33.28,3.15,6.74,2.43,20.12,22.55,0.09,22.46,0.0,22.46,5.33,17.13,0.0,17.13,12.47,0.0,6.93,6.94,0.0,0.0,0.0,0.0,0.0
2021-03-31,58.83,0.0,58.83,41.75,2.43,9.43,5.22,3.6,8.82,0.25,8.57,0.0,8.57,3.03,5.54,0.0,5.54,12.62,0.0,2.21,2.13,0.0,0.0,0.0,0.0,0.0
2021-06-30,59.56,0.0,59.56,44.63,2.69,7.82,4.42,5.89,10.31,0.1,10.21,0.0,10.21,4.91,5.3,0.0,5.3,12.64,0.0,2.1,2.02,0.0,0.0,0.0,0.0,0.0
2021-09-30,61.07,0.0,61.07,48.97,2.98,4.83,4.29,28.91,33.2,0.23,32.97,4.83,37.8,3.68,34.12,0.0,34.12,14.82,0.0,13.11,12.7,0.0,0.0,0.0,0.0,0.0
