Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,3.74,4.32,3.69,3.72,4.51,5.52,6.32,5.08,10.46,16.98,17.64,12.73,14.66,13.26,14.29,157.49,243.11,19.31,53.68,9.24,229.8,80.18,8.82,196.13,9.97,176.36,7.77,128.98,11.81,119.74,5.54,91.65,7.02,5.15,5.2,5.27,5.03,136.42,30.83,45.51,38.76,416.37,14.89,--,191.65,292.27,190.1,156.5,172.13,165.79
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98.06,7.76,126.46,7.91,--,--,--,--,--,--,111.76,22.62,--,20.54,122.24,9.05,85.71
Total Income From Operations,3.74,4.32,3.69,3.72,4.51,5.52,6.32,5.08,10.46,16.98,17.64,12.73,14.66,13.26,14.29,157.49,243.11,19.31,53.68,9.24,229.8,80.18,8.82,196.13,9.97,176.36,7.77,128.98,11.81,119.74,5.54,91.65,7.02,103.21,12.96,131.73,12.94,136.42,30.83,45.51,38.76,416.37,14.89,111.76,214.27,292.27,210.64,278.74,181.18,251.5
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137.73,141.74,133.78,115.21,124.87,123.67
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1.02,2.42,0.77,-7.05,6.02,-1.67
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,1.66,1.32,1.72,1.23,1.24,1.19,2.49,1.26,1.38,2.7,2.52,2.62,3.17,2.69,2.69,13.07,7.73,4.17,5.06,4.29,3.1,5.44,6.7,7.62,40.44,12.34,11.8,11.82,5.59,10.44,12.34,11.47,10.96,9.06,8.97,8.21,12.46,6.96,9.3,10.51,15.74,12.94,13.55,10.41,14.46,22.63,20.94,21.39,22.24,22.65
Depreciation,0.32,0.29,0.31,0.31,0.31,0.32,0.37,0.59,0.73,0.75,0.79,0.83,0.83,0.83,0.83,0.99,1.08,0.98,0.81,0.93,7.56,0.9,0.74,0.69,0.45,0.42,0.43,0.45,0.49,0.48,0.47,0.48,0.48,0.48,0.49,0.51,0.55,0.62,0.77,0.79,1.17,1.1,1.11,1.0,5.73,5.94,5.97,5.98,6.05,6.09
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,88.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
