Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities
2011-03-31,171.05,171.05,0.0,4937.61,4937.61,5108.66,43014.78,1888.36,1444.56,51456.36,2935.05,813.25,14537.68,31953.23,289.82,927.34,51456.36,743.0,8270.0,16.79,15.63,1.16,1148.33,3.0,190.69,0.6,1.0,2474.8,23025.27
2012-03-31,171.05,171.05,0.0,5535.28,5535.28,5706.33,48937.12,4241.03,1742.29,60626.77,2424.15,1108.4,17402.49,37755.99,326.14,1609.61,60626.77,978.0,8745.0,16.64,15.86,0.78,1300.83,3.0,199.0,0.53,1.0,2377.8,37038.72
2013-03-31,171.06,171.06,0.0,6193.6,6193.6,6364.66,57614.86,5186.99,1883.06,71049.57,2742.5,977.49,21154.59,44096.7,397.47,1680.81,71049.57,1103.0,10059.0,14.73,14.09,0.64,1554.01,3.0,431.94,0.98,1.0,2460.46,31472.54
2014-03-31,171.06,171.06,0.0,6779.53,6779.53,6950.59,59731.28,5687.96,2224.32,74594.15,3104.29,1425.09,24117.85,43436.1,424.96,2085.86,74594.15,1174.0,10467.0,15.14,14.59,0.55,1087.41,2.0,321.56,0.74,1.0,2425.03,24691.53
2015-03-31,171.33,171.33,0.0,7566.8,7566.8,7738.14,70824.99,2308.24,1979.11,82850.48,3379.54,1400.45,24409.19,51284.99,466.63,1909.67,82850.48,1247.0,10981.0,15.46,14.81,0.65,1057.73,2.0,373.27,0.73,1.0,2122.07,18436.48
2016-03-31,343.79,343.79,0.0,7747.43,7747.43,8091.22,79171.71,2176.57,1990.54,91430.03,3774.54,1645.27,22217.49,58090.14,519.98,5182.61,91430.03,1252.0,11760.0,13.93,13.36,0.57,1667.77,3.0,950.01,1.64,2.0,2837.33,21770.4
2017-03-31,344.81,344.81,5.01,8592.56,8597.57,8942.38,97664.56,5897.32,2472.67,114976.93,4576.57,2875.61,28196.09,73336.27,489.47,5502.93,114976.93,1252.0,11593.0,12.39,11.81,0.58,1727.05,2.0,941.2,1.28,1.0,2568.35,0.0
2018-03-31,394.43,394.43,5.01,11810.8,11815.81,12210.24,111992.49,11533.5,2577.73,138313.95,5132.76,4070.65,30781.07,91957.47,457.37,5914.63,138313.95,1252.0,12112.0,14.7,14.18,0.52,2795.62,3.0,1551.96,1.69,2.0,3123.36,0.0
2019-03-31,397.01,397.01,5.01,12871.02,12876.03,13273.04,134954.34,7781.32,3331.29,159339.99,6419.17,3647.63,31824.47,110222.95,472.04,6753.73,159339.99,1251.0,12227.0,14.14,13.38,0.76,3260.68,3.0,1626.2,1.48,1.0,3542.81,29344.68
2020-03-31,398.53,398.53,5.01,14114.07,14119.08,14517.61,152290.08,10372.43,3457.93,180638.05,6174.91,6399.67,35892.68,122267.91,479.99,9422.89,180638.05,1263.0,12496.0,14.35,13.29,1.06,3530.83,3.0,1607.17,1.31,1.0,3767.65,34460.07
2021-03-31,399.23,399.23,5.01,15719.37,15724.38,16123.61,172644.48,9068.5,3530.8,201367.39,7647.04,11944.35,37186.21,131878.6,491.13,12220.06,201367.39,1272.0,12592.0,14.62,13.85,0.78,4602.39,3.0,1569.28,1.19,1.0,36417.34,36417.34
2022-03-31,420.51,420.51,0.0,18373.33,18373.33,18793.84,181700.59,15393.11,5058.77,220946.31,9999.27,11011.08,39179.46,144928.33,633.94,15194.23,220946.31,0.0,0.0,15.77,0.0,0.0,4136.74,3.0,1392.62,0.96,0.0,0.0,0.0
2023-03-31,423.24,423.24,0.0,21083.0,21083.0,21506.24,213386.04,19319.28,6130.27,260341.83,12590.85,5097.83,48983.35,174446.88,933.97,18288.95,260341.83,0.0,0.0,14.81,0.0,0.0,4183.77,2.0,1205.01,0.69,0.0,0.0,0.0
2024-03-31,487.07,487.07,0.0,28607.35,28607.35,29094.42,252534.02,18026.41,8656.95,308311.8,11493.57,7469.35,60859.53,209403.33,1020.06,18065.96,308311.8,0.0,0.0,16.13,0.0,0.0,4528.87,2.13,1255.33,0.6,1.32,0.0,0.0
2025-03-31,491.17,491.17,0.0,32929.45,32929.45,33420.62,283647.47,23726.3,8210.41,349004.8,20354.43,10504.81,66245.61,234836.39,1478.27,15585.29,349004.8,0.0,0.0,16.4,0.0,0.0,4375.54,1.84,1040.38,0.44,1.23,0.0,0.0
