Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1036.59,1057.6,966.98,1004.6,969.01,990.44,880.45,884.88,869.3,908.35,829.89,785.93,714.16,704.8,529.93,767.55,716.42,635.67,169.11,512.35,526.4,528.91,562.84,277.73,280.35,313.88,261.85,255.43,249.65,240.78,187.13,200.62,188.87,196.34,177.86,179.21,177.1,179.48,157.46,152.7,163.28,168.5,152.34,159.78,161.18,152.62,130.37,148.48,146.45,139.57
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.41,3.02,2.23,2.77,2.83,2.37,3.27,2.97,2.25,2.98,3.17,3.84,2.76,2.64,3.65,3.76,4.33,2.84,2.47
Total Income From Operations,1036.59,1057.6,966.98,1004.6,969.01,990.44,880.45,884.88,869.3,908.35,829.89,785.93,714.16,704.8,529.93,767.55,716.42,635.67,169.11,512.35,526.4,528.91,562.84,277.73,280.35,313.88,261.85,255.43,249.65,240.78,187.13,202.03,191.89,198.57,180.63,182.04,179.47,182.75,160.43,154.95,166.26,171.67,156.18,162.54,163.82,156.27,134.13,152.81,149.29,142.04
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,604.77,616.68,550.01,540.27,561.39,584.12,525.15,519.9,505.42,541.77,500.58,453.62,418.0,398.81,310.9,472.35,455.98,365.83,86.53,312.8,300.4,289.97,334.54,153.94,174.38,185.67,162.96,154.57,155.78,147.53,115.86,122.85,113.88,121.7,105.63,107.73,105.67,110.13,95.42,93.43,98.11,103.64,93.88,101.49,103.07,97.98,82.46,90.45,95.29,94.7
Purchase of Traded Goods,29.6,35.69,26.37,21.94,40.35,31.19,32.63,39.35,48.95,44.18,41.86,36.21,42.44,34.58,18.48,23.44,37.89,24.03,10.79,19.7,15.55,16.31,18.55,--,--,--,--,1.17,--,--,0.31,4.82,0.28,2.04,1.96,3.86,1.61,2.08,1.92,4.41,1.78,4.93,1.52,1.33,0.69,--,--,--,--,--
Increase/Decrease in Stocks,-11.84,-5.47,12.28,49.25,-12.94,-1.31,-11.92,-8.85,-5.51,-0.95,-8.16,7.72,-6.01,5.16,4.58,-8.25,-42.33,16.04,8.77,-27.37,-3.68,19.16,-7.64,3.37,-6.32,1.36,-3.51,-0.03,-3.45,-1.37,-4.73,2.06,-1.26,-2.0,4.46,-2.59,-0.35,-1.25,2.41,-2.16,4.91,-1.1,0.39,-1.53,-0.68,-0.67,0.54,6.27,-0.15,-3.31
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,170.82,163.48,157.61,152.55,158.17,158.6,148.1,143.41,133.84,131.62,125.14,112.74,111.31,111.28,101.21,112.34,108.63,91.75,49.68,90.39,80.76,77.32,86.8,37.27,36.61,35.79,34.57,32.87,32.29,30.1,28.86,25.33,27.57,27.79,25.09,25.01,27.28,21.73,21.27,20.95,20.59,20.34,19.44,17.96,18.73,18.11,18.85,17.0,18.07,17.4
Depreciation,42.49,42.38,38.04,36.07,34.21,33.96,31.87,31.27,26.97,26.83,24.9,26.1,26.12,26.23,24.31,23.31,23.41,23.7,19.29,21.16,20.73,20.23,20.18,9.46,8.09,7.91,7.44,7.27,6.73,5.69,5.13,4.99,4.81,4.96,4.75,4.82,4.63,4.52,4.51,4.36,4.26,3.97,4.78,5.67,5.51,5.33,5.16,4.63,4.26,3.91
