Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-06-30,71.72,0.0,71.72,17.25,4.87,10.14,10.61,23.59,5.27,0.5,5.77,7.31,-1.53,0.0,-1.53,-0.33,-1.21,-1.21,572.98,0.0,-0.02,0.0
2020-09-30,186.62,0.0,186.62,58.3,-6.74,13.03,11.14,57.86,53.04,46.18,99.21,6.83,92.38,0.0,92.38,9.84,82.54,82.54,572.98,0.0,1.44,1.44
2020-12-31,438.99,0.0,438.99,207.65,-39.75,42.35,21.21,98.37,109.16,0.05,109.21,6.92,102.3,0.0,102.3,28.72,73.58,73.58,583.29,0.0,1.26,1.28
2021-03-31,20.46,49.38,69.84,-45.09,14.74,-3.57,3.85,74.27,25.64,30.0,55.64,7.95,47.68,-13.91,33.78,0.65,33.13,33.13,572.98,652.08,0.58,0.0
2021-06-30,264.0,0.0,264.0,83.72,-1.35,17.36,13.35,77.74,73.19,0.02,73.21,7.95,65.26,13.27,78.53,20.14,58.4,58.4,583.29,0.0,1.02,1.02
2021-09-30,303.13,0.0,303.13,101.19,-4.22,17.37,16.52,91.54,80.74,0.24,80.99,2.21,78.77,0.0,78.77,20.04,58.73,58.73,583.29,0.0,1.01,1.01
2021-12-31,439.14,0.0,439.14,190.37,-14.99,39.68,32.86,108.47,82.75,4.97,87.72,3.05,84.67,0.0,84.67,8.56,76.11,76.11,584.35,0.0,1.3,1.3
2022-03-31,496.05,0.0,496.05,218.75,-3.33,37.66,34.61,124.51,83.86,45.58,129.44,3.19,126.26,0.0,126.26,1.84,124.42,124.42,584.35,0.0,2.13,2.13
2022-06-30,538.54,0.0,538.54,238.27,0.32,40.87,37.13,132.2,89.75,0.68,90.43,2.66,87.77,0.0,87.77,22.15,65.62,65.62,584.35,0.0,1.12,1.12
2022-09-30,603.75,0.0,603.75,279.48,-3.69,41.84,40.05,135.07,111.0,2.6,113.59,4.05,109.55,0.0,109.55,26.29,83.26,83.26,584.35,0.0,1.42,1.42
2022-12-31,625.99,0.0,625.99,247.55,18.81,45.43,44.14,144.53,125.53,2.78,128.31,4.87,123.44,0.0,123.44,27.85,95.59,95.59,584.35,0.0,1.63,1.63
2023-03-31,700.34,0.0,700.34,300.61,11.65,42.89,45.22,154.97,144.99,37.02,182.01,4.78,177.23,-3.37,173.86,30.25,143.62,143.62,585.4,0.0,2.45,2.45
2023-06-30,673.83,0.0,673.83,286.94,-6.65,46.79,48.24,160.55,137.96,6.59,144.55,5.25,139.3,-2.84,136.46,34.83,101.63,101.63,585.42,0.0,1.74,1.73
2023-09-30,719.5,0.0,719.5,329.13,-12.08,48.18,49.94,150.47,153.87,26.18,180.04,5.99,174.06,-5.87,168.18,37.68,130.5,130.5,585.42,0.0,2.23,2.23
2023-12-31,703.14,0.0,703.14,305.0,-15.19,56.89,51.14,147.06,158.24,4.26,162.5,7.03,155.47,0.0,155.47,33.71,121.76,121.76,586.44,0.0,2.08,2.08
2024-03-31,795.21,0.0,795.21,345.29,-2.78,59.29,53.27,168.49,171.64,4.58,176.22,7.12,169.1,0.0,169.1,38.51,130.59,130.59,586.45,0.0,2.23,2.23
2024-06-30,831.08,0.0,831.08,352.02,1.72,59.69,55.48,177.13,185.04,25.09,210.13,8.55,201.59,0.0,201.59,46.63,154.96,154.96,586.46,0.0,2.64,2.64
2024-09-30,841.8,0.0,841.8,367.72,3.66,61.76,56.62,172.94,179.11,20.28,199.39,10.17,189.22,-11.01,178.21,45.91,132.3,132.3,621.26,0.0,2.22,2.22
2024-12-31,786.56,0.0,786.56,342.33,5.94,63.58,60.81,158.45,155.46,44.98,200.44,5.01,195.43,-5.7,189.73,49.15,140.59,140.59,621.44,0.0,2.26,2.26
2025-03-31,773.36,0.0,773.36,325.79,7.3,60.3,59.76,161.89,158.33,50.42,208.75,4.18,204.57,-2.57,201.99,50.15,151.85,151.85,621.72,0.0,2.44,2.44
