Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1565.82,1585.09,1381.41,1164.04,933.89,1235.4,1150.45,1034.11,790.13,908.62,1012.06,819.4,717.17,696.8,630.61,600.71,692.3,687.76,687.66,455.88,585.4,743.98,706.18,825.76,605.76,650.27,623.65,569.75,541.88,572.38,633.68,491.94,760.96,435.12,533.21,465.59,679.24,521.05,566.41,570.97,762.95,521.0,553.78,683.29,603.53,623.35,590.56,600.07,589.13,531.29
Other Operating Income,6.31,7.4,--,--,9.74,8.85,8.38,8.83,6.74,8.67,6.87,7.83,5.34,8.55,9.1,6.01,8.47,4.63,3.48,--,5.53,8.21,6.68,5.42,7.0,9.36,6.15,5.1,1.41,9.56,13.75,6.21,8.69,6.85,6.21,13.37,17.24,12.86,14.31,12.77,21.12,16.58,16.14,15.55,19.8,16.98,12.93,14.9,16.64,10.16
Total Income From Operations,1572.13,1592.49,1381.41,1164.04,943.63,1244.25,1158.83,1042.94,796.87,917.29,1018.93,827.23,722.51,705.35,639.71,606.72,700.77,692.39,691.14,455.88,590.93,752.19,712.86,831.18,612.76,659.63,629.8,574.85,543.29,581.94,647.43,498.15,769.65,441.97,539.42,478.96,696.48,533.91,580.72,583.74,784.07,537.58,569.92,698.84,623.33,640.33,603.49,614.97,605.77,541.45
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,428.93,404.25,346.45,331.81,295.04,298.09,277.36,212.96,250.5,252.42,215.05,199.45,156.59,180.3,140.46,129.82,153.22,163.11,149.45,46.12,158.8,177.53,172.98,188.23,179.09,170.69,164.91,140.02,137.13,181.19,181.05,171.96,157.09,195.4,171.96,112.49,163.38,154.93,125.08,108.12,157.15,139.23,132.48,142.86,138.5,147.34,131.24,113.83,128.53,122.93
Purchase of Traded Goods,538.96,575.64,455.22,323.13,230.9,391.61,419.21,317.44,154.28,229.29,344.32,187.0,156.89,151.88,142.64,158.74,159.99,174.25,272.45,127.11,115.59,142.38,130.06,182.28,88.57,115.98,111.86,113.84,92.2,103.09,140.65,55.51,230.15,110.98,55.51,109.51,175.11,83.07,127.96,109.71,180.19,95.32,133.77,150.25,104.88,103.37,109.71,129.09,166.34,93.68
Increase/Decrease in Stocks,-32.81,-21.17,-1.81,-22.84,-39.79,45.78,-33.98,23.07,-17.48,-29.59,-14.4,10.32,27.74,-14.81,7.6,-12.8,10.74,-1.06,-67.11,30.13,-26.97,14.67,4.58,-7.3,-16.23,4.24,-0.49,-2.01,25.13,-5.25,18.57,48.73,58.36,-145.49,90.0,-5.77,7.73,-13.67,-14.67,22.74,4.09,-14.48,-44.79,-1.99,11.93,-6.78,2.64,25.09,-24.97,-7.1
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,119.95,82.2,101.27,95.0,84.95,79.19,78.63,73.32,68.56,78.13,72.15,65.61,50.14,68.62,65.39,66.82,64.27,57.58,61.13,52.49,55.47,65.37,70.86,58.31,56.01,65.05,63.54,67.0,46.38,53.55,51.07,59.52,45.15,54.55,59.52,78.4,57.44,62.36,58.15,61.29,73.25,57.89,59.73,57.82,47.17,55.43,54.87,59.18,54.66,49.17
Depreciation,40.54,27.16,30.7,34.88,35.54,35.45,35.69,36.0,36.67,37.98,38.3,37.7,36.35,36.7,34.86,34.25,38.43,33.16,33.4,33.46,46.85,35.94,34.8,34.79,23.77,23.53,24.89,23.73,23.99,24.66,23.67,23.33,23.87,24.19,23.33,22.91,31.99,25.17,22.79,22.33,23.43,22.96,27.79,28.08,21.25,22.68,20.97,21.65,24.36,22.94
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,17.86,20.36,13.42,23.27,17.93,16.96,--,39.43,38.67,37.32,--,60.27,29.39,28.66,27.23,30.43,34.71,34.41,31.85,34.82,32.83,31.85,32.29,49.27,74.65,58.98,39.78,96.74,89.12,71.45,58.83,77.3,75.88,71.7,72.37,62.81,75.97
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,247.52,193.22,214.32,182.81,198.45,210.45,194.4,167.51,184.13,184.01,166.22,158.84,166.72,126.19,119.84,106.83,131.93,124.27,113.62,141.93,158.62,152.15,154.07,211.98,180.01,158.7,143.94,131.27,141.44,123.02,130.69,125.43,141.71,124.69,125.43,110.28,149.39,137.2,140.04,138.13,156.03,127.43,156.67,147.37,160.37,132.08,146.62,137.3,115.81,119.65
