Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-06-30,136.24,0.0,136.24,74.82,0.0,0.0,16.64,14.62,20.67,9.49,1.35,10.84,12.21,-1.37,0.0,-1.37,0.0,-1.37,-1.37,74.01,0.0,-0.25,-0.25
2016-09-30,208.64,0.0,208.64,137.39,0.0,0.0,22.76,13.18,21.89,13.42,2.68,16.1,4.77,11.33,0.0,11.33,0.0,11.33,11.33,66.52,0.0,1.9,1.9
2016-12-31,266.94,0.0,266.94,162.21,0.0,0.0,20.25,12.74,27.25,44.49,1.87,46.36,6.37,39.99,-30.47,9.52,2.22,7.3,7.3,89.71,0.0,1.18,1.18
2017-03-31,209.18,4.04,213.22,140.97,0.0,0.0,13.65,15.88,41.75,41.27,1.25,42.51,7.51,35.0,0.0,35.01,-0.94,35.95,35.95,74.01,426.0,0.0,0.0
2017-06-30,200.1,0.0,200.1,108.39,0.0,0.0,22.05,16.86,24.94,27.86,4.54,32.4,6.83,25.57,0.0,25.57,5.37,20.2,20.2,89.55,0.0,2.75,2.62
2017-09-30,216.1,0.0,216.1,116.77,0.0,0.0,22.8,17.29,29.57,29.67,6.46,36.13,1.49,34.64,0.0,34.64,7.17,27.47,27.47,89.71,0.0,3.07,2.9
2017-12-31,228.98,0.0,228.98,114.22,0.0,0.0,24.68,15.29,37.16,37.63,6.84,44.47,3.51,40.96,0.0,40.96,8.63,32.33,32.33,89.71,0.0,3.6,3.39
2018-03-31,98.25,0.0,98.25,42.92,0.0,0.0,19.12,11.83,26.67,-2.29,9.38,7.09,1.62,5.47,0.0,5.47,-21.65,27.12,27.12,90.82,0.0,3.0,2.84
2018-06-30,235.41,0.0,235.41,111.62,0.0,0.0,31.04,17.2,30.34,45.21,9.72,54.93,3.17,51.76,0.0,51.76,6.61,45.15,45.15,91.03,0.0,4.97,4.71
2018-09-30,205.61,0.0,205.61,111.22,0.0,0.0,28.35,15.04,20.98,30.02,10.8,40.82,3.9,36.92,0.0,36.92,2.91,34.01,34.01,91.4,0.0,3.73,3.53
2018-12-31,181.1,0.0,181.1,95.36,0.0,0.0,26.13,16.19,24.05,19.37,9.15,28.52,4.78,23.74,0.0,23.74,-7.93,31.67,31.67,91.5,0.0,3.46,3.29
2019-03-31,271.91,0.0,271.91,145.5,0.0,0.0,32.08,17.45,41.77,35.11,6.97,42.08,5.03,37.05,0.0,37.05,1.19,35.86,35.86,91.5,0.0,3.91,3.78
