Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,Capital Goods,Preference Share Capital
2011-03-31,61.55,61.55,383.77,383.77,0.0,0.0,445.31,0.0,0.0,0.0,2.67,2.67,144.11,122.24,5.94,2.14,274.42,722.4,6.03,37.7,65.31,0.0,109.04,62.98,0.0,1.53,218.87,53.89,185.55,189.41,37.16,0.41,503.54,722.4,2.13,6.32,74.4,0.0,50.45,62.98,0.0,53.89,45.32,37.12,186.71,3.12,0.0
2012-03-31,61.55,61.55,304.44,304.44,0.0,0.0,365.99,0.0,0.0,0.0,2.3,2.3,165.59,72.92,6.03,1.92,246.46,614.75,8.74,53.22,75.99,0.0,137.94,58.75,0.0,0.25,242.87,15.86,202.98,74.09,25.69,2.08,371.89,614.75,0.1,10.43,67.35,0.0,50.45,58.75,0.0,15.86,45.92,51.19,93.72,7.51,0.0
2013-03-31,61.55,100.98,227.87,227.87,0.0,0.0,328.85,3.0,0.0,0.18,2.56,5.74,176.9,113.7,5.49,1.01,297.09,631.68,13.24,63.45,0.21,71.77,148.68,4.57,0.0,0.86,202.73,0.0,200.72,126.37,55.42,4.74,428.95,631.68,204.49,9.46,93.96,8.1,50.45,4.57,0.0,0.0,48.63,41.7,93.84,7.07,39.43
2014-03-31,61.55,100.98,233.14,233.14,0.0,0.0,334.12,30.0,0.0,0.44,1.59,32.03,217.91,141.86,11.94,1.97,373.69,739.84,28.97,35.6,0.0,84.32,148.89,4.59,0.0,34.01,241.07,0.0,208.31,217.4,22.02,16.27,498.77,739.84,154.77,17.42,167.37,1.92,50.45,4.59,0.0,0.0,53.58,34.77,146.94,3.21,39.43
2015-03-31,61.55,125.53,216.59,216.59,0.0,0.0,342.12,5.0,0.0,0.0,1.42,6.42,209.05,122.67,30.39,1.96,364.07,712.61,26.09,24.78,0.13,88.34,139.34,4.59,0.0,3.02,201.34,0.0,222.2,194.72,47.88,21.53,511.27,712.61,164.15,24.38,148.69,1.89,50.45,4.59,0.0,0.0,54.38,24.95,148.11,2.13,63.99
2016-03-31,66.52,66.52,303.08,303.08,0.0,0.0,369.61,29.0,0.0,0.0,1.96,30.96,217.44,199.8,15.22,2.87,435.33,835.9,29.1,65.19,0.0,52.47,146.76,4.59,0.0,31.62,238.78,0.0,231.58,249.14,69.05,15.05,597.12,835.9,179.84,22.7,188.33,0.45,50.45,4.59,0.0,0.0,55.81,32.31,241.15,5.81,0.0
2017-03-31,74.01,74.01,518.3,518.3,0.0,0.0,592.31,2.0,0.0,0.0,2.1,4.1,252.29,107.99,65.16,4.64,430.08,1026.49,27.99,64.09,0.0,19.29,111.37,4.59,96.9,137.2,354.98,0.0,182.33,366.96,69.82,36.39,671.51,1026.49,65.6,368.83,0.0,302.29,50.45,4.59,0.0,0.0,4.92,16.01,0.0,0.0,0.0
2018-03-31,94.09,94.09,1057.81,1057.81,0.0,0.0,1151.9,1.0,0.0,0.0,1.14,2.14,0.0,105.09,57.04,6.89,169.02,1323.06,35.98,38.75,0.0,46.85,121.58,10.87,121.16,67.24,326.26,76.52,190.89,259.48,235.24,234.09,996.8,1323.06,62.67,186.59,0.0,203.15,50.45,10.87,76.52,0.0,5.41,0.58,0.0,0.0,0.0
2019-03-31,94.99,94.99,1196.73,1196.73,0.0,27.02,1318.74,0.0,0.0,0.0,1.75,1.75,0.0,163.86,87.83,8.14,259.83,1580.32,30.68,68.44,0.0,41.38,140.5,10.87,138.0,80.0,373.72,86.55,181.39,607.39,122.56,207.92,1206.6,1580.32,91.56,286.19,0.0,123.69,50.45,0.0,86.55,0.0,4.35,0.79,0.0,0.0,0.0
2020-03-31,95.48,95.48,950.36,950.36,0.0,33.92,1079.76,0.0,0.0,21.91,0.59,22.5,0.0,77.92,52.58,7.08,137.58,1239.84,51.84,26.81,0.0,26.99,105.64,10.87,41.7,136.16,299.95,50.97,251.99,364.24,142.76,128.86,939.89,1239.84,121.21,281.83,0.0,143.07,50.45,0.0,50.97,0.0,5.58,1.07,0.0,0.0,0.0
