Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Capital,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,1.36,1.36,9.57,9.57,0.0,10.93,7.64,0.8,0.0,0.0,8.44,0.0,0.0,14.69,1.12,15.81,35.18,10.55,0.0,0.11,0.0,0.0,10.66,1.49,0.0,0.0,0.0,12.16,6.73,6.64,6.24,3.25,0.17,23.02,35.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1.36,1.36,18.16,18.16,0.0,19.52,13.89,1.1,0.0,0.0,14.99,0.0,0.0,25.88,3.24,29.11,63.62,16.22,0.0,0.25,0.0,0.0,16.47,0.29,0.0,0.0,0.0,16.76,9.1,10.75,24.41,2.33,0.27,46.86,63.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1.61,1.61,61.42,61.42,0.0,63.03,24.57,1.25,0.0,0.0,25.82,0.0,0.0,77.41,6.3,83.71,172.56,22.61,0.0,5.93,0.0,0.0,28.54,0.62,0.0,0.0,0.78,29.94,36.67,23.75,47.96,33.76,0.49,142.62,172.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,14.69,14.69,82.37,82.37,0.0,97.07,17.8,1.57,0.0,0.0,19.37,17.25,32.21,61.64,20.41,131.52,247.95,23.08,0.0,12.09,0.0,0.0,35.17,0.81,0.96,0.0,0.58,37.53,77.74,48.37,45.31,39.01,0.0,210.43,247.95,5.59,56.5,0.73,0.0,0.0,0.0,13.05,0.36,0.67,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,16.37,16.37,209.96,209.96,0.0,226.34,0.52,1.83,0.0,0.0,2.35,54.03,47.96,79.2,51.72,232.92,561.82,26.44,0.0,17.7,0.0,0.0,44.14,1.07,2.09,0.0,0.39,47.68,135.17,62.73,219.43,96.8,0.0,514.14,561.82,13.01,141.55,0.9,0.0,0.0,0.0,13.05,0.67,0.81,0.0,0.0,0.0,100.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,18.44,18.44,373.23,373.23,0.0,391.67,0.52,2.65,0.0,0.0,3.17,11.32,43.93,62.52,110.59,228.35,623.2,63.1,0.73,15.77,0.0,0.0,79.6,7.74,1.95,0.0,0.19,89.49,143.21,56.59,95.99,237.91,0.0,533.71,623.2,42.12,102.56,0.89,1.28,0.0,0.0,13.05,0.29,8.41,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,18.81,18.81,428.07,439.72,0.0,458.53,0.63,4.22,0.0,0.0,4.85,73.68,68.55,66.42,28.41,237.06,700.44,81.39,0.78,26.68,0.0,0.0,108.84,49.16,4.09,0.0,0.0,162.1,189.59,95.49,106.05,147.21,0.0,538.34,700.44,45.73,70.71,0.77,1.28,0.0,2.25,13.05,1.65,48.49,11.65,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,18.81,18.81,491.97,501.89,0.0,532.8,0.0,0.0,0.0,4.92,4.92,71.38,46.12,64.32,40.87,222.68,760.4,94.07,0.19,8.4,0.0,0.0,102.66,74.41,0.2,4.8,30.22,212.29,167.09,120.66,65.54,179.65,15.16,548.11,760.4,331.77,72.97,0.98,1.28,0.31,0.53,13.05,1.95,73.78,9.92,0.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,20.06,20.06,597.07,605.93,0.0,625.99,0.0,2.28,0.0,4.43,6.71,82.02,67.51,52.93,25.59,228.05,860.75,101.68,0.57,7.05,0.69,0.0,110.0,144.79,0.0,6.78,0.56,262.13,177.32,81.88,180.57,148.97,9.88,598.62,860.75,368.65,64.8,1.96,2.05,0.58,1.65,13.05,0.18,144.65,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,20.06,20.06,611.63,619.43,0.0,639.49,0.0,4.48,0.0,4.27,8.76,55.98,54.47,60.09,14.86,185.4,833.65,99.2,0.7,17.3,1.2,0.0,118.39,144.65,0.0,17.73,17.16,297.92,217.26,107.14,97.83,104.07,9.43,535.73,833.65,424.23,101.6,3.27,2.05,1.99,1.68,13.05,0.0,144.5,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
