Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,114.04,3.65,117.69,60.15,6.91,5.41,6.29,1.71,24.28,12.94,0.0,12.94,4.92,8.02,0.0,8.02,2.59,5.43,0.0,5.43,20.06,2.71,2.71,0.94,46.89,1.07,100.0,53.11
2012-12-31,153.63,7.86,161.5,91.15,10.43,6.13,6.43,1.68,28.06,17.62,0.0,17.62,3.57,14.05,0.0,14.05,5.07,8.97,0.0,8.97,20.06,4.47,4.47,0.94,46.89,1.07,100.0,53.11
2013-03-31,148.63,4.23,152.86,115.95,-21.05,12.29,5.23,1.69,32.88,5.87,3.13,9.0,1.4,7.6,0.0,7.6,2.89,4.71,-0.01,4.69,20.06,2.34,2.34,0.94,46.87,1.07,100.0,53.13
2013-06-30,94.04,0.44,94.48,39.39,17.99,7.1,5.26,1.76,22.81,0.16,7.12,7.29,1.27,6.01,0.0,6.01,2.05,3.96,0.0,3.96,20.06,1.97,1.97,0.94,46.87,1.07,100.0,53.13
2013-09-30,62.38,1.27,63.64,53.65,-21.51,4.98,4.76,1.74,21.39,-1.37,6.45,5.08,1.45,3.64,0.0,3.64,1.86,1.77,0.0,1.77,20.06,0.88,0.88,0.74,46.87,1.07,100.0,53.13
2013-12-31,31.09,0.51,31.6,20.69,-13.29,3.61,4.34,1.73,21.96,-7.43,2.83,-4.6,1.39,-5.99,0.0,-5.99,-2.25,-3.74,0.0,-3.74,20.06,-1.86,-1.86,0.94,46.87,1.07,100.0,53.13
2014-03-31,73.73,0.51,74.24,49.93,-4.47,4.38,4.58,0.0,21.69,-1.88,6.06,4.18,1.86,2.31,0.0,2.31,0.55,1.76,0.0,1.76,20.06,0.88,0.88,0.94,46.87,1.07,100.0,53.13
2014-06-30,70.16,0.49,70.65,35.2,6.31,3.32,4.79,2.31,17.95,0.76,4.15,4.92,1.59,3.33,0.0,3.33,1.18,2.15,0.0,2.15,20.06,1.07,1.07,0.94,46.87,1.07,100.0,53.13
2014-09-30,77.2,8.61,85.8,25.53,29.99,4.31,4.81,2.17,19.73,-0.73,4.07,3.35,1.71,1.64,-17.1,-15.46,-5.22,-10.25,0.0,-10.25,20.06,-5.11,-5.11,0.94,46.87,1.07,100.0,53.13
2014-12-31,102.62,0.46,103.08,45.47,14.87,4.61,4.69,2.37,18.51,12.56,3.25,15.82,1.94,13.88,0.0,13.88,4.7,9.17,0.0,9.17,20.06,4.57,4.57,0.94,46.87,1.07,100.0,53.13
