Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,367.44,511.28,267.54,239.49,362.27,473.54,217.86,311.22,336.18,430.65,241.96,317.17,289.01,372.86,194.65,152.23,182.2,292.04
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,367.44,511.28,267.54,239.49,362.27,473.54,217.86,311.22,336.18,430.65,241.96,317.17,289.01,372.86,194.65,152.23,182.2,292.04
EXPENDITURE,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,49.94,51.03,43.98,31.31,42.2,40.24,33.2,29.27,30.64,43.67,40.78,33.71,38.02,35.21,26.29,15.69,27.57,15.67
Purchase of Traded Goods,73.25,102.67,50.21,29.12,64.9,73.01,33.98,33.82,56.61,72.1,56.49,42.89,53.22,59.21,32.83,25.39,33.74,29.98
Increase/Decrease in Stocks,-26.15,-10.41,-28.3,2.5,-7.16,21.16,-9.66,24.08,3.18,1.18,-44.2,-0.52,-22.42,1.48,-12.83,-3.11,-22.77,43.51
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,15.35,15.38,14.45,14.59,13.35,13.72,14.6,14.96,14.62,14.86,13.12,12.58,16.14,17.55,12.07,10.37,10.22,10.02
Depreciation,39.46,39.13,37.26,36.98,37.59,33.79,31.81,29.27,26.38,23.43,23.07,24.59,25.03,22.57,20.74,19.7,21.62,22.03
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,89.32,110.43,65.48,49.48,74.39,83.79,53.02,60.93,65.44,79.71,62.47,68.81,63.95,73.58,47.73,38.07,53.12,43.42
"P/L Before Other Inc. , Int., Excpt. Items & Tax",126.27,203.06,84.45,75.52,137.01,207.82,60.91,118.9,139.31,195.7,90.23,135.1,115.07,163.27,67.82,46.13,58.69,127.42
