Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2009-12-31,301.08,0.0,0.0,211.9,0.0,27.9,16.9,22.1,29.58,0.0,0.0,0.0,38.2,-45.5,0.0,0.0,-22.55,0.0,0.0,-20.89,-43.84,79.97,0.0,0.0,19.99,25.0,0.0,0.0,0.0
2010-03-31,369.39,0.0,0.0,370.95,0.0,-85.75,19.28,23.65,34.22,0.0,0.0,0.0,36.37,-29.32,0.0,0.0,-15.31,0.0,0.0,-31.25,-45.26,79.97,0.0,0.0,19.99,25.0,0.0,0.0,0.0
2010-06-30,404.82,0.0,404.82,255.71,0.0,70.63,18.15,23.31,32.93,4.1,0.0,4.1,39.73,-35.63,0.0,-35.63,-13.68,-21.95,0.0,0.0,-21.95,79.97,-0.27,-0.27,19.99,25.0,59.98,100.0,75.0
2010-09-30,498.48,0.0,498.48,409.49,0.0,-18.79,16.52,23.49,41.56,26.21,0.0,26.21,38.61,-12.4,0.0,-12.4,0.38,-12.78,0.0,0.0,-12.78,79.97,-0.16,-0.16,19.99,25.0,59.98,100.0,75.0
2010-12-31,444.21,0.0,444.21,422.69,0.0,-75.55,17.05,22.9,36.41,20.7,0.0,20.7,40.02,-19.31,0.0,-19.31,-5.44,-13.87,0.0,0.0,-13.87,79.97,-0.17,-0.17,19.99,25.0,59.98,100.0,75.0
2011-03-31,579.77,0.0,579.77,378.44,0.0,83.17,22.18,23.09,34.26,38.65,0.0,38.65,38.08,0.57,0.0,0.57,3.09,-2.52,-1.56,10.5,6.42,79.97,0.03,0.03,19.99,25.0,59.98,100.0,75.0
2011-06-30,502.37,16.88,519.24,502.15,0.0,-111.97,22.9,23.2,39.11,43.85,0.0,43.85,41.89,1.97,0.0,1.97,0.19,1.78,0.0,0.0,1.78,79.97,0.02,0.02,19.99,25.0,59.98,100.0,75.0
2011-09-30,551.89,9.5,561.38,434.53,0.0,12.24,22.06,23.07,44.89,24.59,0.0,24.59,43.09,-18.5,0.0,-18.5,-5.04,-13.46,0.0,0.0,-13.46,79.97,-0.17,-0.17,19.99,25.0,59.98,100.0,75.0
2011-12-31,511.67,6.38,518.05,321.64,0.0,86.24,23.85,23.04,48.33,14.95,0.0,14.95,37.24,-22.29,0.0,-22.29,-7.71,-14.59,0.0,0.0,-14.59,79.97,-0.18,-0.18,19.99,2.0,59.98,100.0,75.0
2012-03-31,522.96,10.26,533.22,302.54,0.0,37.77,26.09,20.03,147.33,-0.53,5.94,5.41,36.69,-31.28,0.0,-31.28,-5.59,-25.68,0.0,0.0,-25.68,79.97,-0.32,-0.32,19.99,25.0,59.98,100.0,75.0
