Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Sales/Income from operations,2533.65,2017.49,1971.49,2202.03,2492.98,1995.98,2185.16,2265.11,2320.67,2096.61,2042.62,2121.62,2344.57,1751.97,1622.65,1623.17,1958.89,2991.13,13.82,841.52
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,2533.65,2017.49,1971.49,2202.03,2492.98,1995.98,2185.16,2265.11,2320.67,2096.61,2042.62,2121.62,2344.57,1751.97,1622.65,1623.17,1958.89,2991.13,13.82,841.52
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,362.91,321.38,335.08,375.01,464.47,350.19,410.24,408.36,373.33,355.38,316.46,378.34,362.56,298.83,262.6,250.2,297.49,426.82,1.77,81.05
Purchase of Traded Goods,334.15,263.16,263.61,300.96,340.72,284.34,222.63,255.1,246.46,247.6,237.61,271.65,283.23,202.46,119.11,100.87,81.68,73.76,0.18,2.27
Increase/Decrease in Stocks,93.57,-9.1,-15.61,-8.32,72.8,-22.43,34.69,-39.41,145.9,-71.73,46.07,-127.19,82.9,-128.73,-14.48,-64.23,48.54,-44.15,-0.25,97.71
Power & Fuel,373.15,--,370.84,385.31,368.68,--,409.64,464.54,428.96,--,--,--,453.91,--,318.77,295.19,318.78,-455.53,2.63,134.12
Employees Cost,135.25,143.06,135.23,143.37,134.4,140.92,139.0,142.64,123.64,119.7,117.69,120.42,109.03,118.42,115.05,113.33,106.36,197.62,1.01,98.81
Depreciation,157.96,154.82,155.86,152.03,154.65,161.35,150.61,177.15,175.61,175.34,175.99,169.26,179.32,162.02,164.11,146.11,155.94,297.3,1.4,132.69
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,853.95,1117.6,716.14,732.77,767.32,972.43,733.44,784.85,773.58,1247.03,1179.95,1239.84,769.67,1094.3,577.07,589.16,733.4,2170.84,5.46,304.66
"P/L Before Other Inc. , Int., Excpt. Items & Tax",222.71,26.57,10.34,120.9,189.94,109.18,84.91,71.88,53.19,23.29,-31.15,69.3,103.95,4.67,80.42,192.54,216.7,324.46,1.62,-9.79
Other Income,3.13,1.58,7.69,3.97,28.21,34.08,28.26,29.42,25.15,24.88,22.21,34.22,33.66,34.87,29.5,22.73,28.1,46.61,0.23,8.47
"P/L Before Int., Excpt. Items & Tax",225.84,28.15,18.03,124.87,218.15,143.26,113.17,101.3,78.34,48.17,-8.94,103.52,137.61,39.54,109.92,215.27,244.8,371.07,1.85,-1.32
Interest,79.82,88.7,94.62,91.59,88.38,90.69,96.82,92.09,91.79,94.12,87.53,79.88,93.6,95.68,102.4,109.47,112.99,261.28,1.31,141.33
P/L Before Exceptional Items & Tax,146.02,-60.55,-76.59,33.28,129.77,52.57,16.35,9.21,-13.45,-45.95,-96.47,23.64,44.01,-56.14,7.52,105.8,131.81,109.79,0.54,-142.65
Exceptional Items,--,--,--,--,--,--,--,--,-238.22,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,146.02,-60.55,-76.59,33.28,129.77,52.57,16.35,9.21,-251.67,-45.95,-96.47,23.64,44.01,-56.14,7.52,105.8,131.81,109.79,0.54,-142.65
Tax,30.49,-16.4,-24.01,11.6,45.3,22.14,-15.63,3.06,-418.64,-19.71,-30.21,7.94,27.29,-19.95,1.96,36.73,98.87,28.9,0.21,-51.27
P/L After Tax from Ordinary Activities,115.53,-44.15,-52.58,21.68,84.47,30.43,31.98,6.15,166.97,-26.24,-66.26,15.7,16.72,-36.19,5.56,69.07,32.94,80.89,0.33,-91.38
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,115.53,-44.15,-52.58,21.68,84.47,30.43,31.98,6.15,166.97,-26.24,-66.26,15.7,16.72,-36.19,5.56,69.07,32.94,80.89,0.33,-91.38
Equity Share Capital,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,357.16,315.09,315.09,315.09,3.15,296.91
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.23,-1.24,-1.47,0.61,2.37,0.85,0.9,0.17,4.67,-0.73,-1.86,0.44,0.47,-1.01,0.16,2.19,1.05,2.57,1.06,-3.08
Diluted EPS,3.23,-1.24,-1.47,0.61,2.37,0.85,0.9,0.17,4.67,-0.73,-1.86,0.44,0.47,-1.01,0.16,2.02,0.97,--,1.17,-3.57
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
