Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18
Net Sales/Income from operations,622.43,971.35,831.78,664.37,540.45,903.48,724.24,651.57,753.65,1121.67,985.53,665.02,707.15,909.9,781.5,533.86,560.12,902.7,645.98,443.61,524.58,827.59,627.59,372.68,431.37
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32.62,--
Total Income From Operations,622.43,971.35,831.78,664.37,540.45,903.48,724.24,651.57,753.65,1121.67,985.53,665.02,707.15,909.9,781.5,533.86,560.12,902.7,645.98,443.61,524.58,827.59,627.59,405.3,431.37
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,328.09,447.18,382.63,389.45,229.92,338.11,445.91,404.26,351.59,582.7,518.23,569.22,390.04,414.03,474.58,453.29,334.07,484.51,292.85,277.7,291.36,312.66,405.39,280.44,318.59
Purchase of Traded Goods,79.76,86.71,75.84,76.86,78.43,54.68,69.76,58.39,61.54,78.45,69.1,38.23,71.24,64.57,56.9,32.01,58.61,65.46,52.26,39.02,39.31,73.72,38.11,90.13,60.49
Increase/Decrease in Stocks,-42.29,28.08,52.08,-75.87,17.73,164.15,-16.79,-15.22,74.18,35.59,51.83,-196.14,-19.8,76.51,-32.04,-144.34,-43.34,-7.46,76.6,-28.25,27.12,147.48,-16.81,-84.96,-83.38
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,63.3,61.15,61.5,54.94,52.95,58.58,59.75,54.16,52.06,53.86,57.02,50.34,51.61,45.23,53.97,42.12,49.19,53.77,48.02,46.22,44.28,44.13,43.49,40.96,38.96
Depreciation,18.28,15.1,14.28,16.14,16.06,15.77,13.52,14.03,11.39,15.21,11.24,11.45,11.38,10.92,11.04,13.49,11.05,11.25,10.78,12.93,9.71,9.33,8.95,7.42,6.97
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,92.48,106.01,97.67,80.27,95.48,99.91,84.85,69.14,93.74,92.7,101.52,94.54,87.24,94.55,77.91,79.83,83.52,86.84,58.58,67.24,76.45,86.41,74.57,78.07,78.47
"P/L Before Other Inc. , Int., Excpt. Items & Tax",82.83,227.13,147.78,122.59,49.89,172.28,67.24,66.82,109.17,263.16,176.59,97.37,115.45,204.1,139.13,57.45,67.02,208.34,106.9,28.75,36.35,153.87,73.88,-6.76,11.27
Other Income,31.27,31.04,25.76,27.09,26.85,24.69,17.5,16.54,13.17,10.68,4.66,7.45,14.68,8.38,5.43,4.94,5.58,6.14,2.32,5.08,1.29,3.1,1.37,21.82,2.17
"P/L Before Int., Excpt. Items & Tax",114.1,258.16,173.54,149.68,76.73,196.97,84.74,83.36,122.35,273.85,181.25,104.82,130.13,212.48,144.56,62.39,72.6,214.48,109.22,33.83,37.64,156.97,75.25,15.06,13.44
Interest,1.49,1.03,0.97,1.02,1.17,1.24,1.34,1.39,1.31,1.38,1.31,0.72,1.61,2.01,1.83,1.1,1.49,1.68,1.28,1.3,1.25,1.46,1.51,1.64,0.77
P/L Before Exceptional Items & Tax,112.6,257.14,172.58,148.66,75.57,195.73,83.4,81.97,121.03,272.47,179.94,104.1,128.52,210.48,142.74,61.29,71.1,212.8,107.94,32.53,36.38,155.51,73.75,13.41,12.67
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1.19,-25.32,-3.84,-0.54,4.24,-0.24
P/L Before Tax,112.6,257.14,172.58,148.66,75.57,195.73,83.4,81.97,121.03,272.47,179.94,104.1,128.52,210.48,142.74,61.29,71.1,212.8,107.94,31.34,11.07,151.67,73.21,17.65,12.43
Tax,28.29,66.3,44.19,39.38,20.62,52.05,21.63,9.5,30.42,70.52,41.53,29.38,30.73,55.38,36.59,7.07,16.72,54.66,29.37,8.53,10.03,21.71,21.38,19.01,10.89
P/L After Tax from Ordinary Activities,84.31,190.84,128.39,109.28,54.95,143.68,61.78,72.47,90.61,201.95,138.41,74.71,97.78,155.1,106.14,54.21,54.38,158.14,78.57,22.8,1.04,129.96,51.83,-1.36,1.54
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,84.31,190.84,128.39,109.28,54.95,143.68,61.78,72.47,90.61,201.95,138.41,74.71,97.78,155.1,106.14,54.21,54.38,158.14,78.57,22.8,1.04,129.96,51.83,-1.36,1.54
Equity Share Capital,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,499.15,274.59,274.59,274.59,274.59
