Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,4102.01,4152.89,3781.75,4450.3,4134.18,3929.1,3845.4,3781.51,3928.57,3684.29,3976.46,5170.08,4669.39,5144.43,3614.52,3010.87,3428.92,2829.4,2513.01,1082.92,2666.63,2564.25,2512.91,2614.61,1907.55,2117.39,1964.34,1765.13,1733.61,1571.33,1391.41,1477.98,1400.22,1220.31,1227.14,1215.94,1378.07,1470.95,1560.97,1658.11
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.57,9.99,8.83,--,13.63,11.27,12.8
Total Income From Operations,4102.01,4152.89,3781.75,4450.3,4134.18,3929.1,3845.4,3781.51,3928.57,3684.29,3976.46,5170.08,4669.39,5144.43,3614.52,3010.87,3428.92,2829.4,2513.01,1082.92,2666.63,2564.25,2512.91,2614.61,1907.55,2117.39,1964.34,1765.13,1733.61,1571.33,1391.41,1477.98,1400.22,1230.88,1237.13,1224.77,1378.07,1484.58,1572.24,1670.91
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,3252.88,3429.5,2947.33,3590.16,3182.92,3224.76,3054.58,3093.14,3078.06,2831.25,3065.4,4301.48,3719.67,4671.36,2980.23,2060.87,2661.25,2013.06,1587.58,729.2,2026.29,1948.2,1955.07,1952.06,1463.17,1626.68,1643.27,1350.88,1355.3,1220.36,1041.85,1061.35,1113.7,936.18,901.01,887.15,1022.81,1209.71,1319.92,1357.3
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.24,4.15
Increase/Decrease in Stocks,0.57,-2.64,-0.32,-1.5,1.71,-1.72,-1.11,1.37,1.64,-3.22,3.01,-4.19,0.25,-4.96,-1.82,-0.57,-1.2,-0.64,-0.02,0.53,0.14,-0.02,-0.07,0.11,0.63,-0.26,-0.95,-0.47,-0.18,0.81,-1.83,0.32,0.25,-0.02,-0.48,0.12,0.06,0.1,-0.14,0.36
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,43.78,46.55,50.11,48.86,48.13,48.08,50.71,51.96,49.49,48.6,50.33,47.16,48.97,46.88,44.53,50.5,43.85,44.21,46.84,42.59,40.57,43.76,44.61,46.42,45.12,41.59,37.24,36.03,33.01,33.75,33.16,39.09,29.85,32.1,30.09,30.61,32.05,38.59,28.25,28.12
Depreciation,128.58,129.43,129.54,123.09,121.2,120.07,117.92,115.11,109.42,109.27,106.41,103.16,102.06,96.89,93.68,90.53,86.82,86.15,85.62,82.25,80.49,79.46,80.18,77.85,72.23,72.77,72.36,70.65,68.15,68.82,68.26,66.58,64.34,65.31,64.52,63.16,63.38,64.0,58.31,59.78
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,355.27,299.03,270.47,277.14,310.34,257.3,244.6,247.04,239.06,225.34,214.98,219.02,203.07,193.66,170.56,177.19,170.77,157.96,145.59,124.86,172.97,201.79,142.69,149.53,144.49,128.18,124.05,130.12,122.83,116.48,115.57,107.41,110.1,91.69,93.65,87.94,98.89,79.2,77.25,80.8
"P/L Before Other Inc. , Int., Excpt. Items & Tax",320.93,251.02,384.62,412.55,469.88,280.61,378.7,272.89,450.9,473.05,536.33,503.45,595.37,140.6,327.34,632.35,467.43,528.66,647.4,103.49,346.17,291.06,290.43,388.64,181.91,248.43,88.37,177.92,154.5,131.11,134.4,203.23,81.98,105.62,148.34,155.79,160.88,92.98,88.41,140.4
Other Income,74.35,58.52,38.55,38.55,31.08,23.02,29.8,23.85,31.79,31.99,18.52,18.97,17.64,35.28,19.18,21.25,18.8,19.59,20.75,14.89,18.88,18.6,23.7,22.48,18.65,15.42,18.8,58.41,9.91,9.09,8.86,7.84,7.13,7.51,5.34,6.15,6.19,7.52,10.99,20.03
"P/L Before Int., Excpt. Items & Tax",395.28,309.54,423.17,451.1,500.96,303.63,408.5,296.74,482.69,505.04,554.85,522.42,613.01,175.88,346.52,653.6,486.23,548.25,668.15,118.38,365.05,309.66,314.13,411.12,200.56,263.85,107.17,236.33,164.41,140.2,143.26,211.07,89.11,113.13,153.68,161.94,167.07,100.5,99.4,160.43
Interest,7.44,9.3,7.95,7.8,6.94,7.2,7.79,7.38,6.05,7.64,13.09,13.57,14.45,14.0,12.27,15.87,18.02,24.32,33.87,40.1,42.0,46.46,52.76,50.95,49.72,48.49,49.41,48.57,47.88,48.73,49.89,49.58,47.59,53.86,54.14,53.37,59.74,54.82,56.07,76.81
P/L Before Exceptional Items & Tax,387.84,300.24,415.22,443.3,494.02,296.43,400.71,289.36,476.64,497.4,541.76,508.85,598.56,161.88,334.25,637.73,468.21,523.93,634.28,78.28,323.05,263.2,261.37,360.17,150.84,215.36,57.76,187.76,116.53,91.47,93.37,161.49,41.52,59.27,99.54,108.57,107.33,45.68,43.33,83.62
