Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17
Net Sales/Income from operations,104.21,86.94,82.85,102.4,102.07,78.06,74.75,95.24,81.67,67.98,65.36,37.17,46.22,33.27,12.53,30.39,20.37,11.87,62.05,75.89,66.85,64.78,73.37,71.76,64.57,63.63,57.01,63.0,55.27,55.8,58.56
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,104.21,86.94,82.85,102.4,102.07,78.06,74.75,95.24,81.67,67.98,65.36,37.17,46.22,33.27,12.53,30.39,20.37,11.87,62.05,75.89,66.85,64.78,73.37,71.76,64.57,63.63,57.01,63.0,55.27,55.8,58.56
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,3.54,3.54,3.56,3.65,3.24,3.31,2.92,3.1,3.23,3.07,2.89,1.82,2.41,1.6,0.6,1.67,1.11,0.67,3.83,4.41,4.31,4.12,4.1,4.54,4.73,4.36,3.97,4.14,3.61,3.87,3.44
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,5.48,--,5.63,4.96,4.78,5.38,5.46,4.88,--,--,--,--,--,--,--,3.26,2.47,--,4.32,4.93,5.59,5.76,5.18,5.27,5.88,5.57,4.63,3.96,5.2,5.3,4.35
Employees Cost,18.33,17.85,16.51,16.73,17.32,16.44,15.5,14.19,13.49,13.0,12.43,11.2,10.49,9.12,6.87,8.58,5.43,6.28,15.03,15.14,16.02,15.3,14.65,14.04,14.43,14.53,13.87,13.31,12.1,11.65,13.24
Depreciation,4.99,4.66,4.96,5.16,5.33,5.28,5.26,4.92,5.03,4.98,5.01,5.05,5.28,5.36,5.35,5.63,5.64,5.6,5.14,4.86,5.66,6.04,4.75,4.72,5.27,5.1,5.03,4.86,4.56,5.32,4.96
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,22.73,24.1,18.74,17.35,17.83,15.68,14.57,16.15,15.7,18.21,16.14,14.01,13.14,11.05,6.88,9.55,5.88,5.27,13.63,15.78,18.05,17.98,21.21,21.8,21.03,20.98,17.99,19.28,20.76,19.4,21.92
"P/L Before Other Inc. , Int., Excpt. Items & Tax",49.13,36.78,33.44,54.55,53.57,31.99,31.05,51.99,44.21,28.73,28.89,5.1,14.89,6.13,-7.17,1.7,-0.16,-5.95,20.11,30.78,17.23,15.58,23.48,21.38,13.23,13.1,11.52,17.44,9.05,10.26,10.64
Other Income,0.26,0.23,1.45,7.09,4.91,0.21,0.2,1.78,0.15,0.1,0.11,2.01,0.42,0.13,0.43,0.33,0.81,1.83,0.23,2.02,0.71,0.7,2.94,2.19,5.73,1.2,7.2,1.79,1.3,2.0,0.95
"P/L Before Int., Excpt. Items & Tax",49.39,37.01,34.89,61.63,58.48,32.19,31.25,53.78,44.35,28.83,28.99,7.1,15.31,6.26,-6.74,2.03,0.65,-4.12,20.35,32.8,17.94,16.28,26.41,23.57,18.96,14.3,18.72,19.24,10.35,12.26,11.59
