Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,952.4,984.11,989.16,955.28,1022.77,910.74,994.27,1024.36,1046.53,1084.84,1245.79,1151.23,1247.69,1252.8,1231.37,1099.35,663.77,--,--,--,--
Other Operating Income,19.58,10.66,16.23,13.81,13.97,5.96,8.82,6.36,14.48,5.67,4.6,6.43,14.19,3.44,5.5,6.08,5.16,--,--,--,--
Total Income From Operations,971.98,994.77,1005.39,969.09,1036.74,916.7,1003.09,1030.72,1061.01,1090.51,1250.39,1157.66,1261.88,1256.24,1236.87,1105.43,668.93,--,--,--,--
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,496.37,527.44,505.62,530.32,486.33,501.13,472.68,578.91,544.58,617.52,702.02,683.64,700.16,752.74,737.06,608.22,363.46,--,--,--,--
Purchase of Traded Goods,32.06,9.03,8.19,7.4,8.32,14.37,7.99,13.35,38.06,24.48,28.3,22.59,29.02,18.48,41.2,25.85,14.52,--,--,--,--
Increase/Decrease in Stocks,-10.52,-12.93,-3.85,-1.21,102.11,-12.2,32.6,-55.63,20.97,-55.05,-21.11,-69.18,17.06,-36.56,-30.76,-40.63,9.93,--,--,--,--
Power & Fuel,106.45,120.43,130.51,120.33,120.19,115.02,135.65,162.39,153.0,181.92,191.21,193.75,147.78,134.01,103.5,87.39,52.79,--,--,--,--
Employees Cost,86.25,93.73,101.77,91.62,76.56,90.05,92.53,83.65,76.26,72.86,83.36,73.4,74.01,79.64,66.34,72.42,43.11,--,--,--,--
Depreciation,36.79,37.18,37.02,36.33,34.52,33.64,33.29,31.69,29.23,29.38,30.36,30.77,30.33,29.63,29.56,30.61,21.35,--,--,--,--
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,133.49,126.21,135.29,132.49,149.4,134.33,140.7,133.91,140.99,120.07,129.4,112.0,138.12,109.08,105.81,107.46,88.29,--,--,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",91.09,93.68,90.84,51.81,59.31,40.36,87.65,82.45,57.92,99.33,106.85,110.69,125.4,169.22,184.16,214.11,75.48,--,--,--,--
Other Income,35.6,27.22,8.97,9.22,9.77,8.11,8.03,9.61,8.36,6.43,6.77,9.47,6.64,9.3,6.96,5.92,2.45,--,--,--,--
"P/L Before Int., Excpt. Items & Tax",126.69,120.9,99.81,61.03,69.08,48.47,95.68,92.06,66.28,105.76,113.62,120.16,132.04,178.52,191.12,220.03,77.93,--,--,--,--
Interest,15.74,15.33,17.31,16.69,16.65,18.46,15.9,15.28,9.83,11.19,9.23,7.99,9.89,8.62,10.97,16.76,9.45,--,--,--,--
P/L Before Exceptional Items & Tax,110.95,105.57,82.5,44.34,52.43,30.01,79.78,76.78,56.45,94.57,104.39,112.17,122.15,169.9,180.15,203.27,68.48,--,--,--,--
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-12.94,--,--,--,--
P/L Before Tax,110.95,105.57,82.5,44.34,52.43,30.01,79.78,76.78,56.45,94.57,104.39,112.17,122.15,169.9,180.15,203.27,55.54,--,--,--,--
Tax,21.08,24.97,22.32,11.57,21.45,10.68,22.46,21.96,17.78,26.63,34.03,35.73,47.67,52.86,57.59,65.1,16.95,--,--,--,--
P/L After Tax from Ordinary Activities,89.87,80.6,60.18,32.77,30.98,19.33,57.32,54.82,38.67,67.94,70.36,76.44,74.48,117.04,122.56,138.17,38.59,--,--,--,--
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,89.87,80.6,60.18,32.77,30.98,19.33,57.32,54.82,38.67,67.94,70.36,76.44,74.48,117.04,122.56,138.17,38.59,--,--,--,--
Equity Share Capital,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,15.93,0.05,15.93,0.05,0.05
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Basic EPS,5.64,5.06,3.78,2.06,1.94,1.21,3.6,3.44,2.43,4.26,4.42,4.8,4.67,7.35,7.69,8.67,3.69,--,--,--,--
Diluted EPS,5.64,5.06,3.78,2.06,1.94,1.21,3.6,3.44,2.43,4.26,4.42,4.8,4.67,7.35,7.69,8.67,3.69,--,--,--,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
