Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Other Assets,Deferred Tax Assets [Net],Short Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2012-03-31,35.17,35.17,482.04,482.04,517.2,190.93,57.27,38.63,48.05,334.88,126.18,213.42,191.26,30.09,560.94,1413.02,581.39,13.62,0.0,674.53,109.15,63.3,2.2,849.19,177.68,212.12,20.3,25.87,563.84,1413.02,0.0,21.0,0.3,702.88,109.15,78.79,0.0,0.0,127.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.77,1.61,0.0,20.43
2013-03-31,35.17,35.17,565.34,565.34,600.51,307.49,70.49,54.98,6.22,439.18,164.85,236.61,248.91,27.85,678.21,1717.9,576.86,73.11,0.0,769.36,170.2,81.45,3.61,1024.62,231.7,310.44,9.92,34.43,693.29,1717.9,0.0,39.55,0.4,653.13,170.2,114.76,0.0,0.0,106.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.79,2.33,0.0,70.36
2014-03-31,45.21,45.21,687.03,687.03,732.24,326.3,97.33,38.06,6.54,468.23,236.86,324.97,309.91,69.31,941.05,2141.52,642.76,87.01,0.0,909.44,183.43,143.91,2.85,1239.63,334.82,344.6,69.78,39.59,901.9,2141.52,0.0,42.72,0.29,849.45,183.43,143.92,0.0,0.0,113.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.66,1.99,0.0,12.22
2015-03-31,45.21,45.21,813.51,813.51,858.72,253.01,77.78,41.08,8.33,380.21,289.17,297.48,222.33,47.95,856.92,2095.85,667.65,56.77,0.0,798.27,228.15,197.3,5.35,1229.07,342.82,401.33,33.7,13.25,866.79,2095.85,0.0,5.25,0.0,119.55,228.15,1.05,0.0,0.0,75.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,180.85,180.85,906.69,906.69,1087.55,409.11,80.49,14.09,8.98,512.68,364.39,271.94,329.67,35.19,1001.19,2601.41,808.7,81.23,71.34,961.27,290.63,234.59,8.05,1494.53,512.93,461.67,38.12,7.84,1106.88,2601.41,0.0,139.59,0.0,1106.3,290.63,0.0,0.0,0.0,86.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,180.85,180.85,1046.06,1046.06,1226.91,453.02,0.0,14.4,11.1,478.52,386.23,221.98,350.85,43.25,1002.31,2707.73,764.77,86.01,288.43,1168.84,298.1,56.35,90.76,1703.74,547.04,352.79,17.04,87.12,1003.99,2707.73,0.0,142.91,0.0,1012.57,298.1,0.0,29.62,89.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,180.85,180.85,1229.72,1229.72,1410.57,407.58,0.0,19.2,23.93,450.72,510.39,343.48,382.99,30.97,1267.82,3129.1,805.1,86.72,469.09,1360.92,305.01,58.65,87.51,1872.73,476.44,532.17,54.14,193.62,1256.37,3129.1,0.0,120.54,0.0,1158.22,305.01,0.0,0.0,60.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,180.85,180.85,1596.66,1596.66,1777.51,442.39,42.4,16.32,25.64,526.73,543.28,323.52,371.74,34.79,1273.33,3577.57,1019.49,80.43,405.96,1505.88,310.57,66.26,56.56,1939.27,495.65,910.11,28.5,204.04,1638.3,3577.57,0.0,103.02,0.0,1766.61,310.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,180.85,180.85,1733.7,1733.7,1914.55,453.87,32.13,60.5,30.37,576.87,560.93,438.62,341.98,38.26,1379.78,3871.2,1095.8,70.26,326.06,1492.12,407.71,73.25,90.56,2063.64,443.66,1138.29,39.22,186.4,1807.57,3871.2,52.35,146.83,0.0,1009.01,407.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,180.85,180.85,2120.92,2120.92,2301.77,645.97,28.01,64.97,33.29,772.24,659.59,574.29,511.39,43.91,1789.18,4863.2,1216.65,61.25,192.09,1469.99,863.73,278.05,35.96,2647.74,621.77,999.43,260.73,333.54,2215.46,4863.2,45.52,126.31,0.0,1537.12,863.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,180.85,180.85,1531.68,1531.68,1712.53,512.4,29.7,113.26,21.24,676.59,1061.39,601.37,248.05,23.26,1934.06,4323.18,1255.81,51.55,239.25,1546.61,563.36,24.53,52.64,2187.13,730.44,1009.09,47.52,348.99,2136.05,4323.18,89.11,1166.29,0.0,1414.14,563.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
