Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,1035.53,1035.53,1035.53,1035.53,1035.53,925.37,530.36,530.36,462.09,462.09,443.56,430.68,422.52,412.38,392.81
Total Share Capital,1035.53,1035.53,1035.53,1035.53,1035.53,925.37,530.36,530.36,462.09,462.09,443.56,430.68,422.52,412.38,392.81
Reserves and Surplus,135890.15,111188.05,97187.36,85727.46,76010.19,70930.84,45410.73,42864.41,39841.16,39736.89,39391.79,35555.0,31546.92,27064.47,20650.73
Total Reserves and Surplus,135890.15,111188.05,97187.36,85727.46,76010.19,70930.84,45410.73,42864.41,39841.16,39736.89,39391.79,35555.0,31546.92,27064.47,20650.73
Total ShareHolders Funds,136925.68,112223.59,98222.89,86762.99,77045.72,71856.22,45941.1,43394.77,40303.25,40198.99,39835.35,35985.68,31969.44,27476.85,21043.53
Deposits,1472034.85,1326957.84,1203687.79,1045938.56,966996.93,945984.43,638689.72,591314.82,601675.17,574037.87,617559.52,568894.39,473883.34,384871.11,305439.48
Borrowings,123716.18,94402.26,101910.48,103899.29,66847.93,93069.31,67201.3,62571.97,30611.44,33471.7,35264.28,36812.97,26579.28,23573.05,22307.85
Other Liabilities and Provisions,48570.61,52213.4,54740.38,41398.99,44474.19,47005.56,24113.29,22718.21,22285.56,23667.92,22329.4,17811.5,14703.38,11400.46,9606.31
Total Capital and Liabilities,1781247.32,1585797.09,1458561.54,1277999.83,1155364.77,1157915.52,780987.4,719999.77,694875.42,671376.48,714988.55,659504.53,547135.44,447321.47,358397.18
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,56068.49,54839.83,54882.63,55184.4,38841.04,32645.85,26661.73,22699.64,22780.21,21672.42,22488.6,18629.09,13452.08,21651.46,19868.18
Balances with Banks Money at Call and Short Notice,69780.71,40284.3,40820.61,67470.59,81571.78,89255.27,62567.89,70197.74,127689.7,112227.93,125864.55,112248.82,71946.83,42517.08,30065.89
Investments,385398.45,369816.84,362485.36,315795.39,261220.27,274614.61,182298.08,163184.53,129630.54,120450.52,122319.72,116112.66,121393.72,83209.4,71396.59
Advances,1209557.9,1065781.72,940998.27,777155.18,706300.51,690120.73,468818.74,427431.83,383259.22,383770.18,428065.14,397005.81,328185.76,287377.29,228676.36
Fixed Assets,12376.26,7912.55,8706.57,9921.9,8016.25,8889.29,6990.3,5367.39,5758.37,6253.78,2874.85,2734.12,2453.12,2341.5,2299.72
Other Assets,48065.51,47161.85,50668.1,52472.37,59414.93,62389.76,33650.68,31118.64,25757.37,27001.65,13375.69,12774.03,9703.93,10224.73,6090.44
Total Assets,1781247.32,1585797.09,1458561.54,1277999.83,1155364.77,1157915.52,780987.4,719999.77,694875.42,671376.48,714988.55,659504.53,547135.44,447321.47,358397.18
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,8243.0,0.0,0.0,8310.0,9528.0,5598.0,5467.0,5481.0,5436.0,5294.0,4934.0,4336.0,3959.0,3418.0
Number of Employees,0.0,74227.0,0.0,0.0,82000.0,84283.0,55754.0,55000.0,52420.0,52021.0,49378.0,46001.0,43108.0,42175.0,39385.0
Capital Adequacy Ratios (%),17.19,16.31,16.24,0.12,14.99,13.3,13.42,12.13,13.17,13.17,12.6,12.28,13.0,15.0,15.0
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,14.07,0.0,0.0,12.67,10.71,11.55,10.46,10.79,10.79,9.87,9.28,10.0,11.0,10.0
Tier 2 (%),0.0,2.24,0.0,0.0,2.32,2.59,1.87,1.67,2.38,2.39,2.74,3.0,3.0,4.0,5.0
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,27834.88,31833.63,36763.68,54059.39,66671.0,69381.43,48232.76,56480.0,42719.0,40521.04,16261.44,11875.9,7982.58,4464.75,3152.5
Gross NPA (%),2.26,2.92,4.0,0.0,9.0,9.0,10.0,12.0,10.0,10.0,4.0,3.0,2.0,2.0,1.0
Net NPA,6994.24,7213.34,8384.32,13364.65,21800.0,21576.6,15609.5,23483.0,18080.0,19046.46,8069.49,6034.76,4192.03,1543.64,790.88
Net NPA (%),0.58,0.68,0.89,0.02,3.09,3.13,3.33,5.49,4.72,5.06,1.89,1.52,1.0,1.0,0.0
Net NPA To Advances (%),1.16,0.68,1.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,61716.51,0.0,0.0,65233.83,52009.74,49059.93,45779.69,37599.42,32343.74,37608.06,31864.92,25952.24,22766.99,18844.72
Contingent Liabilities,0.0,576809.15,0.0,0.0,395655.76,320747.63,380312.98,0.0,290118.38,261320.91,246384.72,259912.78,204628.92,152502.81,127163.87
Equity Share Application Money,,,,,,,5042.0,0.0,0.0,0.0,0.0,,,,0.0
Preference Share Capital,,,,,,,,,,,,,,,0.0
Revaluation Reserve,,,,,,,,,,,,,,,0.0
Money Against Share Warrants,,,,,,,,,,,,,,,0.0
Employees Stock Options,,,,,,,,,,,,,,,0.0
Preference Share Application Money,,,,,,,,,,,,,,,0.0
Share Capital Suspense,,,,,,,,,,,,,,,0.0
