Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1098.07,1313.05,1246.27,1277.52,995.35,1228.77,1125.13,1240.03,969.09,1223.26,1255.02,1341.27,1111.11,1189.8,1084.01,501.54,880.77,927.06,740.31,284.8,541.26,793.8,775.4,834.96,607.86,738.32,690.76,815.26,608.4,621.03,625.71,696.23,498.92,528.26,532.12,567.84,440.55,433.09,453.67,438.28,371.96,377.41,389.64,378.27,278.9,302.51,287.58,304.1,209.06,216.17
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.66,4.04,--,6.83,7.7,8.24,7.7,5.56,6.9,4.98,3.92,2.94,2.87,4.41,1.19,--
Total Income From Operations,1098.07,1313.05,1246.27,1277.52,995.35,1228.77,1125.13,1240.03,969.09,1223.26,1255.02,1341.27,1111.11,1189.8,1084.01,501.54,880.77,927.06,740.31,284.8,541.26,793.8,775.4,834.96,607.86,738.32,690.76,815.26,608.4,621.03,625.71,696.23,498.92,528.26,537.78,571.88,440.55,439.92,461.37,446.52,379.66,382.97,396.54,383.25,282.82,305.46,290.46,308.51,210.25,216.17
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,269.28,268.81,276.32,260.34,260.51,287.6,303.68,297.39,307.6,389.98,406.64,383.9,295.74,321.52,292.41,98.39,208.07,182.72,153.42,40.69,139.58,166.36,177.4,170.58,169.19,179.27,210.48,211.59,128.05,174.79,189.14,198.07,194.87,180.6,201.21,158.74,126.31,187.9,189.73,170.51,156.23,175.74,175.28,180.91,162.21,164.83,154.29,127.0,114.25,111.4
Purchase of Traded Goods,207.29,222.72,173.45,134.24,139.35,142.87,156.78,167.73,295.38,378.45,429.06,322.69,308.05,239.01,222.73,113.82,160.03,173.59,121.04,27.73,125.73,167.26,187.7,158.65,160.16,168.23,131.73,126.26,100.76,74.19,78.29,80.18,68.54,66.6,50.32,37.82,74.34,10.25,2.89,2.75,3.65,4.17,2.34,2.43,5.67,4.34,3.86,2.3,8.3,2.74
Increase/Decrease in Stocks,-47.36,81.66,92.53,191.17,36.46,146.07,38.46,118.73,-182.71,-185.97,-280.62,-96.44,-152.99,-4.24,-25.26,-0.21,5.2,56.81,55.25,79.38,-42.51,38.18,-24.08,45.96,-108.05,-30.65,-50.89,29.55,-1.3,27.03,-2.3,40.45,-86.81,-34.09,-35.93,60.41,-39.07,-33.36,-11.46,6.24,-16.22,-33.21,-22.84,1.1,-34.76,-20.1,-27.21,23.5,-19.94,-10.51
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,208.74,206.24,205.26,201.26,193.52,194.94,203.78,208.74,220.33,214.82,230.08,215.99,200.56,190.03,176.79,152.72,164.8,146.15,129.9,122.89,134.35,134.61,134.27,128.47,124.36,116.75,118.59,107.79,98.57,100.25,106.73,100.98,101.06,95.57,95.81,83.18,83.97,84.7,76.43,68.18,65.92,65.2,67.72,59.71,48.55,48.95,49.4,41.21,39.79,36.51
Depreciation,24.86,29.66,22.62,22.1,22.57,22.61,24.65,21.01,21.29,19.97,18.82,18.01,16.35,16.7,16.52,15.9,15.58,15.63,15.66,16.05,16.3,16.4,14.67,13.98,8.01,8.16,7.65,7.25,7.56,6.99,6.79,6.65,6.55,6.24,6.03,5.9,6.95,5.71,5.69,5.61,4.62,4.51,3.39,5.12,4.03,3.62,3.34,2.94,3.1,2.87
