Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20
Net Sales/Income from operations,105.87,103.3,105.9,130.01,128.98,120.2,102.34,111.47,130.35,104.32,83.69,59.16,85.77,43.68,18.7,57.44,35.77,9.94,3.55,31.62
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,105.87,103.3,105.9,130.01,128.98,120.2,102.34,111.47,130.35,104.32,83.69,59.16,85.77,43.68,18.7,57.44,35.77,9.94,3.55,31.62
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,16.7,16.01,15.45,15.63,14.32,13.85,13.56,13.3,10.85,9.13,7.53,7.3,6.44,5.03,4.61,6.43,5.01,4.96,4.77,7.27
Depreciation,0.41,0.38,0.34,0.39,0.38,0.38,0.37,0.36,0.28,0.26,0.25,0.22,0.22,0.22,0.22,0.17,0.17,0.16,0.16,0.18
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,14.7,--,--,19.68,19.19,29.24,10.32,9.02,12.9,8.3,2.76,5.59,--,2.73,-2.73,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,48.05,54.47,47.36,60.87,34.89,38.67,55.17,31.11,42.78,27.5,24.37,13.3,14.88,9.48,6.01,12.51,11.96,5.05,6.19,24.52
"P/L Before Other Inc. , Int., Excpt. Items & Tax",40.72,32.43,42.75,53.12,64.7,67.31,33.25,47.02,57.25,38.19,41.22,29.32,51.33,20.64,5.1,32.73,18.64,-2.96,-4.84,-0.35
Other Income,4.65,5.88,3.74,7.29,4.3,3.28,3.12,4.34,3.87,3.73,4.03,4.69,3.25,16.15,16.12,11.91,11.53,12.34,8.45,7.89
"P/L Before Int., Excpt. Items & Tax",45.37,38.32,46.49,60.41,69.0,70.59,36.37,51.36,61.12,41.92,45.25,34.01,54.58,36.79,21.22,44.64,30.17,9.38,3.61,7.54
Interest,0.43,0.55,0.39,0.5,0.81,1.32,1.11,0.76,0.74,0.63,0.25,0.68,0.54,0.26,0.05,1.86,0.82,0.49,0.0,0.72
P/L Before Exceptional Items & Tax,44.94,37.77,46.09,59.9,68.19,69.26,35.25,50.6,60.39,41.28,45.0,33.33,54.03,36.53,21.16,42.78,29.34,8.89,3.61,6.82
Exceptional Items,--,--,--,-72.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,44.94,37.77,46.09,-12.53,68.19,69.26,35.25,50.6,60.39,41.28,45.0,33.33,54.03,36.53,21.16,42.78,29.34,8.89,3.61,6.82
Tax,11.43,9.97,11.8,-2.95,17.07,17.8,9.07,12.79,15.68,10.65,11.33,9.4,13.76,9.26,5.44,11.59,7.0,2.69,1.04,1.91
