Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Sales/Income from operations,354.36,329.07,313.63,298.97,288.33,276.4,268.57,254.54,253.92,245.08,227.72,202.03,189.65,175.46,163.48,150.39,146.16,135.9,130.31,122.3
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,354.36,329.07,313.63,298.97,288.33,276.4,268.57,254.54,253.92,245.08,227.72,202.03,189.65,175.46,163.48,150.39,146.16,135.9,130.31,122.3
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,28.81,28.75,32.05,39.12,37.79,32.98,31.34,23.51,30.66,27.87,30.25,21.66,15.65,17.82,21.83,18.76,16.81,16.39,16.97,15.24
Depreciation,3.34,3.28,2.84,2.6,2.33,2.4,2.63,1.95,1.51,1.74,2.31,1.66,2.15,1.48,1.54,1.44,1.34,1.53,1.44,1.36
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,1.92,9.35,6.72,2.38,7.73,6.63,4.24,0.89,9.67,5.81,5.91,7.32,9.01,7.56,6.6,6.16,2.94,0.17,0.55,1.29
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,6.56,8.26,9.17,9.26,8.26,6.53,5.79,5.09,7.49,6.24,6.65,4.02,6.26,3.52,4.13,3.39,6.07,4.07,2.74,1.72
"P/L Before Other Inc. , Int., Excpt. Items & Tax",313.74,279.43,262.85,245.61,232.22,227.87,224.55,223.1,204.6,203.42,182.61,167.37,156.57,145.09,129.37,120.64,119.0,113.74,108.62,102.69
Other Income,15.49,8.79,9.32,7.46,11.83,8.24,7.24,4.73,6.36,7.67,9.27,8.03,8.68,5.67,5.93,3.63,6.16,5.43,3.05,2.24
"P/L Before Int., Excpt. Items & Tax",329.23,288.22,272.17,253.07,244.04,236.11,231.79,227.83,210.96,211.08,191.88,175.4,165.25,150.75,135.31,124.27,125.16,119.16,111.67,104.93
Interest,109.64,108.25,96.53,91.07,84.69,80.7,81.67,76.0,69.97,68.71,57.75,45.85,42.32,42.24,47.5,47.14,45.65,46.6,44.1,45.72
P/L Before Exceptional Items & Tax,219.59,179.96,175.65,162.0,159.36,155.41,150.13,151.83,140.98,142.37,134.13,129.55,122.93,108.52,87.81,77.13,79.5,72.56,67.57,59.21
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,219.59,179.96,175.65,162.0,159.36,155.41,150.13,151.83,140.98,142.37,134.13,129.55,122.93,108.52,87.81,77.13,79.5,72.56,67.57,59.21
Tax,49.95,38.21,38.86,34.73,37.12,34.63,31.45,32.91,31.48,36.0,27.35,27.62,28.57,23.92,18.67,16.99,17.57,16.23,14.33,12.86
P/L After Tax from Ordinary Activities,169.63,141.75,136.79,127.27,122.24,120.79,118.67,118.92,109.5,106.37,106.79,101.93,94.36,84.6,69.14,60.13,61.93,56.33,53.24,46.35
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,169.63,141.75,136.79,127.27,122.24,120.79,118.67,118.92,109.5,106.37,106.79,101.93,94.36,84.6,69.14,60.13,61.93,56.33,53.24,46.35
Equity Share Capital,99.96,99.96,99.95,99.78,99.78,99.78,99.74,99.61,99.61,99.6,99.6,99.38,99.38,99.38,99.12,99.12,94.93,99.12,94.51,99.12
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1796.16,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Basic EPS,3.4,2.84,2.74,2.55,2.45,2.42,2.38,2.39,2.2,2.14,2.15,2.05,1.92,1.71,1.42,1.21,6.52,1.14,1.13,0.94
Diluted EPS,3.39,2.84,2.73,2.54,2.44,2.41,2.37,2.38,2.19,2.13,2.14,2.04,1.91,1.7,1.4,1.24,--,1.17,1.12,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
