Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,385.18,515.55,235.93,215.39,186.52,126.36,125.52,117.02,77.07,85.47,91.07
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,385.18,515.55,235.93,215.39,186.52,126.36,125.52,117.02,77.07,85.47,91.07
EXPENDITURE,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,66.32,81.95,72.92,55.01,55.42,45.04,38.59,15.91,42.11,41.85,14.79
Depreciation,4.05,3.97,3.77,25.71,28.93,7.79,11.06,0.04,11.3,8.9,0.04
Excise Duty,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-0.07,-3.75,2.74,7.35,-0.81,1.24,0.09,-0.16,-0.5,0.68,0.16
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,68.31,66.65,62.63,64.28,44.96,44.98,47.78,15.7,36.97,31.59,16.2
"P/L Before Other Inc. , Int., Excpt. Items & Tax",246.57,366.73,93.87,63.04,58.02,27.31,28.0,85.53,-12.81,2.45,59.89
Other Income,0.17,--,--,0.01,--,0.01,0.08,0.15,14.0,9.81,0.2
"P/L Before Int., Excpt. Items & Tax",246.74,366.73,93.87,63.05,58.02,27.32,28.08,85.68,1.19,12.26,60.09
Interest,27.34,29.09,29.28,24.61,20.35,15.78,8.2,50.7,9.56,8.29,53.74
P/L Before Exceptional Items & Tax,219.4,337.64,64.59,38.44,37.67,11.54,19.88,34.98,-8.37,3.97,6.34
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,219.4,337.64,64.59,38.44,37.67,11.54,19.88,34.98,-8.37,3.97,6.34
Tax,12.54,20.8,18.05,6.94,6.7,0.11,-4.31,8.64,-2.59,2.04,2.93
P/L After Tax from Ordinary Activities,206.86,316.84,46.54,31.5,30.97,11.43,24.19,26.33,-5.78,1.93,3.42
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,206.86,316.84,46.54,31.5,30.97,11.43,24.19,26.33,-5.78,1.93,3.42
Equity Share Capital,35.87,35.4,35.4,35.31,35.07,35.07,35.06,35.06,35.07,35.06,35.06
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,1560.95,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,
Basic EPS,57.77,89.21,13.16,8.93,8.81,3.26,6.9,22.98,-1.65,0.55,2.98
Diluted EPS,56.25,86.63,12.76,8.74,8.68,3.24,6.88,22.98,-1.65,0.55,2.98
EPS After Extra Ordinary,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,
Notes,,,,,,,,,,,
