Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1034.54,1016.2,519.98,601.28,258.84,246.47,157.04,775.26,256.35,197.55,166.28,1141.5,137.32,352.49,229.42,1266.32,496.88,433.97,165.01,650.48,827.95,419.5,160.95,632.91,563.23,283.62,188.61,789.91,250.97,240.88,175.39,700.13,221.06,281.54,325.39,475.28,258.72,329.84,125.5,191.99,160.46,123.77,96.96,274.78,154.66,158.29,117.73,300.29,206.29,201.84
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,0.04,0.51,0.56,0.28,0.23,0.04,0.83,--,0.3,0.02,2.73,0.26,0.16,0.11,0.73,0.06,0.06
Total Income From Operations,1034.54,1016.2,519.98,601.28,258.84,246.47,157.04,775.26,256.35,197.55,166.28,1141.5,137.32,352.49,229.42,1266.32,496.88,433.97,165.01,650.48,827.95,419.5,160.95,632.91,563.23,283.62,188.61,789.91,250.97,240.88,175.39,700.13,221.25,281.58,325.9,475.84,259.0,330.07,125.54,192.82,160.46,124.07,96.98,277.51,154.92,158.45,117.84,301.02,206.35,201.9
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,354.24,236.61,184.18,361.24,189.16,171.54,10.23,501.63,179.12,44.07,216.25,605.82,65.83,115.58,47.14,822.68,421.68,317.48,86.14,194.11,681.15,222.06,105.23,482.57,289.78,150.54,144.76,459.37,170.51,109.11,100.53,310.52,137.21,178.14,108.79,181.68,138.73,169.45,55.8,42.45,103.74,62.49,48.23,256.65,58.28,64.78,81.06,212.3,151.78,120.38
Purchase of Traded Goods,565.97,750.29,285.45,282.95,18.54,17.98,106.85,169.8,19.18,67.62,16.77,268.19,33.09,169.55,149.34,127.38,24.17,70.03,48.56,315.63,26.03,53.41,23.62,29.82,223.77,64.55,3.5,191.8,12.89,3.48,23.81,267.8,27.93,52.64,163.82,229.08,71.36,91.6,49.93,86.16,12.02,33.03,10.85,-66.68,55.49,51.8,17.1,11.21,9.46,33.43
Increase/Decrease in Stocks,37.85,-34.9,-6.04,2.95,-2.8,11.71,13.4,-12.22,6.52,55.75,-83.28,-20.4,4.76,-7.62,3.98,29.77,-21.43,-17.27,0.38,-35.99,-13.88,17.27,-7.69,-14.89,1.41,-3.6,5.79,-2.55,-10.78,24.89,0.21,-17.67,0.37,-2.89,2.56,-6.06,0.37,3.93,2.2,-2.67,2.43,0.51,1.79,3.55,-1.73,-3.14,3.3,7.07,-0.04,2.08
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,42.4,42.01,45.87,62.91,54.81,65.7,48.37,72.09,55.52,51.05,50.21,54.61,55.5,54.92,57.15,71.83,50.36,110.89,57.36,62.56,55.86,61.27,51.13,45.86,54.16,50.89,53.31,48.1,49.75,65.62,62.03,52.06,64.31,74.08,71.69,83.35,76.19,75.94,79.65,61.78,77.28,90.91,91.22,42.05,93.81,100.83,100.63,91.58,102.36,104.33
Depreciation,12.67,13.73,13.88,14.18,13.59,13.32,12.03,13.42,12.24,11.87,11.96,13.04,11.85,14.53,10.61,9.04,10.83,11.45,10.52,9.49,11.55,10.0,10.84,12.91,8.84,8.2,7.14,9.91,5.15,5.23,4.56,6.54,3.33,4.09,2.98,1.53,3.79,3.79,3.79,2.48,4.23,4.33,4.28,3.97,4.22,4.51,4.52,3.45,4.99,4.8
