Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14
Net Sales/Income from operations,948.4,877.1,821.3,726.5,864.7,791.9,830.7,715.8,994.4,786.6,768.1,644.5,758.7,639.5,609.5,593.7,658.1,584.1,517.0,420.2,607.3,519.1,464.6,420.9,533.9,467.1,418.6,406.0,409.1,387.7,335.2,291.1,291.3,323.8,294.7,269.2,326.2,275.1,256.05,228.3,246.9,222.78,197.92,175.1
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.3,8.3,5.3,5.3,5.3,5.35,5.4,4.9,4.83,3.97,3.5
Total Income From Operations,948.4,877.1,821.3,726.5,864.7,791.9,830.7,715.8,994.4,786.6,768.1,644.5,758.7,639.5,609.5,593.7,658.1,584.1,517.0,420.2,607.3,519.1,464.6,420.9,533.9,467.1,418.6,406.0,409.1,387.7,335.2,291.1,291.3,332.1,303.0,274.5,331.5,280.4,261.4,233.7,251.8,227.61,201.89,178.6
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,212.8,229.1,216.2,210.2,162.4,227.6,235.3,213.8,256.2,217.6,218.2,210.2,184.7,195.9,183.6,206.4,164.3,163.4,131.3,92.7,136.5,144.9,124.9,112.3,136.2,126.2,106.1,136.8,117.0,101.3,98.6,78.3,78.4,88.3,81.6,72.9,82.1,82.6,78.06,72.0,66.7,73.58,63.22,45.8
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,7.0,-4.6,5.8,8.9,30.7,-2.8,25.4,3.3,37.6,-11.4,-19.2,-49.0,30.1,-23.8,-16.1,-11.8,-2.8,-15.7,-3.7,-3.0,7.7,-0.3,0.2,-6.8,13.4,16.4,4.2,-8.0,8.6,5.5,-18.6,-9.0,2.4,2.8,-3.1,-1.5,7.8,-1.2,-4.49,-6.5,-0.3,-4.61,-6.19,0.8
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,209.4,212.6,224.1,195.6,195.1,196.5,190.6,179.0,228.4,203.2,200.3,180.3,167.8,182.7,179.4,167.9,177.3,171.5,156.2,136.5,161.5,150.0,130.2,130.5,130.2,116.6,113.0,105.6,102.0,95.2,93.7,86.0,77.9,80.1,76.7,73.9,74.6,60.5,57.5,57.7,52.8,51.61,50.79,46.7
Depreciation,89.6,92.3,93.7,91.7,95.7,93.6,90.9,88.7,88.1,94.6,90.2,86.1,80.3,78.5,76.2,74.7,70.0,69.7,68.7,66.1,62.3,57.0,52.6,47.4,44.1,42.9,39.9,37.3,34.2,35.0,30.3,31.9,31.1,28.8,27.8,26.6,26.0,25.3,23.81,22.2,22.4,21.06,19.44,18.5
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
