Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,3041.42,2448.4,2262.03,2268.5,2534.06,1899.68,2174.62,1889.13,2180.53,1922.44,1656.64,1468.5,1700.67,1689.26,1167.13,1230.86,1399.84,1141.33,484.06,1032.21,1428.47,1284.66,1316.26,1314.4,1463.27,1451.55,1296.49,1205.79,1318.43,1118.43,1309.13,1155.6,1324.13,1249.97,1228.41,1038.63,1106.94,1163.78,1278.23,1114.32,1056.94,1117.13,1032.71,956.01,1000.57,913.8,1028.73,1128.0,1071.31,1068.34
Other Operating Income,44.59,43.91,42.16,47.65,--,--,34.09,36.87,--,28.81,30.01,25.06,34.3,38.12,17.36,15.65,24.5,18.86,14.14,20.63,24.97,23.75,26.78,25.97,40.48,35.38,31.46,27.41,36.24,35.42,31.65,28.78,30.87,29.0,30.58,27.27,31.28,30.86,31.83,19.19,26.15,26.93,12.43,15.61,22.44,18.91,20.6,26.28,18.15,18.56
Total Income From Operations,3086.01,2492.31,2304.19,2316.15,2534.06,1899.68,2208.71,1926.0,2180.53,1951.25,1686.65,1493.56,1734.97,1727.38,1184.49,1246.51,1424.34,1160.19,498.2,1052.84,1453.44,1308.41,1343.04,1340.37,1503.75,1486.93,1327.95,1233.2,1354.67,1153.85,1340.78,1184.38,1355.0,1278.97,1258.99,1065.9,1138.22,1194.64,1310.06,1133.51,1083.09,1144.06,1045.14,971.62,1023.01,932.71,1049.33,1154.28,1089.46,1086.9
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1637.25,1550.32,1331.77,1227.08,1249.13,1120.43,1252.87,1191.42,1180.72,1160.76,1066.61,938.51,952.29,960.86,742.96,692.1,704.05,687.8,260.6,595.15,628.65,695.77,692.98,678.09,678.64,683.67,665.61,648.79,650.85,589.01,642.71,605.1,702.15,714.92,754.42,669.71,631.44,721.61,787.32,736.95,637.07,679.67,604.27,578.03,574.64,527.36,600.81,700.8,581.43,636.6
Purchase of Traded Goods,168.61,149.66,167.88,267.54,227.22,124.94,287.21,202.35,194.15,174.9,177.95,132.2,149.35,146.87,119.96,188.48,151.27,73.66,21.25,125.89,234.64,185.32,176.01,228.5,282.85,232.13,203.39,175.25,166.12,144.62,200.74,214.71,97.87,120.11,43.84,46.95,38.99,24.77,43.33,27.32,29.51,26.34,33.93,36.16,40.67,23.73,47.87,38.81,62.87,35.99
Increase/Decrease in Stocks,207.29,-99.39,-65.59,-12.13,119.19,-43.1,-49.93,-98.25,68.37,-5.63,-82.42,-55.13,55.64,49.4,-86.12,-47.56,60.82,-42.75,10.87,-36.65,82.67,-29.75,17.17,-24.94,15.61,5.91,-36.0,-20.96,37.66,-5.47,28.78,-49.08,72.22,-6.52,4.74,-59.11,60.74,-2.78,-0.76,-48.4,1.0,-0.24,-4.95,-18.68,-1.4,9.28,5.64,-12.05,38.66,7.12
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,233.24,192.34,181.63,188.87,209.04,192.92,188.47,156.55,161.03,160.91,151.34,142.84,160.92,156.93,134.93,133.6,125.15,118.93,114.95,140.32,141.56,140.73,137.57,134.64,137.88,146.76,126.52,117.97,131.71,125.66,122.57,106.85,110.09,112.47,103.97,100.54,108.12,107.57,99.34,99.81,101.76,101.7,90.33,81.67,87.29,87.57,83.09,88.52,84.08,81.35
Depreciation,48.07,45.21,43.88,42.03,41.9,37.89,35.82,37.22,34.33,35.25,33.65,34.71,34.86,33.55,30.9,30.58,31.96,32.67,30.31,30.75,29.55,29.29,29.07,27.98,27.93,27.36,27.05,27.28,23.65,22.02,20.84,20.84,22.47,20.87,20.6,20.56,20.15,19.96,20.33,19.08,21.65,20.39,18.6,14.58,13.31,13.12,11.74,12.37,11.78,11.71
