Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Contingent Liabilities,Bills for Collection,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense
2015-03-31,501.05,501.05,0.58,0.58,0.0,501.63,0.0,0.0,25.26,526.89,0.01,401.25,0.0,0.0,108.61,17.02,526.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1095.14,1095.14,2239.36,2239.36,0.0,3334.5,12088.75,3051.65,1281.6,19756.5,810.29,2363.11,3758.03,12437.55,237.23,150.29,19756.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1095.14,1095.14,3351.31,3351.31,0.0,4446.46,23228.66,1028.94,1532.04,30236.09,6012.07,1352.93,5516.49,16839.08,251.79,263.74,30236.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1192.8,1192.8,8189.14,8189.14,0.0,9381.95,33869.0,285.0,774.11,44310.06,2837.07,2673.52,8371.94,29713.04,238.13,476.37,44310.06,936.0,28159.0,31.48,30.3,1.18,373.14,1.0,172.9,0.58,1.0,76.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1193.08,1193.08,10008.66,10008.66,0.0,11201.75,43231.62,521.35,1486.99,56441.71,3879.15,1923.5,10037.48,39643.39,331.2,626.98,56441.71,986.0,32342.0,29.2,27.88,1.32,819.56,2.0,228.32,0.58,1.0,120.94,0.17,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1610.25,1610.25,13585.21,13585.21,0.0,15195.46,57081.5,16379.18,3061.66,91717.8,6344.91,2008.0,15351.77,66629.95,368.77,1014.41,91717.8,1018.0,39750.0,27.43,25.19,2.24,992.78,1.0,389.4,0.58,1.0,466.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1610.6,1610.6,15797.58,15797.58,0.0,17408.18,77972.22,16960.36,2652.29,114993.05,5235.39,957.56,25155.39,81612.88,486.71,1545.13,114993.05,1147.0,49445.0,23.47,22.48,0.99,5757.76,7.0,2861.03,3.51,4.0,1341.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1610.77,1610.77,15770.38,15770.38,0.0,17381.15,96330.61,19921.23,5233.55,138866.55,4942.56,4378.79,29078.71,93974.93,587.89,5903.67,138866.55,1189.0,60211.0,20.1,18.89,1.21,6380.0,6.46,1564.23,1.66,1.66,12405.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1610.84,1610.84,17973.32,17973.32,0.0,19584.15,108069.31,24710.82,3405.68,155769.97,7326.58,923.14,32365.89,104756.77,854.59,9542.99,155769.97,1411.0,69702.0,19.76,18.7,1.06,5298.62,4.87,1228.27,1.17,1.17,8277.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1610.97,1610.97,19954.48,19954.48,44.19,21609.64,135201.99,16371.52,4658.51,177841.66,15392.68,777.84,29287.58,121136.78,1173.43,10073.34,177841.66,0.0,0.0,18.28,0.0,0.0,4784.88,3.84,1347.61,1.11,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,1610.97,1610.97,22748.13,22748.13,245.91,24605.01,151212.5,11138.49,4520.29,191476.29,7477.45,2091.94,40712.28,131987.32,1180.38,8026.92,191476.29,0.0,0.0,18.71,0.0,0.0,6435.56,4.71,1692.85,1.28,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
