Item,Mar '25,Dec '24,Sep '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16
Net Sales/Income from operations,14462.39,15565.23,14050.32,12393.46,13247.33,12307.72,11584.44,10337.12,11304.58,10384.66,9806.89,8606.09,9065.02,7649.64,5031.75,7303.13,7432.69,5218.15,3833.23,6193.53,6751.94,5949.01,5780.53,5033.37,5450.94,4872.52,4559.42,3809.96,4094.82,3508.27,3598.13,3110.64,3339.36,2778.73,2652.39,2212.71
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,14462.39,15565.23,14050.32,12393.46,13247.33,12307.72,11584.44,10337.12,11304.58,10384.66,9806.89,8606.09,9065.02,7649.64,5031.75,7303.13,7432.69,5218.15,3833.23,6193.53,6751.94,5949.01,5780.53,5033.37,5450.94,4872.52,4559.42,3809.96,4094.82,3508.27,3598.13,3110.64,3339.36,2778.73,2652.39,2212.71
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,12800.42,13154.25,12987.8,10880.54,11174.81,11103.21,10055.96,9094.23,9115.67,9702.5,8331.49,7503.64,7546.23,7073.03,4349.33,6536.48,6316.45,4550.31,3210.99,5480.07,5511.95,5443.43,4913.69,4414.39,4673.67,4394.61,3926.45,3369.47,3186.67,3267.56,3041.35,2772.17,2771.15,2517.15,2308.48,1993.81
Increase/Decrease in Stocks,-286.22,221.95,-929.89,-185.99,191.4,-514.48,-158.8,-144.06,573.66,-822.69,-75.58,-131.87,169.31,-517.33,60.33,-284.72,-6.86,-65.2,98.88,-105.63,227.28,-390.6,-64.26,-106.07,-23.62,-220.39,-79.1,-126.27,237.07,-325.32,0.64,-102.47,64.67,-160.0,-75.16,-94.43
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,267.89,265.98,248.27,209.63,202.98,195.56,177.54,160.91,167.49,163.02,156.76,143.02,141.35,129.28,134.58,124.34,126.77,122.8,121.22,115.08,111.01,104.42,94.23,85.94,87.93,84.2,76.96,72.42,70.42,69.71,64.0,54.18,50.38,44.36,40.55,38.46
Depreciation,216.02,203.87,184.92,178.08,163.24,150.9,140.57,141.65,141.75,136.51,123.34,123.23,108.03,97.07,92.73,94.64,100.25,90.38,86.09,94.83,86.69,83.32,74.97,61.94,52.16,44.37,40.33,46.51,39.29,35.14,33.71,35.36,31.37,30.54,28.75,27.74
