Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2015-03-31,0.05,0.05,-1.87,-1.87,0.0,-1.82,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,2.86,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.05,0.0,0.05,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,125.35,125.35,103.37,103.37,0.0,228.72,507.21,0.08,14.47,521.76,10.0,664.1,200.44,28.03,902.57,1653.05,75.77,782.24,0.07,0.0,858.08,0.0,4.32,0.0,880.22,0.0,209.98,416.51,90.0,0.72,772.83,1653.05,7.54,1.4,28.75,0.0,0.0,0.0,0.0,0.0,0.0,17.82,55.62,54.95,0.17,52.49,0.1
2017-03-31,125.35,125.35,392.4,392.4,0.0,517.75,647.84,0.0,17.55,665.39,0.0,712.78,139.8,77.58,930.16,2113.3,75.76,785.75,0.05,0.0,861.56,0.0,29.48,18.79,909.83,318.87,273.35,472.82,69.74,68.69,1203.47,2113.3,47.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.87,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,125.36,125.36,664.14,664.14,0.0,789.5,648.55,0.0,17.48,666.03,0.0,768.23,103.67,97.56,969.46,2424.99,76.0,785.58,0.61,0.0,862.19,0.0,47.85,27.61,937.65,367.58,303.24,553.64,177.38,85.5,1487.34,2424.99,60.35,239.84,0.0,75.65,0.0,0.0,0.0,0.0,367.58,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,125.4,125.4,852.25,852.25,120.83,1098.48,349.26,0.0,17.29,366.55,0.0,664.17,388.79,151.81,1204.77,2669.8,78.55,784.6,0.98,0.0,864.13,14.2,59.65,25.4,963.38,529.98,352.38,565.98,142.41,115.67,1706.42,2669.8,74.69,392.66,0.0,75.71,0.0,0.0,14.2,20.07,509.91,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,125.46,125.46,1201.1,1201.1,141.24,1467.8,179.72,0.0,19.11,198.83,0.0,637.23,275.41,164.77,1077.41,2744.04,125.06,783.91,19.9,0.0,928.87,14.2,50.62,30.61,1024.3,539.58,463.61,458.71,47.06,210.78,1719.74,2744.04,138.1,367.77,0.0,76.27,0.0,0.0,14.2,10.5,529.08,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,125.54,125.54,1630.92,1630.92,162.53,1918.99,298.79,0.0,21.44,320.23,0.0,835.3,290.1,199.24,1324.64,3563.86,132.76,782.23,10.86,0.0,925.85,14.2,58.26,26.24,1024.55,761.07,517.77,482.74,594.52,183.21,2539.31,3563.86,178.14,195.59,0.0,62.61,0.08,0.0,14.2,31.17,729.9,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,126.68,126.68,2190.35,2190.35,138.63,2455.66,0.0,43.54,109.55,153.09,1555.25,860.35,188.03,113.72,2717.35,5326.1,284.55,814.44,7.5,0.0,1106.49,1407.17,48.14,55.79,2617.59,610.65,511.35,512.53,903.78,170.2,2708.51,5326.1,183.29,155.44,0.0,81.15,0.08,0.0,14.2,32.09,578.56,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,127.22,127.22,2572.63,2572.63,139.12,2838.97,597.18,65.39,131.23,793.8,325.0,894.25,181.81,111.85,1512.91,5145.68,292.34,829.67,2.64,21.05,1145.7,1928.21,69.66,109.82,3253.39,530.77,618.75,529.8,47.8,165.17,1892.29,5145.68,446.9,181.66,0.0,66.02,0.08,1624.38,14.2,265.2,265.57,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,128.62,128.62,3002.62,3002.62,74.24,3205.48,298.97,64.11,191.05,554.13,300.0,1172.45,230.92,111.5,1814.87,5574.48,288.38,831.88,5.9,45.09,1171.25,1928.21,54.56,114.56,3268.58,628.14,698.0,580.12,215.27,184.37,2305.9,5574.48,545.03,147.44,0.0,102.87,0.08,1023.09,14.2,220.18,407.96,0.0,0.0,0.0,0.0,0.0,0.0
