,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,Meta AI is rolling out in Europe after all,"Meta is bringing its AI chatbot to Europe almost one year after pausing its launch in the region. Starting this week, Meta AI will roll out across WhatsApp, Facebook, Instagram, and Messenger in 41 European countries and 21 overseas territories — but it will …",https://www.theverge.com/news/632876/meta-ai-europe-whatsapp-facebook-instagram-rollout,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK043_VRG_Illo_N_Barclay_2_Meta.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-19T22:47:57Z,"A more limited version of Meta AI will head to WhatsApp, Facebook, Instagram, and Messenger this week.
A more limited version of Meta AI will head to WhatsApp, Facebook, Instagram, and Messenger thi… [+2021 chars]"
1,"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,"Facebook, Instagram, and Threads start testing Community Notes next week","Meta will begin testing its X-style Community Notes starting March 18th. The feature will roll out on Facebook, Instagram, and Threads in the US – but Meta won’t publicly publish the notes to start as it tests the Community Notes writing and rating system. Me…",https://www.theverge.com/news/628875/facebook-instagram-threads-community-notes-test,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK043_VRG_Illo_N_Barclay_1_Meta.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-13T13:19:57Z,"Community Notes will adopt the open-source rating algorithm used by X.
Community Notes will adopt the open-source rating algorithm used by X.
Meta will begin testing its X-style Community Notes sta… [+2178 chars]"
2,"{'id': 'wired', 'name': 'Wired'}",Steven Levy,Meta Tries to Bury a Tell-All Book,Mark Zuckerberg might be in his post-fact-checking-era. But that hasn’t stopped Meta from going after the author of Careless People.,https://www.wired.com/story/plaintext/careless-people-meta-mark-zuckerberg/,"https://media.wired.com/photos/67d07ca405fd20234fac21fa/191:100/w_1280,c_limit/Plaintext-Sheryl-Sandberg-Business-2150315380-2.jpg",2025-03-14T14:00:00Z,"It was Meta itself that first told me about the new book attacking Mark Zuckerberg, Sheryl Sandberg, and the allegedly bankrupt morals of their company. On March 7, a Meta PR person contacted me to a… [+5330 chars]"
3,"{'id': 'the-verge', 'name': 'The Verge'}",Alex Heath,How ‘Careless People’ is becoming a bigger problem for Meta,"Meta has aggressively pushed to discredit and silence Sarah Wynn-Williams, the author of Careless People, her memoir about working at the company as a policy director. Now, sheâs fighting back.  Attorneys for Wynn-Williams this week filed an emergency motio…",https://www.theverge.com/command-line-newsletter/634080/careless-people-sarah-wynn-williams-book-meta-congress,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/257636_careless_people_CVirginia.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-21T19:34:39Z,"The companys attempt to squash an ex-employees controversial memoir has gotten the attention of Congress.
The companys attempt to squash an ex-employees controversial memoir has gotten the attention… [+8144 chars]"
4,"{'id': 'the-verge', 'name': 'The Verge'}",Alex Heath,Meta is firing about 20 employees for leaking,"Meta has fired âroughly 20â employees who leaked âconfidential information outside the company,â according to a spokesperson. “We tell employees when they join the company, and we offer periodic reminders, that it is against our policies to leak inter…",https://www.theverge.com/labor/621059/meta-fires-20-employee-leakers,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25263315/STK169_Zuckerberg_B_CVirginia.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-02-27T19:11:10Z,"The company says we expect there will be more firings after a string of recent leaks.
The company says we expect there will be more firings after a string of recent leaks.
Meta has fired roughly 20… [+1660 chars]"
5,"{'id': 'the-verge', 'name': 'The Verge'}",Jay Peters,Meta is trying to block ex-employee’s book alleging misconduct and harassment,"An arbitrator has decided in favor of Meta in a case the company brought against Sarah Wynn-Williams, the former Meta employee who wrote a memoir published this week detailing alleged claims of misconduct at the company. Macmillan Publishers and its imprint t…",https://www.theverge.com/news/628643/meta-careless-people-sarah-wynn-williams-arbitrator-suing,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK043_VRG_Illo_N_Barclay_2_Meta.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-12T23:12:23Z,"An arbitrator has instructed the books author and its publishers to stop publishing the book, though its unclear how much authority the arbitrator has to do so.
An arbitrator has instructed the book… [+2050 chars]"
6,"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,Meta’s AI chatbot will soon have a standalone app,"Meta is planning to launch a dedicated app for its AI chatbot, according to a report from CNBC. The Verge can also confirm that Meta is working on the standalone app. The new app could launch in the second quarter of this year, CNBC says, joining the growing …",https://www.theverge.com/news/621252/meta-ai-chatbot-standalone-app,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK043_VRG_Illo_N_Barclay_6_Meta.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-02-27T23:05:51Z,"The new app could help Meta reach users outside Facebook, Instagram, and WhatsApp.
The new app could help Meta reach users outside Facebook, Instagram, and WhatsApp.
Meta is planning to launch a de… [+1123 chars]"
7,"{'id': None, 'name': 'Gizmodo.com'}",Germain Lussier,Invincible‘s Finale Flipped One of The Walking Dead‘s Most Famous Moments,"Robert Kirkman talks about the meta moment, and the Bruce Campbell season 4 tease.",https://gizmodo.com/invincible-finale-walking-dead-reference-steven-yeun-jeffrey-dean-morgan-2000576232,https://gizmodo.com/app/uploads/2025/03/Invincible-S3-Conquest.jpg,2025-03-14T16:45:39Z,What’s the most famous moment in the history of The Walking Dead? Everyone has their opinion but the overwhelming majority would likely say the season six finale/season seven premiere moment of Negan… [+3450 chars]
8,"{'id': None, 'name': 'Gizmodo.com'}",Thomas Maxwell,Mysterious Blocklist Prevents Former Meta Employees From Returning,Managers have hit walls trying to rehire former employees due to mysterious and unexplained blocks on their profiles.,https://gizmodo.com/mysterious-blocklist-prevents-former-meta-employees-from-returning-2000572179,https://gizmodo.com/app/uploads/2025/01/GettyImages-2164637635.jpg,2025-03-05T20:55:25Z,"Meta reportedly maintains secretive lists of former employees who are prohibited from returning to the company. Some who have reapplied were even courted by their former managers, only to be ghosted … [+2838 chars]"
9,"{'id': 'the-verge', 'name': 'The Verge'}",Jay Peters,Flatiron Books says it will keep publishing book from ex-Meta employee,"Flatiron Books, the publisher of a new book by an ex-Meta staffer alleging misconduct and harassment at the company, says in a statement that a recent arbitration order demanding that the book no longer be published has “no impact” on Macmillan. The ruling in…",https://www.theverge.com/news/629347/meta-careless-people-flatiron-books-macmillan,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK043_VRG_Illo_N_Barclay_3_Meta.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-13T18:29:11Z,"Flatiron Books, the publisher of a new book by an ex-Meta staffer alleging misconduct and harassment at the company, says in a statement that a recent arbitration order demanding that the book no lon… [+1317 chars]"
