Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,5985.33,5127.71,4498.07,5639.14,4903.66,5096.21,4383.34,5800.85,4549.9,5285.29,4862.16,3988.22,3770.66,4143.15,3312.54,3119.04,3366.01,3207.24,2878.64,2750.41,2920.83,3215.01,3020.49,2257.8,2192.41,2217.42,2532.61,2207.79,1991.98,1769.86,1733.97,1946.98,1868.34,1984.77,1738.58,1676.31,1866.2,1831.26,1880.32,1672.85,542.0,572.78,559.01,752.58,658.51,658.7,588.29,735.19,875.73,805.68
Other Operating Income,206.48,--,--,--,170.09,--,82.73,147.37,95.85,--,70.72,18.66,--,--,13.41,40.6,22.01,85.27,84.4,85.67,92.72,158.28,288.52,294.33,68.85,81.83,74.91,75.39,53.25,53.98,68.55,70.19,66.92,44.59,39.71,248.97,44.35,46.65,168.42,72.39,23.03,24.67,16.57,23.85,31.64,19.64,29.35,45.88,0.98,229.66
Total Income From Operations,6191.81,5127.71,4498.07,5639.14,5073.75,5096.21,4466.07,5948.22,4645.75,5285.29,4932.88,4006.88,3770.66,4143.15,3325.95,3159.64,3388.02,3292.51,2963.04,2836.08,3013.55,3373.29,3309.01,2552.13,2261.26,2299.25,2607.52,2283.18,2045.23,1823.84,1802.52,2017.17,1935.26,2029.36,1778.29,1925.28,1910.55,1877.91,2048.74,1745.24,565.03,597.45,575.58,776.43,690.15,678.34,617.64,781.07,876.71,1035.34
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1162.73,1225.01,973.23,1055.87,1121.64,1066.9,1184.97,1189.86,1248.76,1397.49,1329.52,1286.24,1127.05,1092.3,993.95,1124.16,832.81,1002.72,849.42,767.12,947.21,793.57,693.81,931.19,716.27,637.85,422.87,1027.7,205.75,338.5,617.61,891.45,455.06,435.08,502.93,266.45,494.41,538.1,539.35,636.67,223.25,231.55,238.84,222.58,253.75,213.59,204.7,377.92,263.91,242.29
Purchase of Traded Goods,367.48,360.09,306.26,289.5,227.2,264.65,213.06,262.36,267.51,318.65,277.94,237.84,325.32,285.44,382.34,368.56,303.52,269.73,257.82,318.88,303.12,309.16,296.25,214.4,329.73,249.66,382.6,455.71,295.56,195.48,219.24,153.2,405.05,374.17,304.08,367.01,236.9,307.61,258.48,213.13,7.91,41.69,31.36,28.54,56.86,58.14,41.5,-77.13,106.39,88.78
Increase/Decrease in Stocks,131.29,-142.86,-55.53,-29.97,129.13,52.7,28.46,-132.64,-9.66,-80.52,-15.11,-150.13,-25.1,48.42,-82.46,-270.26,206.18,-95.47,-55.29,94.28,-145.17,114.58,74.91,-181.64,-64.65,-20.83,15.82,-609.7,405.17,366.02,-2.58,-204.96,33.83,77.14,-68.8,50.46,39.99,-105.29,0.46,138.22,-32.81,7.86,-45.14,38.09,-57.3,3.93,0.75,20.78,0.9,16.66
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,651.68,662.19,645.48,575.97,590.13,600.41,607.44,529.05,526.24,513.57,588.09,497.94,501.79,509.07,489.99,424.62,455.48,452.16,466.19,419.34,423.97,432.77,426.69,426.0,391.2,383.01,367.33,406.58,404.07,392.96,410.83,392.94,374.12,351.77,367.34,328.89,325.53,359.63,462.64,405.21,94.08,93.43,87.68,67.48,72.54,69.86,69.06,107.12,96.46,98.61
Depreciation,290.97,285.53,369.81,393.04,399.6,392.71,415.27,411.98,430.44,383.95,374.5,354.14,355.24,333.64,150.92,151.76,146.89,145.37,142.79,142.44,144.4,139.14,135.58,132.18,134.06,122.36,141.19,111.47,106.05,105.08,108.77,106.68,103.71,103.17,105.0,120.0,114.7,119.87,109.68,325.25,40.86,67.57,46.39,27.21,25.43,24.56,23.64,20.48,22.95,21.78
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
