Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Long Term Borrowings,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,15.36,15.36,41.33,41.33,0.0,56.68,0.0,0.0,47.22,56.67,29.31,19.93,5.43,111.35,215.25,42.75,0.25,25.55,0.0,0.0,68.55,16.03,0.9,0.0,11.17,96.66,0.0,39.24,31.65,5.36,40.79,1.55,118.59,215.25,32.07,4.06,0.02,14.32,0.23,3.53,2.37,14.59,0.0,0.0,7.28,0.0,0.64,40.16,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,15.36,15.36,45.69,45.69,0.0,61.04,0.0,0.0,46.69,41.41,30.12,28.12,5.05,104.69,212.42,44.55,8.7,17.19,0.0,0.0,70.44,15.65,1.12,0.0,11.31,98.51,0.0,43.36,31.57,4.1,32.51,2.38,113.91,212.42,37.36,13.69,0.02,34.58,0.41,3.53,3.99,14.45,0.0,0.0,7.35,0.0,6.95,40.22,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.56,15.56,51.52,51.52,0.0,67.08,0.0,0.0,36.72,64.08,28.37,16.97,5.03,114.46,218.26,41.53,8.82,28.92,0.0,0.0,79.28,14.54,1.51,0.0,8.48,103.8,0.0,39.24,46.37,3.29,22.73,2.83,114.46,218.26,33.38,9.73,0.02,54.3,0.21,3.53,5.0,14.43,0.0,0.0,9.75,0.0,1.42,30.92,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,25.46,25.46,87.19,87.19,0.0,112.66,0.0,0.0,57.1,63.74,47.56,22.11,9.1,142.51,312.27,71.07,11.98,2.87,0.0,0.0,85.91,3.76,2.64,0.0,13.34,105.65,0.0,68.55,86.79,6.59,40.01,4.68,206.62,312.27,41.35,9.61,0.0,69.17,0.0,3.53,4.89,3.78,0.0,0.0,3.67,0.0,3.71,49.94,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,28.26,28.26,104.53,104.53,0.0,132.79,0.0,0.0,37.75,94.03,54.29,27.37,12.53,188.22,358.76,76.49,12.02,2.48,0.0,0.0,90.99,3.81,2.65,0.0,12.99,110.44,0.0,78.94,112.02,7.13,42.96,7.26,248.32,358.76,30.72,11.96,0.0,84.56,3.07,3.53,5.2,3.83,0.0,0.0,12.03,0.0,0.86,31.51,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.26,28.26,110.08,110.08,0.0,138.34,0.0,0.0,26.37,116.39,61.57,23.78,47.06,248.8,413.52,75.57,12.68,1.33,0.0,0.0,89.58,2.67,3.94,0.0,9.39,105.58,0.0,67.67,118.0,9.67,105.09,7.5,307.94,413.52,19.19,19.79,0.02,64.54,4.46,3.53,1.85,4.11,0.0,0.0,10.74,0.0,1.14,19.62,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.26,28.26,143.9,143.9,0.0,172.16,0.0,0.0,14.66,77.59,30.92,27.35,65.01,200.87,387.69,67.87,12.96,0.43,0.0,0.0,81.26,2.01,4.32,0.0,0.0,87.59,0.0,80.12,91.39,16.72,105.72,6.15,300.1,387.69,43.48,21.9,0.02,47.02,2.87,3.53,9.72,1.72,0.0,0.0,17.79,0.0,0.97,9.72,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,28.26,28.26,172.95,172.95,0.0,201.21,0.62,1.96,2.58,102.82,53.13,26.56,32.29,214.8,418.59,77.39,2.79,4.99,0.0,0.0,85.17,0.36,7.04,18.09,0.0,110.66,0.0,118.97,139.34,8.82,32.08,8.72,307.93,418.59,24.18,180.08,0.04,73.07,2.51,3.53,17.25,3.83,0.0,0.0,15.64,0.08,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,28.26,28.26,214.32,214.32,0.0,242.58,0.57,1.87,4.27,84.15,65.76,18.23,17.27,185.41,432.26,80.51,2.37,0.76,0.0,0.0,83.64,0.36,0.0,28.05,0.0,112.05,0.0,144.12,124.65,18.24,23.43,9.77,320.21,432.26,22.73,222.36,0.05,82.87,1.58,3.53,7.31,3.83,0.0,0.0,10.17,0.11,0.14,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,28.26,28.26,229.26,229.26,0.0,257.52,0.38,2.15,3.23,41.5,73.82,17.68,19.28,152.28,413.03,76.14,1.49,0.79,0.0,0.0,78.42,3.55,0.0,29.09,0.0,111.06,0.0,145.24,104.1,13.42,26.78,12.43,301.97,413.03,25.65,229.09,0.02,75.15,1.28,3.53,4.74,7.02,0.0,0.0,6.01,0.02,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
