Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23
Net Sales/Income from operations,1028.81,1104.63,970.29,902.55,841.48,887.99,836.96
Other Operating Income,--,--,--,--,28.68,--,--
Total Income From Operations,1028.81,1104.63,970.29,902.55,870.16,887.99,836.96
EXPENDITURE,,,,,,,
Consumption of Raw Materials,350.91,325.99,266.07,298.9,250.22,274.68,264.01
Purchase of Traded Goods,175.31,232.11,158.46,140.34,89.64,71.73,75.14
Increase/Decrease in Stocks,-47.69,-53.3,-8.42,-81.41,-12.82,9.1,-16.57
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,196.01,191.12,195.09,174.35,176.53,178.23,177.3
Depreciation,56.65,56.34,55.08,39.46,78.67,47.98,38.72
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,229.86,256.56,243.91,264.05,242.08,254.65,225.61
"P/L Before Other Inc. , Int., Excpt. Items & Tax",67.77,95.82,60.11,66.85,45.83,51.63,72.75
Other Income,19.41,54.93,32.51,34.16,52.55,30.13,21.42
"P/L Before Int., Excpt. Items & Tax",87.18,150.76,92.62,101.01,98.38,81.76,94.17
Interest,19.93,31.4,37.57,56.22,17.71,45.87,46.3
P/L Before Exceptional Items & Tax,67.25,119.36,55.05,44.79,80.68,35.89,47.87
Exceptional Items,--,--,--,-9.32,--,--,--
P/L Before Tax,67.25,119.36,55.05,35.47,80.68,35.89,47.87
Tax,17.05,32.44,14.6,6.5,12.38,8.56,11.65
P/L After Tax from Ordinary Activities,50.2,86.92,40.45,28.98,68.3,27.34,36.22
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,50.2,86.92,40.45,28.98,68.3,27.34,36.22
Equity Share Capital,189.43,189.1,181.15,181.15,181.15,180.85,181.15
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,
Basic EPS,2.65,4.62,2.23,1.6,3.77,1.51,2.0
Diluted EPS,2.65,4.62,2.23,1.6,--,1.51,2.0
EPS After Extra Ordinary,,,,,,,
Public Share Holding,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,
a) Pledged/Encumbered,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,
Notes,,,,,,,
