Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21
Net Sales/Income from operations,321.77,242.54,238.32,211.16,283.39,412.63,290.47,343.09,382.37,364.92,293.49,400.27,372.6,307.32
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,321.77,242.54,238.32,211.16,283.39,412.63,290.47,343.09,382.37,364.92,293.49,400.27,372.6,307.32
EXPENDITURE,,,,,,,,,,,,,,
Consumption of Raw Materials,7.72,7.28,11.46,12.42,11.45,9.94,11.94,13.52,13.36,9.03,8.47,14.85,10.67,12.65
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,4.43,--,--
Increase/Decrease in Stocks,-13.19,-22.64,0.24,-31.7,-19.97,37.02,6.82,16.34,-38.42,-15.47,20.84,-14.35,2.28,-1.68
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,14.47,13.06,12.33,14.07,14.57,18.21,19.2,20.34,24.35,26.44,11.47,9.77,9.62,9.78
Depreciation,18.62,18.56,17.99,17.89,17.47,17.6,17.46,17.47,17.26,16.78,16.86,17.62,17.29,16.82
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,223.21,160.64,138.22,143.74,189.23,201.58,156.91,158.15,188.61,184.94,134.0,224.39,189.89,169.33
"P/L Before Other Inc. , Int., Excpt. Items & Tax",70.94,65.65,58.08,54.74,70.64,128.28,78.14,117.28,177.23,143.21,101.85,143.58,142.86,100.42
Other Income,11.56,12.13,13.74,12.23,13.83,10.09,11.58,11.2,8.58,7.66,19.15,8.78,3.8,6.04
"P/L Before Int., Excpt. Items & Tax",82.5,77.77,71.82,66.98,84.46,138.37,89.71,128.48,185.81,150.87,121.0,152.36,146.66,106.46
Interest,2.91,2.29,2.04,1.87,2.17,2.44,2.0,3.06,3.42,19.42,34.97,39.15,39.4,40.53
P/L Before Exceptional Items & Tax,79.58,75.48,69.78,65.1,82.29,135.93,87.71,125.42,182.39,131.45,86.03,113.21,107.26,65.93
Exceptional Items,--,--,-40.18,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,79.58,75.48,29.6,65.1,82.29,135.93,87.71,125.42,182.39,131.45,86.03,113.21,107.26,65.93
Tax,21.27,19.2,7.73,16.64,22.66,33.74,21.36,31.25,45.57,33.17,22.12,28.57,25.34,16.91
P/L After Tax from Ordinary Activities,58.31,56.29,21.87,48.46,59.64,102.19,66.35,94.17,136.82,98.28,63.91,84.64,81.92,49.02
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,58.31,56.29,21.87,48.46,59.64,102.19,66.35,94.17,136.82,98.28,63.91,84.64,81.92,49.02
Equity Share Capital,24.69,24.69,24.68,24.68,24.68,24.68,24.61,24.61,24.61,24.61,19.27,19.27,19.27,19.27
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,
Basic EPS,4.72,4.56,1.77,3.93,4.83,8.3,5.39,7.65,11.12,8.77,6.19,8.2,7.93,4.75
Diluted EPS,4.72,4.56,1.76,3.92,4.82,8.29,5.37,7.62,11.07,8.73,6.19,8.2,7.93,4.75
EPS After Extra Ordinary,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
