Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Capital Work-In-Progress,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,9.86,9.86,254.2,254.2,0.0,264.06,9.9,0.45,0.37,1.21,11.92,0.0,11.04,23.05,3.12,37.21,313.19,82.33,0.6,0.0,82.93,34.36,0.0,8.01,0.0,125.3,113.58,8.36,30.41,6.74,28.79,0.01,187.88,313.19,2.84,0.39,4.38,0.0,41.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,9.86,9.86,296.34,296.34,0.0,306.2,3.65,0.0,0.53,1.92,6.09,0.0,13.8,22.87,1.87,38.54,350.84,83.04,0.85,0.0,83.89,34.59,0.54,8.89,0.05,127.97,140.24,9.66,41.73,3.69,27.54,0.01,222.87,350.84,0.7,0.24,5.27,0.0,41.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,9.54,9.54,233.23,233.23,0.0,242.77,0.0,7.31,22.93,2.48,32.72,0.0,17.14,46.35,2.4,65.89,341.38,85.5,6.53,0.0,92.03,36.79,0.0,6.94,23.22,158.97,83.47,10.57,47.92,15.95,20.71,3.79,182.4,341.38,2.87,0.0,0.0,0.0,38.09,83.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,9.54,9.54,258.5,258.5,0.0,268.05,0.0,8.85,8.66,2.57,20.08,0.0,21.64,125.74,2.79,150.17,438.3,86.12,66.27,0.0,152.38,31.85,0.0,3.44,27.63,215.29,111.08,9.9,62.58,13.81,20.78,4.85,223.0,438.3,4.93,0.0,0.0,0.0,33.14,111.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,9.54,9.54,354.48,354.48,0.0,364.03,0.0,5.25,2.43,2.73,10.41,0.0,26.53,36.39,2.96,65.87,440.3,91.18,65.84,0.0,157.02,30.5,0.0,2.59,30.02,220.13,67.52,14.96,81.81,29.62,20.62,5.66,220.18,440.3,21.14,0.0,0.0,0.0,30.5,67.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,10.04,10.04,402.78,402.78,2.59,415.4,0.0,5.99,2.09,2.33,10.41,17.34,36.05,44.88,3.55,101.82,527.64,96.26,66.65,5.77,168.68,131.73,0.0,3.38,18.8,322.58,3.36,19.65,118.27,25.8,24.13,13.85,205.06,527.64,20.92,1.69,17.4,0.39,1.75,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,10.13,10.13,500.19,500.19,2.07,512.38,0.0,0.0,37.67,4.59,42.25,0.0,70.9,58.65,4.11,133.66,688.3,146.16,69.62,2.99,218.77,129.78,4.75,4.51,28.42,386.23,0.0,17.46,124.4,132.01,20.38,7.83,302.07,688.3,27.11,1.1,9.98,0.39,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,10.22,10.22,690.18,690.18,8.52,708.93,0.0,0.0,59.5,7.01,66.52,0.0,90.08,63.03,4.89,158.0,933.44,171.54,79.76,0.0,251.29,130.6,8.95,9.24,16.99,417.07,0.01,33.46,122.66,335.42,11.76,13.05,516.37,933.44,21.7,0.99,13.0,0.39,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,10.23,10.23,802.1,802.1,11.8,824.13,158.68,0.79,79.03,9.08,247.58,99.87,85.92,78.77,8.27,272.83,1344.54,219.97,94.1,5.78,319.84,634.97,0.0,0.73,49.47,1005.01,13.75,44.97,136.08,109.96,9.98,24.79,339.53,1344.54,12.11,0.0,0.0,0.39,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,10.24,10.24,918.43,918.43,7.35,936.02,30.77,76.76,124.66,12.81,245.01,51.52,85.72,106.54,9.49,253.27,1434.29,297.65,768.12,19.51,1085.28,36.65,0.0,0.89,46.04,1168.86,13.06,41.27,126.19,42.94,15.6,26.37,265.44,1434.29,4.2,5.03,18.23,0.39,37.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
