Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,407.6,1292.6,1236.9,964.8,625.3,930.5,1048.3,781.2,413.0,351.1,805.7,514.1,529.5,330.4,393.8,311.5,330.9,478.9,532.2,420.1,447.7,457.7,464.7,416.3,531.9,522.4,515.7,729.0,540.3,408.4,413.6,555.3,630.47,403.6,281.99,357.31,234.02,189.91,186.17,165.62,155.77,181.11,162.0,144.39,157.05,133.75,136.85,128.23,130.51,147.01
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36.15,52.65,27.51,20.34,11.24,12.13,7.88,10.23,11.19,10.17,19.48,8.84,17.18,16.31,7.97,15.08,19.8,5.64
Total Income From Operations,407.6,1292.6,1236.9,964.8,625.3,930.5,1048.3,781.2,413.0,351.1,805.7,514.1,529.5,330.4,393.8,311.5,330.9,478.9,532.2,420.1,447.7,457.7,464.7,416.3,531.9,522.4,515.7,729.0,540.3,408.4,413.6,555.3,666.62,456.25,309.5,377.65,245.26,202.04,194.05,175.85,166.96,191.28,181.48,153.23,174.23,150.06,144.82,143.31,150.31,152.65
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,72.7,143.2,151.3,127.6,92.2,166.6,136.1,146.3,132.8,101.3,94.9,193.1,100.6,115.6,109.9,89.3,75.6,86.6,121.4,107.8,75.7,78.7,66.8,79.1,82.9,82.3,88.8,107.5,73.3,81.1,128.6,101.0,147.66,141.27,130.83,107.62,79.12,63.76,61.81,52.65,48.81,38.2,38.92,45.58,44.85,37.55,38.71,47.74,50.64,37.86
Purchase of Traded Goods,14.8,13.3,7.7,8.0,11.1,6.8,8.9,5.5,3.7,6.4,4.2,4.3,4.4,6.4,5.8,1.9,22.0,106.8,43.3,60.1,35.0,28.4,0.4,0.9,29.9,0.4,0.3,2.1,1.0,0.9,18.7,0.7,21.17,37.55,9.27,0.05,--,--,0.37,0.88,--,--,--,--,--,--,--,0.7,0.55,2.38
Increase/Decrease in Stocks,-17.2,-0.7,-13.4,-29.7,7.4,7.5,32.0,53.4,-18.8,-26.0,26.0,73.7,-10.9,-33.1,-35.2,-36.4,-20.2,--,9.7,-54.2,-16.9,11.0,4.2,-19.2,-4.3,7.0,-9.0,9.2,-13.6,24.4,-44.7,10.6,33.44,-1.03,-59.7,-9.98,-8.52,-18.38,-10.25,-18.8,-1.98,7.25,4.77,-1.87,-9.08,-2.27,-2.75,-6.9,-5.27,4.81
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,123.6,132.8,120.2,125.0,103.9,106.8,119.2,97.3,91.9,98.2,138.3,98.6,111.6,102.8,97.1,89.4,95.8,104.8,90.0,76.8,93.4,97.9,88.0,76.9,89.0,89.1,85.2,106.0,75.4,70.5,60.3,75.7,53.41,52.9,47.64,51.65,41.62,35.51,34.64,32.02,27.93,29.09,27.15,25.12,24.92,22.14,22.05,20.87,18.78,25.73
Depreciation,43.7,42.2,40.4,51.6,40.4,40.0,39.9,37.6,38.1,38.3,36.9,35.6,35.5,34.2,33.1,29.8,29.4,28.4,27.6,29.8,25.1,21.6,21.6,21.3,20.5,20.0,18.3,17.8,17.1,15.8,14.8,13.2,13.49,13.89,12.98,12.03,11.7,11.24,11.2,11.29,10.75,10.23,10.19,6.96,6.86,6.56,6.41,5.36,5.5,4.66
