Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23
Net Sales/Income from operations,2289.0,2250.7,2097.6,1910.6,1868.0,1800.6,1738.5,1681.7,1732.5
Other Operating Income,--,--,--,--,--,--,--,--,--
Total Income From Operations,2289.0,2250.7,2097.6,1910.6,1868.0,1800.6,1738.5,1681.7,1732.5
EXPENDITURE,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--
Employees Cost,43.1,29.2,32.2,29.7,26.0,26.0,28.7,24.7,21.3
Depreciation,531.2,531.5,536.1,495.7,459.8,432.9,432.2,414.3,394.9
Excise Duty,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,103.6,89.7,91.1,-188.7,97.6,79.9
R & D Expenses,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--
Other Expenses,1078.1,1069.8,1063.5,901.5,874.5,856.0,1072.6,729.4,861.3
"P/L Before Other Inc. , Int., Excpt. Items & Tax",636.6,620.2,465.8,380.1,418.0,394.6,393.7,415.7,375.1
Other Income,47.8,45.0,49.1,39.9,48.7,62.3,57.3,80.4,44.3
"P/L Before Int., Excpt. Items & Tax",684.4,665.2,514.9,420.0,466.7,456.9,451.0,496.1,419.4
Interest,171.2,180.2,175.4,161.5,165.7,168.8,155.6,154.3,149.3
P/L Before Exceptional Items & Tax,513.2,485.0,339.5,258.5,301.0,288.1,295.4,341.8,270.1
Exceptional Items,--,-105.7,--,318.3,--,--,-303.0,--,--
P/L Before Tax,513.2,379.3,339.5,576.8,301.0,288.1,-7.6,341.8,270.1
Tax,44.8,118.4,86.4,65.6,78.4,75.4,176.5,88.6,68.2
P/L After Tax from Ordinary Activities,468.4,260.9,253.1,511.2,222.6,212.7,-184.1,253.2,201.9
Prior Year Adjustments,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,468.4,260.9,253.1,511.2,222.6,212.7,-184.1,253.2,201.9
Equity Share Capital,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
Reserves Excluding Revaluation Reserves,--,--,--,--,4388.7,4166.1,--,4212.2,3959.5
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,
Basic EPS,9.37,5.22,5.06,10.22,4.45,4.26,-3.68,5.06,4.04
Diluted EPS,9.37,5.22,5.06,10.22,4.45,4.26,--,5.06,4.04
EPS After Extra Ordinary,,,,,,,,,
Public Share Holding,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,
Notes,,,,,,,,,
