Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21
Net Sales/Income from operations,472.46,514.45,481.81,815.99,727.29,404.23,393.49,308.29,429.91,276.47,243.09,186.12,178.46,149.19,185.42,261.24
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.22
Total Income From Operations,472.46,514.45,481.81,815.99,727.29,404.23,393.49,308.29,429.91,276.47,243.09,186.12,178.46,149.19,185.42,267.46
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,238.03,385.02,383.95,755.33,675.97,353.05,347.97,255.88,317.9,198.97,194.45,121.05,138.63,96.49,125.64,191.09
Purchase of Traded Goods,15.75,0.05,0.04,1.08,1.46,7.93,0.19,8.2,1.23,5.52,8.75,0.88,1.3,0.33,0.25,0.51
Increase/Decrease in Stocks,86.37,2.07,-2.43,-25.59,-25.45,-25.85,-30.46,-16.88,26.01,5.04,-39.58,0.02,-11.22,-9.97,3.99,-20.1
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,23.72,21.4,20.99,21.21,18.54,17.12,16.47,18.03,15.42,15.5,17.7,14.47,12.95,12.76,9.22,19.79
Depreciation,12.12,12.0,10.78,10.87,10.06,8.69,7.09,6.19,5.56,4.36,3.58,3.64,3.44,4.04,2.81,6.44
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,54.11,70.27,49.46,50.45,48.35,46.68,48.18,36.8,37.18,35.48,41.8,39.63,32.27,27.54,28.11,44.6
"P/L Before Other Inc. , Int., Excpt. Items & Tax",42.37,23.65,19.02,2.65,-1.64,-3.39,4.04,0.07,26.62,11.6,16.39,6.44,1.08,18.01,15.41,25.14
Other Income,11.33,21.93,10.52,11.95,13.09,12.08,8.79,20.33,19.59,12.97,5.73,0.95,4.91,1.25,1.22,1.99
"P/L Before Int., Excpt. Items & Tax",53.7,45.58,29.54,14.59,11.44,8.7,12.84,20.39,46.21,24.57,22.11,7.39,5.99,19.26,16.63,27.12
Interest,12.42,11.93,11.1,10.74,9.37,7.93,5.96,4.88,2.77,3.77,3.81,3.56,0.81,1.0,0.79,2.08
P/L Before Exceptional Items & Tax,41.28,33.65,18.45,3.85,2.07,0.77,6.88,15.52,43.44,20.8,18.3,3.83,5.19,18.26,15.84,25.04
Exceptional Items,--,-2.0,--,--,--,--,-1.35,--,--,--,--,--,--,--,--,--
P/L Before Tax,41.28,31.65,18.45,3.85,2.07,0.77,5.53,15.52,43.44,20.8,18.3,3.83,5.19,18.26,15.84,25.04
Tax,9.1,3.0,2.28,1.13,0.67,0.09,-2.4,5.51,18.31,5.15,6.51,1.38,2.16,6.29,5.78,8.72
P/L After Tax from Ordinary Activities,32.19,28.65,16.17,2.73,1.4,0.68,7.93,10.01,25.12,15.65,11.79,2.45,3.03,11.96,10.06,16.32
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,32.19,28.65,16.17,2.73,1.4,0.68,7.93,10.01,25.12,15.65,11.79,2.45,3.03,11.96,10.06,16.32
Equity Share Capital,178.05,178.0,177.43,177.43,177.43,177.59,176.78,176.78,176.78,176.78,176.23,141.41,137.62,137.62,137.62,137.62
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,1.81,1.62,0.91,0.15,0.08,0.04,0.45,0.57,1.42,0.89,0.79,0.18,0.22,0.87,0.73,1.19
Diluted EPS,1.8,1.6,0.91,0.15,0.08,0.04,0.44,0.56,1.41,0.88,0.78,0.17,0.22,0.86,0.73,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
