Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2004-03-31,19.0,19.14,-70.83,-62.64,-43.5,102.73,0.0,0.0,0.0,102.73,0.0,0.0,3.49,0.0,3.49,62.72,15.52,0.0,0.0,15.52,0.0,0.0,15.52,0.0,33.54,0.06,3.51,10.09,0.0,47.2,62.72,30.97,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.14,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,19.0,19.14,12.44,12.78,31.92,100.08,0.0,0.0,0.0,100.08,1.9,3.0,5.7,0.24,10.84,142.84,1.89,0.0,0.0,1.89,0.24,0.0,2.13,0.0,121.96,0.06,4.98,13.71,0.0,140.71,142.84,30.42,0.0,0.0,0.0,0.0,0.0,1.32,0.24,0.0,0.0,0.0,0.0,0.14,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,19.0,19.14,13.53,13.53,32.68,111.52,0.14,0.0,0.0,111.66,0.0,2.66,24.03,0.1,26.79,171.12,0.62,0.4,0.0,1.02,3.93,0.0,4.95,0.0,144.1,1.32,4.55,16.21,0.0,166.17,171.12,27.4,0.0,0.0,0.0,0.0,0.0,1.32,3.93,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,19.0,19.14,14.8,14.8,33.94,129.74,0.13,0.0,0.0,129.87,0.0,16.31,87.74,0.16,104.22,268.03,0.92,0.0,0.0,0.92,0.0,0.0,0.92,0.0,216.56,0.46,16.06,34.03,0.0,267.11,268.03,0.52,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,19.0,19.14,36.07,36.07,55.21,151.33,0.2,0.0,0.0,151.53,0.0,27.41,236.04,2.75,266.2,472.94,10.7,9.42,0.0,20.12,10.14,0.0,30.26,0.0,290.73,45.89,52.92,53.13,0.0,442.67,472.94,0.0,0.0,0.0,0.0,0.0,0.0,1.32,10.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,19.0,19.14,67.69,67.69,86.83,47.55,0.22,0.0,0.0,47.77,0.0,23.34,326.83,5.87,356.04,490.64,31.68,7.46,0.0,39.13,27.69,0.0,66.83,0.0,304.73,10.08,57.73,51.28,0.0,423.81,490.64,0.0,0.0,0.0,0.04,0.0,0.0,1.32,27.69,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,19.0,19.0,104.18,104.18,123.18,238.2,0.24,0.0,0.0,238.44,0.0,186.42,158.36,15.7,360.48,722.09,32.28,39.79,0.0,72.07,213.21,0.0,285.27,0.0,235.0,72.82,111.1,17.89,0.0,436.82,722.09,3.43,0.0,18.85,0.07,0.0,0.0,1.32,213.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,19.0,19.0,145.79,145.79,164.79,67.24,1.83,157.89,0.0,226.97,29.57,32.36,115.0,30.19,207.12,598.88,102.05,0.0,0.0,102.05,2.65,0.0,242.41,134.66,71.77,36.42,93.21,20.26,0.15,356.47,598.88,3.6,0.0,21.08,0.01,0.0,0.0,1.32,2.65,8.29,0.0,137.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,19.0,19.0,168.97,168.97,187.97,27.72,3.66,507.03,0.0,538.41,36.98,23.52,91.16,34.16,185.82,912.21,103.01,0.0,0.0,103.01,17.65,0.0,269.85,39.61,349.33,33.11,177.06,37.1,6.16,642.36,912.21,173.6,0.0,2.22,0.0,0.22,0.0,1.32,17.65,39.61,0.0,149.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,19.0,19.0,183.99,183.99,202.99,44.49,5.39,661.81,0.0,711.69,89.66,37.38,60.73,45.27,233.04,1147.71,99.89,0.0,0.0,99.89,27.66,0.0,577.82,0.54,401.29,42.95,21.96,94.98,8.19,569.9,1147.71,210.94,0.0,0.22,0.0,0.04,0.0,1.32,27.66,0.2,0.0,450.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
