Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,55.47,-2.57,52.9,45.16,-8.7,1.39,1.09,10.83,3.13,4.55,7.68,3.0,4.68,4.68,0.0,4.68,4.68,19.0,0.49,0.49,2.38,25.0,6.32,88.71,66.53
2012-12-31,65.53,0.38,65.91,48.87,-12.85,1.45,1.09,17.73,9.61,1.16,10.77,5.79,4.98,4.98,0.0,4.98,4.98,19.0,0.52,0.52,2.38,25.0,6.32,88.71,66.53
2013-03-31,108.43,0.34,108.77,52.04,3.54,1.62,1.04,30.16,20.37,4.34,24.71,5.86,18.85,18.85,11.4,7.45,7.45,19.0,0.78,0.78,2.38,25.0,6.33,88.77,66.58
2013-06-30,78.77,0.32,79.09,65.84,-4.68,1.36,1.07,8.58,6.91,0.36,7.27,4.66,2.61,2.61,0.0,2.61,2.61,19.0,0.27,0.27,2.38,25.0,4.96,69.55,52.16
2013-09-30,81.73,0.73,82.46,70.24,-10.98,1.5,1.09,9.73,10.89,0.0,10.89,6.89,4.0,4.0,0.0,4.0,4.0,22.12,0.36,0.36,3.13,28.34,5.76,72.68,52.08
2013-12-31,59.19,1.36,60.55,58.79,-23.89,2.13,1.09,18.19,4.25,0.0,4.25,2.08,2.17,2.17,0.0,2.17,2.17,22.12,0.2,0.2,3.13,28.34,5.92,74.7,53.53
2014-03-31,98.99,11.3,110.29,78.76,6.52,2.11,1.06,6.71,15.13,0.0,15.13,14.41,0.72,0.72,2.95,-2.23,-2.23,22.12,-0.1,-0.1,6.27,28.34,12.16,76.72,54.98
2014-06-30,62.56,0.68,63.24,56.76,-10.79,1.86,1.08,6.36,7.97,0.0,7.97,6.26,1.71,1.71,0.0,1.71,1.71,22.12,0.08,0.08,6.27,28.34,12.16,76.72,54.98
2014-09-30,90.79,0.88,91.67,79.24,-8.17,1.87,1.1,9.59,8.04,0.0,8.04,6.29,1.75,1.75,0.0,1.75,1.75,22.12,0.08,0.08,6.27,28.34,12.16,76.72,54.98
2014-12-31,68.18,0.65,68.82,64.63,-15.65,2.37,1.1,9.25,7.13,0.0,7.13,5.61,1.53,1.53,0.0,1.53,1.53,22.12,0.07,0.07,6.27,28.34,12.89,81.35,58.3
2015-03-31,78.68,9.9,88.59,81.12,-12.18,2.4,2.16,12.04,3.05,0.0,3.05,1.0,2.04,2.04,2.24,-0.2,-0.2,22.12,-0.01,-0.01,6.27,28.34,12.91,81.45,58.37
2015-06-30,71.86,0.23,72.09,58.79,1.98,2.13,1.4,5.35,2.45,0.0,2.45,2.37,0.07,0.07,0.0,0.07,0.07,22.12,0.0,0.0,6.27,28.34,13.42,84.65,60.66
2015-09-30,94.57,1.14,95.71,121.89,-40.7,2.25,1.27,8.19,2.81,0.0,2.81,2.64,0.17,0.17,0.0,0.17,0.17,22.12,0.01,0.01,6.27,28.34,12.24,77.2,55.32
2015-12-31,73.94,0.17,74.11,29.18,28.24,2.34,1.36,8.78,4.2,0.0,4.2,4.07,0.13,0.13,0.0,0.13,0.13,22.12,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2016-03-31,76.89,0.53,77.42,69.29,-6.97,2.69,1.02,6.75,4.64,0.0,4.64,4.1,0.55,0.55,0.33,0.22,0.22,22.12,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2016-06-30,69.58,0.43,70.01,50.94,6.06,2.36,1.33,6.17,3.15,0.0,3.15,5.04,-1.88,-1.88,0.0,-1.88,-1.88,22.12,-0.09,-0.09,0.0,0.0,0.0,0.0,0.0
2016-09-30,96.09,2.12,98.21,82.26,-0.11,2.34,1.35,5.2,7.17,0.0,7.17,5.01,2.16,2.16,0.0,2.16,2.16,22.12,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2016-12-31,69.8,0.05,69.85,57.55,-2.45,2.48,1.35,5.55,5.37,0.0,5.37,5.21,0.17,0.17,0.0,0.17,0.17,22.12,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2017-03-31,95.3,3.3,98.6,80.83,-8.54,3.34,1.38,18.07,3.51,0.0,3.51,0.19,3.31,3.31,2.07,1.24,1.24,22.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2017-06-30,74.88,0.0,74.88,66.52,-4.79,2.68,1.29,7.79,1.39,6.83,8.22,5.12,3.11,3.11,0.0,3.11,3.11,24.43,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2017-09-30,42.14,0.0,42.14,38.33,-6.97,2.55,1.35,4.71,2.18,5.36,7.54,6.12,1.41,1.41,0.0,1.41,1.41,24.43,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2017-12-31,97.37,0.0,97.37,86.71,-4.44,3.1,1.35,7.21,3.42,2.08,5.5,5.36,0.15,0.15,0.0,0.15,0.15,24.43,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2018-03-31,101.97,0.0,101.97,84.96,2.79,4.42,1.37,16.68,-8.25,101.42,93.16,6.42,86.75,86.75,18.67,68.08,68.08,24.43,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2018-06-30,604.53,0.0,604.53,95.08,464.08,2.67,1.32,5.26,36.12,2.51,38.63,5.08,33.54,33.54,0.0,33.54,33.54,24.43,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2018-09-30,84.05,0.0,84.05,73.73,2.24,2.6,1.33,4.84,-0.69,6.57,5.87,4.57,1.3,1.3,0.0,1.3,1.3,24.43,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2018-12-31,83.52,0.0,83.52,64.46,5.73,3.21,1.35,4.64,4.12,0.16,4.28,3.88,0.4,0.4,0.0,0.4,0.4,24.43,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,87.63,0.0,87.63,62.99,1.03,2.89,1.35,19.39,-0.01,5.22,5.21,4.91,0.3,0.3,33.21,-32.91,-32.91,24.43,-1.35,-1.35,0.0,0.0,0.0,0.0,0.0
2019-06-30,60.78,0.0,60.78,39.81,4.92,2.51,1.45,8.12,3.97,1.29,5.26,3.73,1.53,1.53,0.0,1.53,1.53,24.43,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2019-09-30,63.13,0.0,63.13,45.36,0.86,2.63,1.49,8.91,3.87,0.58,4.46,3.17,1.29,1.29,0.0,1.29,1.29,24.43,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2019-12-31,86.71,0.0,86.71,64.23,1.43,3.32,1.51,14.23,2.0,0.93,2.93,2.42,0.51,0.51,0.0,0.51,0.51,24.43,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2020-03-31,96.21,0.0,96.21,47.49,28.05,3.1,0.93,15.06,1.59,0.94,2.53,2.0,0.53,0.53,-0.27,0.8,0.8,24.43,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2020-06-30,20.3,0.0,20.3,19.07,-1.5,2.86,1.29,2.2,-3.62,0.25,-3.37,1.74,-5.11,-5.11,0.0,-5.11,-5.11,24.43,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0
2020-09-30,78.67,0.0,78.67,70.86,-6.62,2.61,1.35,9.09,1.39,0.22,1.61,1.49,0.12,0.12,0.0,0.12,0.12,24.43,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-12-31,88.99,0.0,88.99,80.39,-4.94,2.56,1.4,7.45,2.13,0.1,2.22,1.48,0.75,0.75,0.0,0.75,0.75,24.43,0.03,0.03,0.0,0.0,0.0,0.0,0.0
2021-03-31,64.63,0.0,64.63,38.06,-6.19,1.92,1.5,13.96,15.37,0.34,15.71,9.06,6.64,6.64,1.67,4.98,4.98,24.43,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2021-06-30,21.17,0.0,21.17,13.17,-0.83,1.99,1.45,7.11,-1.73,0.03,-1.7,2.72,-4.42,-4.42,-0.05,-4.37,-4.37,24.43,-0.18,-0.18,0.0,0.0,0.0,0.0,0.0
2021-09-30,29.25,0.0,29.25,17.94,0.25,2.72,1.47,8.47,-1.6,0.13,-1.47,1.63,-3.09,-3.09,-0.08,-3.02,-3.02,24.43,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
2021-12-31,54.0,0.0,54.0,39.64,-1.06,3.07,1.55,7.37,3.43,0.49,3.91,2.77,1.14,1.14,-0.1,1.25,1.25,24.43,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2022-03-31,304.3,0.0,304.3,269.52,-0.91,3.12,1.53,9.73,21.31,0.39,21.7,10.52,11.18,11.18,1.86,9.31,9.31,26.39,0.39,0.39,0.0,0.0,0.0,0.0,0.0
2022-06-30,252.38,0.0,252.38,241.69,-4.64,2.98,1.95,7.12,3.28,0.47,3.74,3.2,0.54,0.54,0.15,0.39,0.39,26.39,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2022-09-30,135.46,0.0,135.46,122.25,-2.42,3.33,1.97,7.95,2.38,0.86,3.24,2.61,0.63,0.63,0.08,0.55,0.55,26.39,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2022-12-31,92.6,0.0,92.6,79.17,-1.4,4.46,1.98,3.32,5.07,0.36,5.43,4.85,0.58,0.58,0.13,0.45,0.45,26.39,0.02,0.02,0.0,0.0,0.0,0.0,0.0
