Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,767.81,18.13,785.93,15.12,5.73,-19.34,15.74,768.68,0.25,768.93,429.07,339.86,339.86,113.89,225.96,225.96,2284.6,0.99,0.0
2022-09-30,791.34,0.0,791.34,14.99,5.74,-13.51,9.87,774.26,0.22,774.48,498.17,276.31,276.31,92.01,184.3,184.3,2284.6,0.81,0.81
2022-12-31,861.78,6.89,868.67,16.69,6.05,49.51,38.44,757.97,0.31,758.28,523.58,234.7,234.7,33.96,200.75,200.75,2284.6,0.88,0.88
2023-03-31,1002.67,33.37,1036.04,16.3,5.97,49.92,38.13,925.71,0.28,925.99,637.61,288.38,288.38,34.76,253.62,253.62,2284.6,1.11,1.11
2023-06-30,1130.87,12.34,1143.21,11.93,5.89,-97.44,19.84,1202.98,0.29,1203.28,763.74,439.54,439.54,144.96,294.58,294.58,2687.76,1.1,0.0
2023-09-30,1164.36,12.26,1176.63,21.02,7.13,-16.94,-7.31,1172.72,0.33,1173.06,793.16,379.9,379.9,95.16,284.73,284.73,2284.6,1.25,1.25
2023-12-31,1236.16,16.69,1252.85,19.33,8.21,37.71,41.84,1145.76,0.34,1146.1,759.97,386.14,386.14,50.6,335.54,335.54,2687.76,1.38,1.38
2024-03-31,1339.77,51.48,1391.25,19.05,9.11,9.45,27.12,1326.52,0.39,1326.91,847.24,479.67,479.67,142.29,337.38,337.38,2687.76,1.25,1.25
2024-06-30,1503.62,6.65,1510.28,19.84,8.63,-30.04,61.61,1450.23,0.43,1450.66,974.93,475.74,475.74,92.04,383.69,383.69,2687.76,1.43,1.43
2024-09-30,1620.04,9.53,1629.57,20.86,9.43,33.85,76.16,1489.27,0.81,1490.09,1030.18,459.91,459.91,72.16,387.75,387.75,2687.76,1.44,1.44
2024-12-31,1667.52,30.93,1698.45,19.52,10.02,103.97,-4.93,1569.87,0.53,1570.4,1032.2,538.2,538.2,112.82,425.38,425.38,2687.76,1.58,1.58
2025-03-31,1893.08,11.07,1904.15,20.83,10.73,129.44,20.03,1723.12,10.58,1733.7,1103.72,629.98,629.98,128.19,501.79,501.79,2687.76,1.87,1.87
