Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Net Sales/Income from operations,1031.35,1245.99,1500.72,1394.43,1346.99,1053.9,1043.2,802.6,820.4,715.01,712.8,665.0,664.18,592.11,522.65,458.72,404.37,303.44,306.57,236.09,189.02,175.63,168.64,177.23
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1031.35,1245.99,1500.72,1394.43,1346.99,1053.9,1043.2,802.6,820.4,715.01,712.8,665.0,664.18,592.11,522.65,458.72,404.37,303.44,306.57,236.09,189.02,175.63,168.64,177.23
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,164.46,211.5,206.89,188.92,148.01,137.2,130.3,121.5,74.08,109.76,107.86,99.78,73.29,76.67,67.31,58.06,48.58,42.55,37.68,35.61,33.79,35.15,39.9,42.17
Depreciation,27.18,25.64,24.77,21.92,16.5,13.0,11.0,8.8,8.72,7.76,6.67,6.23,5.0,4.58,4.28,3.81,3.74,4.47,4.37,4.84,4.78,4.89,5.43,5.05
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,0.13,-0.02,-0.89,3.28,3.09,2.1,1.9,1.8,1.38,0.51,1.11,3.24,2.31,2.88,3.38,2.91,5.32,2.46,7.31,18.98,9.41,40.48,3.92,-53.81
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,520.02,524.27,609.74,729.43,661.24,514.7,467.1,361.4,362.67,312.6,318.3,312.45,307.62,282.26,264.07,229.7,207.04,152.03,151.95,124.99,94.57,55.77,88.13,167.37
"P/L Before Other Inc. , Int., Excpt. Items & Tax",319.55,484.6,660.22,450.87,518.16,386.9,432.9,309.1,373.55,284.37,278.86,243.3,275.96,225.72,183.62,164.23,139.68,101.92,105.26,51.67,46.48,39.34,31.26,16.45
Other Income,2.09,1.99,1.75,5.0,1.61,1.7,1.5,3.4,4.74,41.29,29.2,15.32,12.53,9.82,11.33,10.06,9.61,8.36,13.31,8.0,10.03,6.83,8.11,7.29
"P/L Before Int., Excpt. Items & Tax",321.64,486.6,661.97,455.87,519.77,388.6,434.4,312.5,378.28,325.66,308.06,258.62,288.5,235.54,194.95,174.29,149.29,110.28,118.57,59.66,56.51,46.17,39.37,23.74
Interest,78.5,82.09,75.33,55.74,56.41,35.6,26.4,18.3,19.78,25.44,24.46,19.84,18.01,17.85,17.95,16.42,10.77,5.64,14.67,8.56,10.36,10.44,12.03,15.99
P/L Before Exceptional Items & Tax,243.15,404.51,586.64,400.13,463.36,353.0,408.0,294.2,358.51,300.22,283.61,238.78,270.49,217.7,177.0,157.86,138.53,104.64,103.9,51.11,46.15,35.73,27.33,7.75
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,243.15,404.51,586.64,400.13,463.36,353.0,408.0,294.2,358.51,300.22,283.61,238.78,270.49,217.7,177.0,157.86,138.53,104.64,103.9,51.11,46.15,35.73,27.33,7.75
Tax,62.89,103.48,149.31,102.79,117.35,90.2,102.7,75.2,93.94,73.47,71.51,60.46,68.22,55.42,44.53,40.01,38.81,31.35,24.7,12.93,11.09,8.74,7.82,2.69
P/L After Tax from Ordinary Activities,180.26,301.03,437.33,297.33,346.02,262.8,305.3,219.0,264.57,226.75,212.1,178.33,202.26,162.28,132.47,117.85,99.72,73.29,79.21,38.18,35.06,26.99,19.51,5.07
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,180.26,301.03,437.33,297.33,346.02,262.8,305.3,219.0,264.57,226.75,212.1,178.33,202.26,162.28,132.47,117.85,99.72,73.29,79.21,38.18,35.06,26.99,19.51,5.07
Equity Share Capital,90.29,90.25,90.15,90.09,84.01,83.82,83.82,83.82,83.42,83.32,83.32,82.86,82.86,82.78,82.61,82.37,81.83,81.8,81.8,81.8,81.8,81.8,81.8,81.8
Reserves Excluding Revaluation Reserves,--,--,--,4704.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,19.97,33.37,48.53,33.06,41.2,31.32,36.41,26.17,31.72,27.2,25.46,21.49,24.42,19.62,16.06,14.36,12.19,9.04,10.99,4.67,4.29,3.3,2.38,0.62
Diluted EPS,19.48,32.79,47.67,32.45,40.47,30.77,35.81,25.78,31.19,26.59,24.91,20.96,24.01,19.27,15.77,14.16,12.11,8.86,10.99,5.3,4.87,3.75,2.71,--
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
