Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Revaluation Reserves,Current Investments,Raw Materials,Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,13.96,13.96,53.95,53.98,67.94,94.98,0.0,0.0,100.44,49.74,16.71,3.24,5.53,75.23,243.62,51.75,0.0,0.16,0.0,0.0,51.92,83.28,0.0,0.0,0.39,135.59,34.44,25.67,9.22,38.7,0.0,108.03,243.62,4.06,0.31,0.11,22.96,4.17,11.42,28.55,68.17,0.0,0.03,0.0,5.55,0.0,1.98,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,13.96,13.96,57.41,57.43,71.39,150.11,0.0,0.0,155.8,8.02,20.25,3.24,5.3,36.81,263.99,53.43,0.18,0.48,0.0,0.0,54.09,98.73,0.0,0.0,0.14,152.96,44.14,27.09,8.67,31.13,0.0,111.03,263.99,8.42,0.56,0.17,28.45,6.91,11.42,65.71,83.63,0.0,0.02,0.0,8.78,0.0,0.26,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,13.96,13.96,62.54,62.55,76.51,165.67,0.0,0.0,170.83,57.91,25.68,4.93,6.9,95.41,342.75,61.94,0.2,7.48,0.0,0.0,69.62,92.92,0.0,0.0,0.0,162.54,42.99,34.04,74.96,28.23,0.0,180.21,342.75,15.31,0.58,0.23,37.1,5.11,11.42,205.9,47.66,0.0,0.01,0.0,14.9,0.0,0.91,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,13.96,13.96,69.51,69.52,83.48,214.29,0.0,0.0,219.63,13.7,31.8,5.32,7.27,58.09,361.19,87.34,0.72,1.48,0.0,0.0,89.53,92.84,0.0,0.0,0.0,182.37,47.38,48.06,45.66,37.72,0.0,178.82,361.19,9.01,0.55,0.28,32.3,6.62,11.42,311.5,2.63,0.0,0.01,0.0,19.58,0.0,5.97,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,13.96,13.96,74.3,74.3,88.26,253.16,0.0,0.0,258.48,16.87,34.58,4.99,10.87,67.3,414.04,93.59,0.72,1.75,0.0,0.0,96.06,118.57,0.0,0.0,0.0,214.62,64.74,54.79,39.32,40.57,0.0,199.42,414.04,7.37,0.94,0.34,19.22,6.98,11.42,364.22,19.87,0.0,0.0,0.0,19.54,0.0,1.58,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,13.96,13.96,31.09,31.09,45.06,340.44,0.0,0.0,348.46,11.96,31.71,5.31,3.5,52.47,445.99,95.59,0.72,2.01,0.0,0.0,98.33,106.74,1.87,0.0,0.0,206.94,70.94,54.04,55.9,58.17,0.0,239.04,445.99,8.63,1.1,0.34,27.4,6.19,11.42,99.58,8.05,0.0,0.0,0.0,28.1,0.0,0.41,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,13.96,13.96,63.52,63.52,77.48,241.03,0.0,0.0,247.22,32.82,48.63,4.7,8.52,94.68,419.39,98.55,1.02,3.69,0.0,0.0,103.25,106.73,3.3,0.0,0.0,213.28,85.92,56.03,14.64,49.51,0.0,206.11,419.39,9.65,0.84,0.11,32.66,0.46,11.42,327.78,8.04,0.0,0.0,0.0,27.1,0.0,0.01,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,13.96,13.96,129.84,129.84,143.8,145.35,0.39,1.69,149.12,41.6,9.85,129.6,18.33,199.38,492.3,108.51,0.17,2.36,0.0,0.0,111.04,106.77,0.0,8.39,0.0,226.19,96.15,53.76,13.02,99.79,3.38,266.11,492.3,4.16,1.23,0.4,40.79,4.77,11.42,217.23,8.08,0.0,0.0,0.0,31.98,0.59,5.96,1.68,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,13.96,13.96,255.73,255.73,269.69,129.01,0.42,3.92,133.35,9.47,8.62,38.11,12.45,68.65,471.69,59.18,0.04,0.46,0.0,0.0,59.68,111.83,0.51,11.09,0.0,183.11,61.12,13.82,96.92,113.15,3.57,288.58,471.69,9.44,0.92,0.79,42.04,1.13,11.42,343.86,13.14,0.0,0.0,0.0,24.96,0.32,0.59,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,13.96,13.96,250.13,254.59,268.56,83.45,0.46,2.38,86.95,44.72,20.37,52.26,28.29,145.64,501.15,99.16,0.16,5.13,0.0,0.0,104.46,165.49,0.0,12.34,0.23,282.52,94.43,39.86,56.51,23.5,4.32,218.63,501.15,44.38,0.42,0.9,44.09,27.67,11.42,259.51,66.79,0.0,4.47,0.0,9.13,0.17,7.98,0.65,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,13.96,13.96,247.58,251.99,265.95,63.18,0.46,2.94,67.8,122.33,22.96,21.91,12.44,179.63,513.38,106.57,0.12,3.18,0.0,0.0,109.87,165.53,0.0,73.4,0.28,349.07,84.07,43.33,5.9,27.62,3.4,164.31,513.38,52.7,0.56,1.9,44.19,40.99,11.42,164.04,66.83,0.0,4.4,0.0,7.93,0.29,4.6,1.21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,13.96,13.96,239.65,243.99,257.95,98.85,0.46,0.02,99.34,192.73,26.33,82.21,15.03,316.31,673.59,110.94,0.26,0.92,0.0,0.0,112.13,165.46,1.05,80.66,0.3,359.6,98.99,49.03,54.29,92.24,19.44,313.99,673.59,46.89,0.39,0.64,78.93,15.87,11.42,189.54,66.76,0.0,4.34,0.0,8.65,0.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,13.96,13.96,197.94,202.28,216.24,84.88,0.37,0.02,85.27,216.87,16.64,51.31,13.73,298.56,600.07,116.6,0.44,0.76,0.0,0.0,117.8,165.45,0.0,75.54,0.3,359.09,92.54,43.28,6.1,95.54,3.53,240.98,600.07,45.82,0.25,0.64,39.6,30.27,11.42,141.05,66.76,0.0,4.34,0.0,3.72,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,13.96,13.96,313.18,313.18,327.14,60.52,0.51,1.54,62.57,244.01,15.38,56.49,0.93,316.8,706.51,113.1,0.42,3.14,0.0,0.15,116.8,274.14,4.15,3.19,10.79,409.07,63.08,35.19,28.31,128.01,29.7,297.43,706.51,477.58,0.0,0.0,0.0,0.0,11.42,0.04,3.09,15.86,0.0,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
