Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Inventories,Money Received Against Share Warrants,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2009-03-31,13.44,13.44,166.95,166.95,180.39,2.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,9.5,9.81,192.22,12.12,0.0,0.08,0.0,0.0,12.2,0.65,0.0,69.14,0.0,21.1,1.39,42.28,0.0,123.08,192.22,113.82,0.0,0.0,0.0,0.0,0.0,0.0,0.32,56.28,0.0,58.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,13.44,13.44,175.97,175.97,189.41,2.0,69.85,0.0,0.0,0.0,69.85,0.0,0.0,10.98,11.2,272.46,11.31,0.0,9.48,0.0,0.0,20.79,0.34,0.0,79.66,0.0,37.34,3.44,107.09,0.0,192.8,272.46,318.54,0.0,0.0,0.0,0.0,0.0,0.0,0.23,58.53,0.0,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,13.44,13.44,180.19,180.19,195.62,0.0,40.57,0.0,5.51,0.18,46.27,0.0,1.39,23.41,26.69,268.59,75.41,0.08,0.13,0.0,0.0,75.62,0.22,0.0,136.34,36.03,9.13,8.21,68.14,0.0,132.25,268.59,284.98,0.0,0.0,0.0,0.0,58.53,36.03,1.89,58.53,1.97,10.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,14.36,14.36,184.33,184.33,198.7,0.0,26.18,0.0,5.51,0.14,31.83,0.0,1.79,4.23,8.81,239.33,74.01,0.08,0.0,0.0,0.0,74.09,0.05,0.0,189.41,0.0,0.0,4.78,41.87,0.0,49.92,239.33,0.0,0.0,0.0,0.0,0.0,109.1,0.0,2.78,109.1,6.16,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,14.36,14.36,245.48,245.48,259.85,0.0,25.0,0.0,0.0,1.47,26.47,101.79,179.78,185.06,467.08,753.4,111.26,1.99,1.23,0.0,0.0,114.49,0.27,8.52,268.55,0.0,126.85,321.98,33.17,2.77,484.85,753.4,302.89,0.0,0.0,0.0,0.0,100.97,0.0,0.45,100.97,44.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,14.36,14.36,244.22,244.22,258.58,0.0,25.0,0.0,0.0,1.11,26.11,116.64,251.71,77.67,446.52,731.22,103.42,2.8,0.0,0.0,0.0,106.22,1.28,1.6,253.56,0.0,147.62,230.66,56.73,42.58,477.65,731.22,0.0,0.0,0.0,0.0,0.0,100.97,0.0,0.51,100.97,43.49,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,14.36,14.36,272.0,272.0,286.36,0.0,0.0,0.0,0.0,1.62,1.62,151.11,209.96,86.31,447.75,735.73,92.94,3.1,0.88,0.0,0.0,96.92,0.58,1.94,240.15,0.0,265.4,216.04,9.97,4.1,495.58,735.73,385.0,0.02,1.14,0.0,0.0,100.97,0.0,0.37,100.97,39.74,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,14.36,14.36,288.31,288.31,302.67,0.0,0.0,0.0,0.0,2.06,2.06,304.65,251.26,67.81,624.15,928.88,88.96,3.76,1.26,1.83,0.0,95.81,0.37,2.12,210.79,0.0,437.51,260.83,16.24,3.44,718.09,928.88,254.3,1.32,0.0,0.0,0.0,100.97,0.0,0.42,100.97,11.52,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,14.36,14.36,298.12,298.12,312.49,0.0,0.42,0.0,0.0,3.01,3.42,697.15,443.11,84.46,1225.34,1541.25,86.94,7.66,0.0,0.64,0.0,95.24,0.75,2.32,211.15,0.0,854.44,453.87,9.7,12.01,1330.1,1541.25,0.0,2.42,0.0,0.0,0.56,100.97,0.0,0.62,100.97,11.87,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,72.0,72.0,377.16,377.16,449.15,0.0,0.0,0.0,21.93,3.82,25.76,1077.64,615.42,114.9,1807.96,2282.87,100.16,8.76,0.0,0.0,0.13,109.05,4.42,13.76,127.22,95.22,155.42,891.44,987.39,26.18,2155.65,2282.87,213.83,0.0,0.0,57.46,0.0,94.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
