Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23
Net Sales/Income from operations,266.7,286.7,281.7,258.6,272.5,260.1,260.5,252.5
Other Operating Income,--,--,--,--,--,--,--,--
Total Income From Operations,266.7,286.7,281.7,258.6,272.5,260.1,260.5,252.5
EXPENDITURE,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--
Employees Cost,184.5,192.2,197.1,185.3,194.9,188.2,185.2,184.0
Depreciation,6.9,6.5,6.2,6.6,7.6,6.4,8.3,8.8
Excise Duty,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--
Other Expenses,42.6,42.6,38.2,33.8,31.2,31.3,31.9,30.9
"P/L Before Other Inc. , Int., Excpt. Items & Tax",32.7,45.4,40.2,32.9,38.8,34.2,35.1,28.8
Other Income,35.2,22.3,22.4,13.7,23.1,9.2,6.0,12.0
"P/L Before Int., Excpt. Items & Tax",67.9,67.7,62.6,46.6,61.9,43.4,41.1,40.8
Interest,1.5,1.6,1.6,1.5,1.5,1.7,1.7,1.7
P/L Before Exceptional Items & Tax,66.4,66.1,61.0,45.1,60.4,41.7,39.4,39.1
Exceptional Items,--,--,--,--,--,--,--,--
P/L Before Tax,66.4,66.1,61.0,45.1,60.4,41.7,39.4,39.1
Tax,12.2,16.2,16.2,12.5,11.5,11.6,10.1,9.5
P/L After Tax from Ordinary Activities,54.2,49.9,44.8,32.6,48.9,30.1,29.3,29.6
Prior Year Adjustments,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,54.2,49.9,44.8,32.6,48.9,30.1,29.3,29.6
Equity Share Capital,47.9,47.8,47.8,47.9,44.4,44.4,44.3,44.3
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,
Basic EPS,2.26,2.09,1.88,1.41,2.2,1.36,1.32,134.0
Diluted EPS,2.25,2.07,1.86,1.39,2.19,--,1.31,133.0
EPS After Extra Ordinary,,,,,,,,
Public Share Holding,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,
a) Pledged/Encumbered,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,
Notes,,,,,,,,
