Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,1346.96,1346.96,1245.44,1245.44,1129.37,608.8,480.29,480.29,480.29,480.29,480.29,464.85,429.77,429.77,429.77
Total Share Capital,1346.96,1346.96,1245.44,1245.44,1129.37,608.8,480.29,480.29,480.29,480.29,480.29,464.85,829.77,829.77,829.77
Revaluation Reserve,0.0,0.0,0.0,0.0,13124.32,2987.84,3095.04,2621.44,2700.42,2781.43,2275.52,2335.46,1133.59,1164.03,1194.56
Reserves and Surplus,67962.98,57041.16,46727.31,42463.36,24158.26,18492.62,15813.36,15346.69,13981.3,12998.06,12077.45,11070.73,10009.07,8807.63,7496.77
Total Reserves and Surplus,67962.98,57041.16,46727.31,42463.36,37282.58,21480.47,18908.4,17968.13,16681.72,15779.49,14352.96,13406.19,11142.66,9971.67,8691.33
Total ShareHolders Funds,69309.94,58388.12,47972.75,43708.8,38411.94,22089.27,19388.69,18448.42,17162.01,16259.78,14833.26,13871.04,11972.43,10801.44,9521.1
Deposits,737153.56,688000.0,621165.76,593617.81,538071.11,260225.9,242075.95,208294.22,182509.28,178285.84,169225.27,162274.82,141980.16,120803.8,105804.18
Borrowings,41507.93,23131.49,22073.03,17144.31,26174.6,20830.31,12137.54,19760.17,12636.89,3509.32,2646.09,4963.87,2862.56,4872.86,2100.37
Other Liabilities and Provisions,25439.23,23099.51,19289.19,17197.13,23347.36,6322.7,6463.09,6213.01,5924.97,5655.45,6131.35,6216.97,6007.46,4941.1,4292.65
Total Capital and Liabilities,873410.66,792619.12,710500.73,671668.05,626005.02,309468.17,280065.27,252715.82,218233.15,203710.38,192835.97,187326.7,162822.6,141419.2,121718.31
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,31947.65,32702.76,32692.63,24054.41,27545.08,5736.12,11701.86,10501.6,5588.7,9174.45,8301.07,7757.68,7064.24,6318.87,6877.94
Balances with Banks Money at Call and Short Notice,22920.23,9406.37,17439.95,55861.64,26514.8,8188.56,8318.52,2426.19,4453.02,2824.84,4780.1,2732.86,2574.44,2494.49,1684.37
Investments,225303.12,212554.48,185988.25,174558.59,176536.97,81241.69,64992.17,71397.77,67551.79,53089.31,45898.61,46910.42,41804.98,37976.03,34783.76
Advances,571071.19,514889.07,449296.73,389186.06,364010.24,197887.01,181261.91,156568.93,127699.28,129049.08,125863.55,122208.99,105642.55,90323.6,75249.91
Fixed Assets,8826.69,7515.47,7459.04,7683.71,7376.31,3895.74,3961.4,3418.35,3442.6,3511.07,2968.73,2932.18,1690.51,1630.69,1606.04
Other Assets,13341.78,15550.97,17624.13,20323.64,24021.62,12519.05,9829.4,8402.99,9497.75,6061.63,5023.92,4784.58,4045.88,2675.52,1516.29
Total Assets,873410.66,792619.12,710500.73,671668.05,626005.02,309468.17,280065.27,252715.82,218233.15,203710.38,192835.97,187326.7,162822.6,141419.2,121718.31
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,6007.0,2890.0,2875.0,2820.0,2682.0,2565.0,2412.0,2253.0,2092.0,1958.0,1863.0
Number of Employees,0.0,0.0,0.0,0.0,41629.0,18758.0,19604.0,20065.0,20924.0,20140.0,20294.0,19429.0,18870.0,18782.0,19311.0
Capital Adequacy Ratios (%),17.94,16.44,16.49,16.53,15.71,14.12,13.21,12.55,13.64,13.2,12.86,13.1,13.08,13.47,13.56
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,11.93,12.08,11.29,11.33,12.2,12.08,10.61,10.51,10.88,11.13,11.02
Tier 2 (%),0.0,0.0,0.0,0.0,3.78,2.04,1.92,1.22,1.44,1.12,2.25,2.59,2.2,2.34,2.54
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,18178.86,211106.31,28179.53,35214.25,38455.35,14150.84,13353.45,11990.14,9865.14,8827.04,5670.44,4562.2,3565.48,1850.78,740.31
Gross NPA (%),3.09,3.95,6.0,8.0,10.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,3.0,2.0,1.0
Net NPA,1109.56,2222.58,4043.07,8848.65,12271.13,6184.24,6793.11,5959.56,56096.57,5419.4,3146.95,2763.65,2384.3,1196.83,397.04
Net NPA (%),0.19,0.43,0.9,2.27,3.37,3.13,3.75,3.81,4.39,4.2,2.5,2.26,2.26,1.33,0.53
Net NPA To Advances (%),1.32,1.07,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,12620.73,599.5,5394.56,4607.55,3230.56,8337.1,5940.17,6503.78,6343.85,6734.57,2545.51
Contingent Liabilities,0.0,0.0,0.0,0.0,293533.46,42576.86,36194.11,33703.86,32592.86,32903.13,41028.64,46713.66,39293.48,50434.59,35816.66
Preference Share Capital,,,,,,,,,,,0.0,0.0,400.0,400.0,400.0
