Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Mar '20
Net Sales/Income from operations,5350.39,6392.54,5226.79,4687.46,3875.65,4511.68,3754.32,3640.92,2805.37,3218.74,2840.93,2718.99,2398.79,2880.09,2503.03,1274.18,2614.94,2497.3,1627.79
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,5350.39,6392.54,5226.79,4687.46,3875.65,4511.68,3754.32,3640.92,2805.37,3218.74,2840.93,2718.99,2398.79,2880.09,2503.03,1274.18,2614.94,2497.3,1627.79
EXPENDITURE,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,4993.0,5534.61,4587.83,4054.21,3730.7,4124.33,3393.68,3262.78,2656.9,3009.92,2790.71,2361.1,2287.27,2294.69,2134.75,1429.83,2258.61,2484.89,1343.04
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-355.24,96.9,1.72,-31.57,-412.8,-264.86,-171.72,-170.63,-291.78,-308.58,-381.69,-62.56,-253.1,122.34,-7.93,-338.59,-26.16,-413.54,-63.58
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,174.69,166.69,148.58,148.48,133.99,135.03,128.2,121.12,100.55,100.47,86.31,83.83,76.79,82.74,74.81,63.02,85.06,73.82,76.1
Depreciation,67.88,61.05,61.21,56.01,54.71,53.04,50.68,47.96,46.98,46.19,46.2,43.7,44.51,45.15,45.62,45.24,42.12,43.87,45.76
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,194.44,217.84,225.49,201.39,160.64,200.93,136.91,158.6,122.37,141.42,123.25,118.74,99.64,127.71,100.76,69.83,103.09,81.83,111.43
"P/L Before Other Inc. , Int., Excpt. Items & Tax",275.62,315.46,201.95,258.95,208.42,263.22,216.57,221.09,170.35,229.34,176.15,174.18,143.69,207.46,155.01,4.86,152.21,226.44,115.04
Other Income,42.36,34.89,27.69,25.02,25.76,22.6,14.33,13.78,13.3,9.66,10.33,9.34,13.71,17.86,5.74,5.15,11.29,4.39,40.72
"P/L Before Int., Excpt. Items & Tax",317.99,350.35,229.64,283.96,234.18,285.82,230.9,234.87,183.65,239.0,186.49,183.52,157.39,225.31,160.75,10.0,163.49,230.83,155.75
Interest,68.57,58.45,62.58,60.08,57.88,59.89,62.72,61.16,61.57,59.35,57.57,55.83,61.25,66.02,69.88,66.45,73.26,83.34,78.86
P/L Before Exceptional Items & Tax,249.42,291.9,167.06,223.88,176.3,225.93,168.18,173.71,122.08,179.64,128.91,127.7,96.14,159.29,90.87,-56.45,90.24,147.5,76.9
Exceptional Items,--,--,--,--,--,--,--,--,-33.25,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,249.42,291.9,167.06,223.88,176.3,225.93,168.18,173.71,88.83,179.64,128.91,127.7,96.14,159.29,90.87,-56.45,90.24,147.5,76.9
Tax,64.05,73.94,46.81,58.79,44.97,57.65,42.65,44.81,22.73,46.45,33.76,32.33,25.66,40.92,22.98,-13.88,23.74,36.6,19.44
P/L After Tax from Ordinary Activities,185.37,217.96,120.26,165.09,131.34,168.29,125.53,128.91,66.1,133.2,95.15,95.36,70.48,118.37,67.89,-42.57,66.5,110.9,57.45
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,185.37,217.96,120.26,165.09,131.34,168.29,125.53,128.91,66.1,133.2,95.15,95.36,70.48,118.37,67.89,-42.57,66.5,110.9,57.45
Equity Share Capital,1031.44,1031.44,1031.23,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,1030.05,839.24
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,
Basic EPS,1.8,2.11,1.17,1.6,1.28,1.63,1.22,1.25,0.64,1.29,0.92,0.93,0.68,1.15,0.66,-0.41,0.78,1.08,0.68
Diluted EPS,1.8,2.11,1.17,1.6,1.28,1.63,1.22,1.25,0.64,1.29,0.92,0.93,0.68,1.15,0.66,-0.41,0.69,1.16,0.6
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
