Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23
Net Sales/Income from operations,337.41,328.35,317.28,298.35,383.15,447.0,315.61
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,337.41,328.35,317.28,298.35,383.15,447.0,315.61
EXPENDITURE,,,,,,,
Consumption of Raw Materials,206.62,196.47,200.9,170.53,242.09,239.04,215.57
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,7.85,-6.07,-12.18,13.1,0.02,5.74,-12.42
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,50.34,50.38,47.18,46.8,46.26,42.77,39.45
Depreciation,10.68,9.39,9.38,9.09,8.31,7.9,7.4
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,38.56,44.51,37.69,128.45,63.06,70.15,260.16
"P/L Before Other Inc. , Int., Excpt. Items & Tax",23.34,33.68,34.3,-69.62,23.41,81.41,-194.55
Other Income,33.84,32.12,26.18,26.66,24.89,22.17,20.4
"P/L Before Int., Excpt. Items & Tax",57.19,65.8,60.48,-42.96,48.3,103.58,-174.15
Interest,2.29,4.18,6.21,4.8,4.84,4.51,4.17
P/L Before Exceptional Items & Tax,54.89,61.62,54.27,-47.75,43.46,99.07,-178.32
Exceptional Items,--,--,--,-1.29,--,-18.1,--
P/L Before Tax,54.89,61.62,54.27,-49.04,43.46,80.97,-178.32
Tax,13.72,11.25,12.4,8.83,14.11,28.22,11.35
P/L After Tax from Ordinary Activities,41.17,50.37,41.88,-57.87,29.34,52.75,-189.67
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,41.17,50.37,41.88,-57.87,29.34,52.75,-189.67
Equity Share Capital,30.62,30.62,28.61,28.61,28.61,28.61,28.61
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,
Basic EPS,2.69,3.38,2.93,-4.04,2.05,3.69,-13.26
Diluted EPS,2.69,3.38,2.93,-4.04,--,3.69,-13.26
EPS After Extra Ordinary,,,,,,,
Public Share Holding,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,
a) Pledged/Encumbered,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,
Notes,,,,,,,
