Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-12-31,45.0,45.0,22.0,1.0,9.0,13.0,21.0,34.0,2.0,32.0,0.0,32.0,12.0,20.0,20.0,6654.0,1.04,1.03
2018-03-31,27.0,27.0,20.0,1.0,10.0,-4.0,14.0,10.0,2.0,8.0,0.0,8.0,-8.0,16.0,16.0,6654.0,0.83,0.83
2018-06-30,35.0,35.0,19.0,1.0,11.0,4.0,16.0,20.0,0.0,20.0,0.0,20.0,5.0,15.0,15.0,6654.0,0.0,0.0
2018-09-30,37.0,37.0,21.0,1.0,12.0,3.0,10.0,13.0,1.0,12.0,0.0,12.0,4.0,8.0,8.0,6654.0,0.42,0.42
2018-12-31,34.0,34.0,19.0,1.0,11.0,3.0,44.0,47.0,1.0,46.0,0.0,46.0,8.0,38.0,38.0,6654.0,1.98,1.97
2019-03-31,58.0,58.0,23.0,1.0,10.0,24.0,17.0,41.0,0.0,41.0,0.0,41.0,1.0,40.0,40.0,39.0,2.09,2.08
2019-06-30,39.0,39.0,23.0,2.0,18.0,-4.0,15.0,11.0,1.0,10.0,0.0,10.0,3.0,7.0,7.0,39.0,0.39,0.39
2019-09-30,39.0,39.0,22.0,3.0,17.0,-3.0,54.0,51.0,1.0,50.0,0.0,50.0,2.0,48.0,48.0,39.0,0.0,2.46
2019-12-31,38.0,38.0,22.0,2.0,17.0,-3.0,13.0,10.0,1.0,9.0,0.0,9.0,1.0,8.0,8.0,39.0,0.39,0.38
2020-03-31,35.0,35.0,19.0,2.0,13.0,1.0,84.0,85.0,1.0,84.0,0.0,84.0,12.0,72.0,72.0,39.0,3.76,3.76
2020-06-30,36.0,36.0,23.0,2.0,9.0,2.0,9.0,11.0,2.0,9.0,0.0,9.0,3.0,6.0,6.0,37.0,0.32,0.32
2020-09-30,35.0,35.0,21.0,2.0,9.0,3.0,7.0,10.0,3.0,7.0,0.0,7.0,2.0,5.0,5.0,37.0,0.25,0.25
2020-12-31,38.0,38.0,21.0,4.0,7.0,6.0,9.0,15.0,2.0,13.0,0.0,13.0,4.0,9.0,9.0,37.0,0.47,0.47
2021-03-31,39.0,39.0,21.0,3.0,22.0,-7.0,16.0,9.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0,37.0,0.28,0.28
2021-06-30,34.0,34.0,24.0,1.0,5.0,4.0,8.0,12.0,2.0,10.0,0.0,10.0,0.0,10.0,10.0,37.0,0.51,0.51
2021-09-30,34.0,34.0,24.0,2.0,5.0,3.0,110.0,113.0,1.0,112.0,-30.0,82.0,15.0,67.0,67.0,37.42,3.6,3.59
2021-12-31,33.0,33.0,21.0,1.0,7.0,4.0,3.0,7.0,0.0,7.0,0.0,7.0,-3.0,10.0,10.0,37.0,0.51,0.51
2022-03-31,34.0,34.0,21.0,2.0,7.0,4.0,93.0,97.0,1.0,96.0,0.0,96.0,0.0,96.0,96.0,37.0,5.13,5.13
2022-06-30,33.0,33.0,21.0,1.0,8.0,3.0,7.0,10.0,1.0,9.0,0.0,9.0,0.0,9.0,9.0,37.0,0.46,0.46
2022-09-30,33.0,33.0,22.0,2.0,8.0,1.0,88.0,89.0,0.0,89.0,0.0,89.0,4.0,85.0,85.0,37.0,4.56,4.56
2022-12-31,32.0,32.0,19.0,1.0,10.0,2.0,11.0,13.0,1.0,12.0,0.0,12.0,1.0,11.0,11.0,38.0,0.61,0.6
2023-03-31,34.0,34.0,22.0,2.0,8.0,2.0,94.0,96.0,1.0,95.0,0.0,95.0,6.0,89.0,89.0,37.0,4.78,4.78
2023-06-30,35.0,35.0,23.0,1.0,9.0,2.0,9.0,11.0,1.0,10.0,0.0,10.0,1.0,9.0,9.0,37.0,0.5,0.5
2023-09-30,33.0,33.0,21.0,2.0,7.0,3.0,85.0,88.0,1.0,87.0,0.0,87.0,4.0,83.0,83.0,38.0,4.39,4.39
2023-12-31,30.0,30.0,21.0,1.0,7.0,1.0,9.0,10.0,1.0,9.0,0.0,9.0,0.0,9.0,9.0,38.0,0.5,0.5
2024-03-31,32.0,32.0,18.0,1.0,7.0,6.0,12.0,18.0,1.0,17.0,0.0,17.0,6.0,11.0,11.0,38.0,0.59,0.59
2024-06-30,34.0,34.0,23.0,1.0,7.0,3.0,99.0,102.0,1.0,101.0,0.0,101.0,5.0,96.0,96.0,38.0,5.13,5.13
2024-09-30,29.0,29.0,18.0,2.0,6.0,3.0,12.0,15.0,1.0,14.0,0.0,14.0,4.0,10.0,10.0,38.0,0.51,0.51
2024-12-31,61.0,61.0,38.0,2.0,14.0,7.0,8.0,15.0,1.0,14.0,0.0,14.0,7.0,7.0,7.0,38.0,0.38,0.38
2025-03-31,78.0,78.0,51.0,2.0,22.0,3.0,70.0,73.0,-2.0,75.0,0.0,75.0,-2.0,77.0,77.0,38.0,4.12,4.12
