Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,204.32,0.42,204.74,93.97,29.62,-0.73,23.16,3.39,34.13,21.22,2.45,23.67,0.05,23.61,0.0,23.61,6.87,16.75,16.75,15.85,1.06,1.06,10.81,68.22,5.04,100.0,31.78
2012-12-31,194.81,0.45,195.26,87.36,27.27,1.64,22.62,3.51,34.91,17.94,1.23,19.17,0.03,19.14,0.0,19.14,5.33,13.81,13.81,15.85,0.87,0.87,10.81,68.22,5.04,100.0,31.78
2013-03-31,229.97,1.43,231.4,121.58,10.02,4.56,26.07,4.03,42.25,22.9,5.14,28.04,0.07,27.98,0.0,27.98,6.06,21.92,21.92,15.85,1.38,1.38,10.81,68.21,5.04,100.0,31.79
2013-06-30,213.86,1.09,214.95,100.23,26.11,-0.15,26.94,3.59,28.71,29.53,1.24,30.77,0.08,30.69,0.0,30.69,8.99,21.7,21.7,15.85,1.37,1.37,10.81,68.21,5.04,100.0,31.79
2013-09-30,183.12,2.95,186.07,86.41,22.81,-0.33,20.59,4.56,27.98,24.04,1.45,25.5,0.23,25.27,0.0,25.27,7.13,18.14,18.14,15.85,1.14,1.14,10.81,68.21,5.04,100.0,31.79
2013-12-31,196.4,1.74,198.14,97.04,22.13,-3.71,24.4,4.57,30.98,22.72,1.59,24.31,0.22,24.09,0.0,24.09,7.24,16.85,16.85,15.85,1.06,1.06,10.81,68.21,5.04,100.0,31.79
2014-03-31,226.92,2.25,229.17,109.95,28.07,1.08,18.92,5.04,38.53,27.59,1.48,29.06,0.25,28.81,0.0,28.81,7.24,21.58,21.58,15.85,1.36,1.36,10.81,68.21,5.04,100.0,31.79
2014-06-30,178.03,1.69,179.72,80.66,25.33,-0.86,24.97,5.3,30.38,13.93,2.22,16.16,0.47,15.69,0.0,15.69,4.41,11.28,11.28,15.85,0.71,0.71,10.79,68.1,5.05,100.0,31.9
2014-09-30,186.83,0.9,187.73,86.15,21.14,-0.48,24.1,6.0,32.74,18.08,6.21,24.29,0.89,23.39,0.0,23.39,2.45,20.94,20.94,15.85,1.32,1.32,10.79,68.1,5.05,100.0,31.9
2014-12-31,187.05,1.83,188.88,96.04,20.33,-3.64,24.63,8.6,31.64,11.27,2.73,14.0,1.27,12.73,0.0,12.73,2.08,10.65,10.65,15.85,0.67,0.67,10.79,68.1,5.05,100.0,31.9
2015-03-31,218.31,1.3,219.6,102.14,20.43,4.33,26.39,9.23,40.35,16.73,1.2,17.93,1.07,16.86,0.0,16.86,4.11,12.75,12.75,15.85,0.8,0.8,10.79,68.1,5.05,100.0,31.9
2015-06-30,185.2,1.25,186.45,86.24,20.24,-0.39,26.97,8.45,28.9,16.04,2.29,18.33,1.02,17.31,0.0,17.31,5.13,12.18,12.18,15.85,0.77,0.77,10.79,68.1,5.05,100.0,31.9
2015-09-30,193.0,1.33,194.33,92.49,18.51,-0.6,27.21,8.84,29.08,18.81,6.65,25.46,1.14,24.33,0.0,24.33,2.85,21.48,21.48,15.85,1.36,1.36,10.79,68.1,5.05,100.0,31.9
2015-12-31,220.12,1.39,221.5,104.91,20.95,2.75,26.84,9.12,32.33,24.59,1.2,25.8,0.8,25.0,0.0,25.0,6.01,18.98,18.98,15.85,1.2,1.2,10.79,68.1,5.05,100.0,31.9
2016-03-31,265.18,1.67,266.85,130.38,21.41,3.4,28.09,9.65,43.32,30.6,2.46,33.06,0.56,32.5,-55.18,-22.67,6.19,-28.86,-28.86,15.85,-1.82,-1.82,0.0,0.0,0.0,0.0,0.0
2016-06-30,205.49,1.83,207.32,99.56,25.96,-10.53,29.81,8.72,36.73,17.08,7.42,24.5,0.31,24.19,-4.27,19.92,0.0,19.92,19.92,15.85,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2016-09-30,211.1,1.41,212.51,101.67,18.7,2.05,29.46,8.91,33.86,17.87,2.18,20.05,0.35,19.7,-3.64,16.06,0.0,16.06,16.06,15.85,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2016-12-31,214.07,3.72,217.8,102.29,20.51,3.34,29.59,9.17,37.19,15.7,1.88,17.58,0.31,17.27,0.0,17.27,3.97,13.3,13.3,15.83,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2017-03-31,251.95,0.0,251.95,118.12,26.23,7.37,29.1,10.04,36.63,24.48,2.89,27.37,0.26,27.12,0.0,27.12,8.01,19.11,19.11,15.83,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2017-06-30,220.41,0.0,220.41,121.11,20.39,-14.67,33.66,8.77,34.34,16.81,8.2,25.01,0.31,24.7,-2.74,21.96,5.44,16.52,16.52,15.83,1.04,1.04,0.0,0.0,0.0,0.0,0.0
2017-09-30,233.6,0.0,233.6,108.53,29.75,-4.21,32.89,9.25,36.82,20.56,3.06,23.62,0.27,23.35,0.0,23.35,5.9,17.45,17.45,15.83,1.1,1.1,0.0,0.0,0.0,0.0,0.0
