Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,6.18,6.18,89.23,89.23,0.0,95.41,0.0,0.0,7.11,0.0,7.56,39.14,29.38,76.09,178.6,39.98,0.0,1.01,0.0,40.99,14.87,0.0,0.0,0.97,56.83,47.12,34.71,5.53,34.42,0.0,121.77,178.6,8.56,3.25,25.25,0.0,4.88,15.37,2.24,2.56,0.0,24.9,0.0,0.0,3.52,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.27,6.27,104.61,104.61,0.0,110.88,0.0,0.0,2.25,8.87,41.78,9.65,31.37,91.67,204.8,37.79,0.0,1.65,0.0,39.44,22.21,0.0,0.0,1.03,62.67,45.51,49.51,4.32,42.79,0.0,142.13,204.8,9.07,3.65,50.16,0.0,4.88,12.09,8.03,2.24,0.0,27.66,0.0,0.0,0.35,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6.27,6.27,115.09,115.09,0.0,121.36,0.0,0.0,0.02,4.62,44.16,7.79,41.21,97.77,219.15,35.26,0.0,0.28,0.0,35.53,16.0,0.16,0.0,1.15,52.85,41.04,65.81,3.35,56.09,0.0,166.29,219.15,7.94,4.1,55.86,0.0,4.88,10.62,14.26,0.0,0.0,37.6,0.0,0.0,1.89,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.27,6.27,129.9,129.9,0.0,136.17,0.0,0.0,0.01,0.17,62.28,10.04,55.51,127.99,264.17,39.01,0.0,0.08,0.0,39.09,16.05,0.58,0.0,1.46,57.18,55.68,65.31,11.73,74.27,0.0,206.99,264.17,5.99,5.14,80.4,0.0,4.88,5.83,14.31,0.0,0.0,44.24,0.0,0.0,7.51,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,6.27,6.27,160.61,160.61,0.0,166.89,0.0,0.0,0.01,0.0,72.62,9.9,77.37,159.89,326.79,48.21,0.0,0.76,0.0,48.97,34.07,2.5,0.0,1.57,87.11,58.02,73.96,8.8,98.89,0.0,239.67,326.79,6.35,5.29,92.1,0.0,4.88,4.7,32.33,0.0,0.0,44.14,0.0,0.0,6.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,6.27,6.27,190.54,190.54,0.0,196.82,0.0,0.0,0.0,0.0,44.57,9.31,70.88,124.75,321.57,61.81,0.0,1.01,0.0,62.82,38.57,0.48,0.0,1.37,103.25,59.1,69.95,15.55,73.72,0.0,218.32,321.57,3.51,4.18,93.3,0.0,4.88,3.47,36.82,0.0,0.0,47.52,0.0,0.0,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,7.82,7.82,250.31,250.31,0.0,258.13,0.0,0.0,2.18,0.1,82.86,29.89,104.0,216.84,477.22,64.43,0.0,2.18,0.0,66.61,46.76,0.0,0.0,1.46,114.83,59.24,71.16,102.14,129.85,0.0,362.39,477.22,1.17,5.15,90.26,0.0,4.88,5.15,45.01,2.18,0.0,48.41,0.0,0.0,2.67,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,15.85,15.85,310.14,310.14,0.0,325.99,0.0,0.0,3.3,0.0,77.31,22.71,88.43,188.45,517.73,69.84,0.8,3.41,0.0,74.04,47.4,0.0,8.01,0.17,129.62,87.51,87.26,117.68,46.61,49.06,388.11,517.73,43.02,7.85,120.02,0.0,12.77,2.47,45.65,3.3,0.0,47.48,0.67,17.07,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,15.85,15.85,367.75,367.75,0.0,383.59,0.0,0.0,4.41,0.0,86.73,23.47,70.32,180.53,568.52,90.72,0.64,7.38,0.0,98.74,65.08,0.0,7.19,0.26,171.27,92.69,108.63,109.39,44.54,42.0,397.25,568.52,113.67,12.59,142.83,0.0,12.77,4.04,63.33,4.41,0.0,50.58,0.14,21.13,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,15.85,15.85,420.47,420.47,0.0,436.32,0.0,0.0,4.82,19.83,109.29,22.51,58.16,209.8,650.94,93.56,0.33,74.92,0.0,168.81,85.09,0.0,24.47,0.16,278.53,99.3,149.5,23.64,99.55,0.42,372.41,650.94,133.45,15.27,139.64,0.0,12.77,4.83,83.34,4.82,0.0,47.61,0.33,20.53,9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,15.85,15.85,480.2,480.2,0.0,496.05,0.0,0.0,10.01,92.37,120.43,29.61,47.12,289.53,795.59,156.64,0.28,84.8,0.0,241.71,86.89,0.0,22.18,0.2,350.98,105.19,178.41,21.91,138.58,0.52,444.61,795.59,199.91,11.19,164.56,0.0,12.77,4.41,85.14,10.01,0.0,59.55,0.81,19.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,15.85,15.85,517.15,517.15,0.0,532.99,0.0,0.0,13.55,109.34,99.66,35.62,38.82,283.43,829.97,257.5,0.57,6.35,0.0,264.42,117.59,0.0,4.83,0.38,387.21,112.98,166.38,22.73,139.98,0.69,442.76,829.97,38.34,9.29,162.77,0.0,12.77,5.84,115.84,13.55,0.0,59.23,1.25,17.31,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.85,15.85,525.21,525.21,0.0,541.05,0.0,2.86,13.59,63.8,117.14,32.25,51.06,264.25,818.89,244.21,1.52,0.52,0.0,246.25,89.85,0.0,6.22,0.0,342.32,97.77,163.1,38.08,176.4,1.23,476.57,818.89,44.59,6.59,154.48,0.0,12.77,5.88,88.1,10.73,0.0,63.49,0.5,5.98,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.85,15.85,524.99,524.99,0.0,540.83,3.87,3.59,16.61,48.49,113.59,35.51,11.37,208.96,766.41,236.84,1.92,0.26,5.72,244.74,137.63,0.0,4.05,6.48,392.9,100.37,159.26,53.7,14.4,45.77,373.51,766.41,22.9,0.0,0.0,0.0,12.77,10.17,127.46,9.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,15.85,15.85,584.12,584.12,0.0,599.96,0.36,3.39,9.2,85.31,140.73,37.95,10.64,274.64,883.79,212.23,4.56,0.6,5.65,223.97,155.92,0.0,5.48,11.7,397.07,118.55,253.42,61.14,15.12,38.48,486.72,883.79,23.7,0.0,0.0,0.0,12.77,9.13,0.0,5.45,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,15.85,15.85,646.08,646.08,0.0,661.92,0.0,3.43,6.86,42.38,164.14,42.62,10.16,259.29,928.08,209.82,4.24,5.14,5.6,225.37,174.61,0.0,6.38,17.37,423.72,112.06,285.84,52.27,16.09,38.09,504.36,928.08,28.83,0.0,0.0,0.0,12.77,7.48,167.13,3.44,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
