Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Intangible Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,OtherCurrentAssets,Preference Share Capital,Short Term Provisions,Capital Work-In-Progress,Tangible Assets,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2004-03-31,0.2,0.2,5.37,5.37,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.61,0.0,0.05,0.0,3.59,0.0,0.0,0.0,0.93,2.02,5.61,0.0,3.65,0.4,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,0.2,0.2,6.4,6.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,6.75,0.0,0.04,0.0,6.1,0.0,0.0,0.01,0.64,0.65,6.75,0.0,6.25,1.7,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.15,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.2,0.2,11.89,11.89,12.09,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.09,12.18,0.0,0.04,0.0,11.81,0.0,0.0,0.01,0.37,0.37,12.18,0.0,16.95,1.55,0.0,0.0,0.0,11.76,0.01,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,0.2,0.2,14.3,14.3,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,14.79,0.0,0.0,0.0,11.69,0.0,0.0,0.01,3.09,3.1,14.79,0.0,1.73,3.55,0.0,0.0,0.0,11.67,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,0.2,0.2,15.81,15.81,16.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,16.46,0.0,0.0,0.0,8.83,0.0,0.0,0.51,7.12,7.63,16.46,0.0,2.03,5.78,0.0,0.0,0.0,8.81,0.02,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,16.0,16.0,0.43,0.43,16.43,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,16.45,0.0,0.68,0.0,7.97,0.0,0.0,8.3,0.19,8.48,16.45,15.8,0.0,1.01,0.0,0.0,0.0,7.25,0.04,0.0,0.0,0.0,0.0,0.68,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,16.0,16.0,0.74,0.74,16.74,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.1,16.83,0.0,1.28,0.0,2.32,0.0,0.0,0.33,14.19,14.52,16.83,15.8,2.12,0.02,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.01,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,16.0,16.0,0.76,0.76,16.76,0.0,0.0,0.01,0.01,0.15,0.0,0.04,0.19,16.96,0.0,1.28,0.0,2.42,0.0,0.0,0.07,14.47,14.54,16.96,15.8,1.99,0.02,0.0,0.0,0.0,1.04,0.0,0.1,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,16.0,16.0,-0.23,-0.23,15.77,0.0,0.0,0.01,0.01,0.15,0.02,0.06,0.23,16.0,0.0,0.0,0.06,1.16,1.74,0.02,0.01,13.08,14.85,16.0,15.8,2.45,0.02,0.0,1.74,0.0,1.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,18.29,18.75,2.14,2.14,20.88,0.0,0.0,0.02,0.02,0.0,0.71,0.11,0.85,21.75,0.0,0.0,0.0,0.36,0.0,0.95,12.04,8.39,21.39,21.75,18.09,0.0,0.02,0.0,0.0,0.0,0.02,0.07,0.27,0.02,0.46,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
