Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,1814.13,1814.13,1814.13,1814.13,1646.74,1030.23,753.24,733.24,597.29,542.99,475.2,461.26,443.0,443.0,443.0
Total Share Capital,1814.13,1814.13,1814.13,1814.13,1646.74,1030.23,753.24,733.24,597.29,542.99,475.2,461.26,443.0,443.0,443.0
Revaluation Reserve,0.0,0.0,0.0,0.0,8284.24,6332.79,6448.17,6524.73,5373.15,5444.66,5405.85,5498.25,2033.24,2065.14,2098.36
Reserves and Surplus,98085.98,85140.46,71793.05,64297.18,48953.96,31929.94,28975.81,28346.86,27715.1,25615.55,25978.18,23660.6,22401.55,20181.82,17498.46
Total Reserves and Surplus,98085.98,85140.46,71793.05,64297.18,57238.19,38262.73,35423.99,34871.59,33088.25,31060.21,31384.04,29158.85,24434.79,22246.96,19596.82
Total ShareHolders Funds,99900.11,86954.59,73607.18,66111.31,58884.93,39292.96,36177.23,35604.84,33685.54,31603.2,31859.23,29620.11,24877.79,22689.96,20039.82
Deposits,1456883.18,1312366.61,1179218.61,1086409.25,1010874.58,625351.17,599033.27,524771.86,495275.24,479791.56,473840.1,420722.82,355855.99,327053.73,293436.64
Borrowings,89665.12,57592.28,58089.79,46284.96,49983.56,42761.77,40992.29,38808.51,39503.56,26873.32,25671.57,27230.64,20283.37,15525.39,14261.65
Other Liabilities and Provisions,36401.19,34627.24,34816.67,28174.15,33931.96,16468.84,18563.89,17700.9,15055.1,14692.7,16629.66,14348.29,11325.45,8891.12,8206.75
Total Capital and Liabilities,1682849.6,1491540.72,1345732.25,1226979.67,1153675.03,723874.75,694766.69,616886.1,583519.44,552960.78,548000.56,491921.85,412342.61,374160.19,335944.86
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,89998.57,71068.18,54988.45,51602.91,43111.62,22570.14,29919.02,22100.04,19922.5,20664.05,21971.95,22153.78,15405.93,17795.14,22014.79
Balances with Banks Money at Call and Short Notice,115341.61,79691.54,86434.75,130451.39,135296.41,45701.33,36233.67,27812.29,38902.96,36069.61,26669.14,22674.93,19308.77,10384.27,8693.32
Investments,380343.4,357454.42,319038.45,282012.9,261690.39,176244.94,152985.3,144053.67,150265.89,142309.3,145346.18,126828.26,121132.83,102057.43,83636.02
Advances,1049155.02,931612.83,830672.55,703601.82,639048.99,432175.2,427727.27,381702.99,342008.76,324714.82,330035.51,301067.48,242176.62,232489.82,211268.29
Fixed Assets,10215.15,12228.17,10230.67,11356.3,11206.53,8276.29,8410.23,8318.64,7168.32,7198.1,6949.45,6641.56,2862.72,2857.54,2844.4
Other Assets,37795.85,39485.58,44367.38,47954.35,63321.09,38906.84,39491.2,32898.47,25251.02,22004.89,17028.32,12555.85,11455.73,8576.01,7488.02
Total Assets,1682849.6,1491540.72,1345732.25,1226979.67,1153675.03,723874.75,694766.69,616886.1,583519.44,552960.78,548000.56,491921.85,412342.61,374160.19,335944.86
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,10416.0,6329.0,6310.0,5849.0,6083.0,5849.0,5682.0,4755.0,3728.0,3600.0,3257.0
Number of Employees,0.0,0.0,0.0,0.0,88213.0,58632.0,58350.0,58855.0,55717.0,54008.0,53984.0,48794.0,42693.0,42272.0,43397.0
Capital Adequacy Ratios (%),16.33,16.28,16.68,14.9,13.18,13.65,11.9,13.22,12.86,11.08,10.56,10.63,12.4,13.76,15.38
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,10.08,10.12,9.04,10.3,9.77,8.8,8.02,7.68,9.77,10.35,10.87
Tier 2 (%),0.0,0.0,0.0,0.0,3.1,3.53,2.86,2.92,3.09,2.28,2.54,2.95,2.63,3.41,4.51
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,31530.03,40604.57,46159.51,55651.58,60288.0,37041.15,39224.12,47468.47,34202.04,31637.83,13039.96,7570.21,6260.16,4031.75,3089.21
Gross NPA (%),2.94,4.23,5.0,8.0,9.0,8.0,9.0,12.0,10.0,9.0,4.0,2.0,3.0,2.0,1.0
Net NPA,7353.31,11822.83,14349.33,18668.02,24442.0,18250.95,22955.11,28542.4,21648.98,20832.91,8740.09,5965.46,5278.07,3386.31,2347.33
Net NPA (%),0.7,1.27,1.73,2.65,3.82,4.22,5.37,7.48,6.33,6.42,2.65,1.98,2.18,1.46,1.11
Net NPA To Advances (%),1.09,1.01,1.0,0.0,4.0,4.0,5.0,7.0,6.0,6.0,3.0,2.0,2.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,53385.99,35939.89,28847.92,26782.08,27176.31,26563.0,40481.83,36082.62,38655.01,36132.91,29041.74
Contingent Liabilities,0.0,0.0,0.0,0.0,507071.81,373497.97,359059.22,293728.89,459646.73,314508.56,297258.69,239320.37,263705.34,205367.76,140847.47
