Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,Capital Goods
2010-03-31,30.0,30.0,-1.36,-1.36,28.64,0.0,10.0,0.0,0.0,10.0,47.0,5.74,15.91,0.16,68.81,107.45,25.94,10.2,37.26,73.4,0.0,0.01,0.0,0.0,73.41,0.0,11.59,8.64,4.77,9.04,0.0,34.04,107.45,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,30.0,30.0,5.01,5.01,35.01,0.0,10.0,2.4,0.18,12.58,86.61,30.75,36.04,0.06,153.46,201.05,84.33,20.06,8.21,112.6,0.0,1.98,7.61,0.0,122.18,0.0,63.62,0.0,1.42,13.82,0.0,78.86,201.05,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,30.0,30.0,104.85,104.85,134.85,0.0,0.0,2.4,0.34,20.35,120.31,108.92,24.44,0.12,253.79,408.99,104.12,18.44,19.86,142.42,0.0,0.0,27.9,0.0,170.32,0.0,99.7,73.84,38.97,26.04,0.12,238.67,408.99,16.8,0.0,0.0,0.0,0.0,17.61,0.0,0.0
2013-03-31,40.0,40.0,252.84,252.84,292.84,0.0,131.25,2.4,0.7,153.9,205.49,193.32,58.81,2.57,460.18,906.92,135.56,16.94,3.27,155.76,0.05,0.0,57.91,0.0,213.72,0.0,71.35,448.55,0.86,161.31,11.12,693.2,906.92,7.99,0.0,0.0,0.05,0.0,19.55,0.0,0.0
2014-03-31,200.0,200.0,236.94,236.94,436.94,0.0,55.0,2.4,1.13,79.7,425.4,319.93,108.29,3.39,857.01,1373.65,149.06,15.84,7.71,172.61,0.05,0.0,87.46,0.53,260.65,45.0,123.01,562.71,3.14,324.76,54.38,1113.0,1373.65,11.72,0.0,160.0,0.05,0.0,21.17,0.0,0.0
2015-03-31,221.92,221.92,1215.05,1215.05,1436.97,0.0,77.92,2.4,1.94,103.19,767.06,566.22,148.65,52.03,1533.96,3074.12,170.54,23.09,13.77,207.4,0.05,0.0,99.49,0.58,307.52,0.0,126.46,1320.96,708.57,572.54,38.07,2766.6,3074.12,115.44,31.27,160.0,0.05,0.0,20.94,1064.68,15.17
2016-03-31,221.92,221.92,1696.34,1696.34,1918.26,0.0,50.0,2.4,3.43,100.67,1398.84,896.63,75.63,43.54,2414.64,4433.57,349.75,33.4,13.45,396.59,500.05,0.0,149.45,10.11,1056.2,62.22,214.63,2153.19,466.97,417.78,62.57,3377.37,4433.57,189.9,25.64,160.0,500.05,0.0,44.84,1639.89,12.96
2017-03-31,221.92,221.92,1942.97,1942.97,2164.89,0.0,88.73,25.72,5.36,130.29,1326.63,631.66,152.91,2.21,2113.41,4408.58,463.71,30.12,18.68,512.5,561.48,0.0,1.76,89.23,1164.97,200.08,339.27,2005.0,374.9,252.86,71.5,3243.61,4408.58,102.69,0.0,160.0,53.25,200.08,10.47,0.0,0.0
2018-03-31,221.92,221.92,1787.58,1787.58,2009.49,0.0,149.17,22.72,5.05,176.93,482.72,281.95,423.29,2.47,1190.44,3376.87,455.59,29.56,9.11,494.26,386.04,82.14,2.27,91.04,1055.75,99.94,648.82,1213.32,81.98,161.46,115.59,2321.12,3376.87,88.02,574.97,160.0,0.0,99.94,0.0,0.0,0.0
2019-03-31,221.92,221.92,1788.9,1788.9,2010.82,0.0,78.89,19.27,5.8,103.95,588.57,639.94,427.61,0.0,1656.12,3770.89,435.8,30.2,7.27,473.26,373.63,81.84,1.5,134.7,1064.93,118.81,528.34,1577.01,125.22,235.86,120.72,2705.96,3770.89,931.9,436.45,160.0,492.44,0.0,0.0,0.0,0.0
