Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,440.29,408.0,387.52,383.2,305.79,311.07,295.47,284.7,249.81,236.13,232.33,231.96,200.53,197.71,175.4,210.26,200.25,209.48,193.58,194.9,223.86,208.48,204.56,190.3,215.19,161.36,161.44,150.73,128.54,164.26,127.48,110.95,141.12,136.14,138.09,133.51,144.56,128.35,120.03,120.8,108.12,114.55,125.57,114.15,118.88,115.58,125.14,94.85,104.91,99.23
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.63,9.16,2.02,1.45,25.31,0.02,--,11.95,47.75,0.08,0.12,0.07,0.0,0.08,0.08,0.07,0.07,0.02,0.05
Total Income From Operations,440.29,408.0,387.52,383.2,305.79,311.07,295.47,284.7,249.81,236.13,232.33,231.96,200.53,197.71,175.4,210.26,200.25,209.48,193.58,194.9,223.86,208.48,204.56,190.3,215.19,161.36,161.44,150.73,128.54,164.26,127.48,111.58,150.29,138.17,139.54,158.82,144.58,128.35,131.98,168.55,108.2,114.67,125.64,114.15,118.96,115.66,125.2,94.92,104.94,99.28
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,69.88,77.15,45.85,33.62,37.52,38.8,19.08,21.62,27.1,19.76,15.89,22.72,26.58,22.63,17.68,26.23,26.2,23.98,20.85,16.53,21.65,13.28,18.75,22.24,16.84,9.46,16.87,11.49,7.79,3.12,5.48,5.3,2.44,3.06,3.2,8.69,5.06,11.81,9.2,11.69,0.83,5.93,8.33,14.35,11.84,15.93,21.74,14.55,9.48,13.79
Purchase of Traded Goods,228.76,251.87,240.33,74.98,181.53,139.94,102.85,103.71,74.24,71.18,75.31,61.79,38.62,74.42,33.06,56.98,21.35,69.3,47.11,87.22,76.76,63.58,46.68,80.92,41.57,27.36,19.99,24.73,73.26,47.78,58.44,28.08,35.67,27.62,50.78,48.21,46.29,33.08,31.31,17.77,61.54,42.45,45.52,55.81,28.73,22.96,14.79,30.4,30.71,24.29
Increase/Decrease in Stocks,-51.61,-103.09,-55.74,104.95,-70.76,-56.62,-11.34,-26.7,-9.88,-4.45,-7.83,3.07,12.46,-16.79,15.73,-6.7,20.76,-15.72,4.59,-24.02,-17.09,-2.71,4.61,-40.28,6.51,15.9,16.48,7.84,-42.61,2.55,-18.77,4.32,8.93,13.49,-9.23,-5.21,2.72,1.98,5.92,25.13,-23.63,4.66,-0.15,-25.4,-1.82,0.37,6.82,-13.84,0.2,5.64
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,62.37,68.04,60.96,57.98,63.23,65.27,54.97,66.86,62.68,61.19,68.37,58.46,59.06,57.69,54.79,52.5,55.06,55.64,56.35,81.25,52.55,52.16,50.73,60.41,52.11,44.95,43.07,45.07,37.12,36.4,34.94,36.07,38.12,46.96,42.33,50.86,38.81,41.15,38.52,36.6,39.17,40.32,43.75,54.71,35.03,36.75,33.97,36.82,39.65,38.59
Depreciation,9.07,9.32,3.91,3.76,3.7,3.67,3.8,4.25,4.13,3.29,4.59,4.41,3.51,4.28,4.76,5.84,5.11,4.62,4.56,4.54,4.77,4.64,4.63,3.91,3.78,3.67,3.55,3.55,3.73,3.75,3.71,3.68,4.02,4.06,4.07,4.24,4.44,4.46,4.28,4.02,4.37,3.46,3.43,2.97,3.03,2.34,1.78,5.48,2.54,2.5
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,22.74,--,--,--,--,--,--,--,--,--,10.74,--,14.46,9.84,10.28,10.15,14.33,11.49,9.24,13.06,11.7,14.01,16.98,22.98,16.51,11.68,28.62,21.11,24.57,15.26,11.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,-0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,31.33,61.48,58.04,62.28,79.21,70.92,62.66,59.36,59.07,47.72,41.89,47.96,34.68,32.01,28.23,30.68,31.82,29.03,26.86,6.08,41.53,34.59,31.24,37.67,40.77,37.24,27.12,25.22,39.26,23.49,29.32,42.55,50.18,43.82,36.5,53.07,40.06,44.05,41.73,36.56,40.43,47.43,44.15,29.58,42.2,41.36,47.23,40.76,40.26,37.02
"P/L Before Other Inc. , Int., Excpt. Items & Tax",67.92,43.22,34.17,45.62,11.35,49.09,63.45,55.6,32.46,37.44,23.37,33.55,11.16,13.64,10.87,34.57,25.63,31.13,24.01,10.24,31.99,28.92,30.94,2.46,37.1,11.09,5.73,11.72,-14.58,31.9,2.51,-8.42,10.92,-0.84,11.9,-1.03,7.19,-8.18,1.0,36.78,-14.51,-29.57,-19.39,-17.87,-0.06,-4.06,-1.11,-19.25,-17.91,-22.56
Other Income,7.98,8.15,8.35,8.66,9.66,8.37,8.1,8.0,7.2,6.79,4.11,3.68,5.33,2.84,2.9,2.55,2.93,4.71,2.65,3.38,3.46,3.16,2.99,6.01,3.5,3.35,3.42,2.34,2.76,2.5,4.65,6.43,9.83,1.82,1.56,2.09,1.48,1.49,1.71,1.35,1.1,1.61,1.79,1.42,1.58,3.34,2.87,0.67,0.22,1.74
"P/L Before Int., Excpt. Items & Tax",75.9,51.38,42.52,54.29,21.01,57.46,71.55,63.6,39.65,44.23,27.49,37.24,16.49,16.48,13.77,37.12,28.56,35.85,26.66,13.62,35.45,32.08,33.92,8.47,40.59,14.44,9.15,14.06,-11.82,34.4,7.16,-1.99,20.75,0.98,13.46,1.06,8.67,-6.69,2.72,38.13,-13.41,-27.96,-17.6,-16.46,1.52,-0.72,1.77,-18.58,-17.7,-20.82
Interest,0.33,0.34,0.11,-0.07,0.61,0.5,0.15,0.09,0.2,0.16,0.19,0.21,0.23,0.25,0.27,0.28,0.26,0.28,0.27,0.27,0.27,0.28,0.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Exceptional Items & Tax,75.57,51.03,42.41,54.35,20.4,56.96,71.4,63.51,39.46,44.07,27.3,37.03,16.26,16.24,13.5,36.84,28.3,35.57,26.38,13.35,35.18,31.8,33.63,8.47,40.59,14.44,9.15,14.06,-11.82,34.4,7.16,-1.99,20.75,0.98,13.46,1.06,8.67,-6.69,2.72,38.13,-13.41,-27.96,-17.6,-16.46,1.52,-0.72,1.77,-18.58,-17.7,-20.82
Exceptional Items,-33.55,--,-57.56,--,--,16.43,--,-40.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.89,--,--,--,--,--,--
P/L Before Tax,42.02,51.03,-15.16,54.35,20.4,73.38,71.4,23.28,39.46,44.07,27.3,37.03,16.26,16.24,13.5,36.84,28.3,35.57,26.38,13.35,35.18,31.8,33.63,8.47,40.59,14.44,9.15,14.06,-11.82,34.4,7.16,-1.99,20.75,0.98,13.46,1.06,8.67,-6.69,2.72,38.13,-13.41,-27.96,-17.6,-2.57,1.52,-0.72,1.77,-18.58,-17.7,-20.82
Tax,11.17,12.6,-3.37,14.88,4.6,21.01,17.54,6.01,10.15,11.51,7.15,9.05,4.85,4.29,3.26,9.56,7.25,9.23,7.75,3.77,8.48,17.38,12.11,-1.35,11.5,5.31,2.76,10.84,-1.46,7.01,1.37,0.88,4.79,0.19,2.9,0.5,--,--,--,--,--,--,--,--,--,0.51,--,--,--,24.3
P/L After Tax from Ordinary Activities,30.85,38.43,-11.79,39.48,15.8,52.37,53.86,17.27,29.3,32.56,20.15,27.98,11.42,11.95,10.24,27.28,21.05,26.34,18.63,9.58,26.7,14.42,21.52,9.82,29.09,9.13,6.39,3.22,-10.35,27.38,5.8,-2.88,15.96,0.79,10.57,0.56,8.67,-6.69,2.72,38.13,-13.41,-27.96,-17.6,-2.57,1.52,-1.23,1.77,-18.58,-17.7,-45.12
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,30.85,38.43,-11.79,39.48,15.8,52.37,53.86,17.27,29.3,32.56,20.15,27.98,11.42,11.95,10.24,27.28,21.05,26.34,18.63,9.58,26.7,14.42,21.52,9.82,29.09,9.13,6.39,3.22,-10.35,27.38,5.8,-2.88,15.96,0.79,10.57,0.56,8.67,-6.69,2.72,38.13,-13.41,-27.96,-17.6,-2.57,1.52,-1.23,1.77,-18.58,-17.7,-45.12
Equity Share Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,12.34,15.37,-4.72,15.79,6.32,20.95,21.54,6.91,11.72,13.03,8.06,11.19,4.57,4.78,4.1,10.91,8.42,10.54,7.45,3.83,10.68,5.77,8.61,3.93,11.64,3.65,2.56,1.29,-4.14,10.95,2.32,-1.15,6.39,0.31,4.23,0.22,3.47,-2.68,1.09,15.25,-5.36,-11.18,-7.04,-1.03,0.61,-0.49,0.71,-7.43,-7.08,-18.05
Diluted EPS,12.34,15.37,-4.72,15.79,6.32,20.95,21.54,6.91,11.72,13.03,8.06,11.19,4.57,4.78,4.1,10.91,8.42,10.54,7.45,3.83,10.68,5.77,8.61,3.93,11.64,3.65,2.56,1.29,-4.14,10.95,2.32,-1.15,6.39,0.31,4.23,0.22,3.47,-2.68,1.09,15.25,-5.36,-11.18,-7.04,-1.03,0.61,-0.49,0.71,-7.43,-7.08,-18.05
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
