Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21
Net Sales/Income from operations,381.57,403.93,315.02,325.76,321.79,318.67,270.35,302.73,290.72,297.79,222.75,201.15,235.48,251.76,236.21,152.17
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,381.57,403.93,315.02,325.76,321.79,318.67,270.35,302.73,290.72,297.79,222.75,201.15,235.48,251.76,236.21,152.17
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,51.96,52.2,41.26,--,--,--,--,--,--,41.16,29.69,32.03,35.87,62.29,57.6,24.17
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,47.2,51.51,47.06,47.38,41.28,38.49,41.57,38.24,36.62,32.46,28.72,29.89,27.59,28.37,23.56,24.6
Depreciation,33.54,33.22,32.44,30.57,25.93,25.01,23.64,21.57,21.03,20.82,20.3,20.69,19.56,18.97,17.77,18.5
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,152.25,156.73,136.68,175.51,166.76,165.86,146.24,166.7,152.29,119.2,86.89,92.25,86.92,74.09,78.21,70.47
"P/L Before Other Inc. , Int., Excpt. Items & Tax",96.62,110.26,57.59,72.3,87.82,89.3,58.91,76.22,80.78,84.16,57.16,26.29,65.53,68.05,59.07,14.44
Other Income,12.85,10.72,11.48,12.24,8.24,8.88,7.59,8.64,8.24,7.94,6.41,6.6,6.14,5.42,2.66,2.56
"P/L Before Int., Excpt. Items & Tax",109.46,120.99,69.07,84.54,96.06,98.18,66.5,84.86,89.02,92.1,63.57,32.89,71.67,73.46,61.73,16.99
Interest,17.35,17.39,17.44,16.11,13.52,12.59,13.85,13.31,12.86,12.5,13.43,15.49,10.79,11.54,12.19,12.0
P/L Before Exceptional Items & Tax,92.11,103.6,51.63,68.42,82.55,85.6,52.65,71.55,76.17,79.6,50.14,17.4,60.88,61.93,49.54,4.99
Exceptional Items,--,--,--,--,--,--,--,--,--,-4.63,--,--,--,--,--,--
P/L Before Tax,92.11,103.6,51.63,68.42,82.55,85.6,52.65,71.55,76.17,74.97,50.14,17.4,60.88,61.93,49.54,4.99
Tax,25.14,26.25,12.9,17.99,21.4,21.61,13.32,15.97,19.29,19.14,12.55,2.96,16.78,15.51,12.21,0.42
P/L After Tax from Ordinary Activities,66.98,77.34,38.73,50.44,61.14,63.98,39.33,55.58,56.88,55.84,37.6,14.44,44.1,46.42,37.33,4.57
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,66.98,77.34,38.73,50.44,61.14,63.98,39.33,55.58,56.88,55.84,37.6,14.44,44.1,46.42,37.33,4.57
Equity Share Capital,101.55,101.55,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,105.0,105.0,105.0,54.9,43.96
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,6.6,7.62,3.82,4.97,6.03,6.3,3.87,5.51,5.63,5.54,3.72,1.61,4.5,4.42,6.8,1.04
Diluted EPS,6.6,7.62,3.82,4.97,6.03,6.3,3.87,5.51,5.63,5.54,3.72,1.57,4.5,--,3.97,0.69
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
